id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0001fcf2,frame,1212,949,1607,1169,,,,14
0001fcf3,text,993,473,1027,528,うそこわ～,,,14
0001fcf4,frame,85,0,268,470,,,,14
0001fcf5,text,557,833,583,968,閉まってる・・・,,,14
0001fcf6,frame,214,0,404,472,,,,14
0001fcf7,text,565,77,589,273,まだいたのか・・・・・,,,14
0001fcf8,body,595,236,748,440,,0001fadb,葉山広樹,14
0001fcf9,frame,45,473,746,774,,,,14
0001fcfa,body,85,797,396,1090,,0001fadb,葉山広樹,14
0001fcfb,body,1161,523,1605,713,,0001fae3,住田セエラ,14
0001fcfc,face,1155,276,1193,317,,0001fae3,住田セエラ,14
0001fcfd,face,273,875,362,976,,0001fadb,葉山広樹,14
0001fcfe,body,1488,950,1612,1166,,0001fae3,住田セエラ,14
0001fcff,body,1358,774,1498,946,,0001fae3,住田セエラ,14
0001fd00,text,1000,385,1079,453,でもさっき中から音したよ,,,14
0001fd01,text,1403,82,1557,213,その２　女子トイレ,,,14
0001fd02,text,96,614,295,745,その３　ホストクラブ,,,14
0001fd03,frame,1183,725,1605,944,,,,14
0001fd04,face,1405,788,1448,822,,0001fae3,住田セエラ,14
0001fd05,frame,85,782,750,1094,,,,14
0001fd06,frame,1277,46,1571,516,,,,14
0001fd07,text,1505,316,1528,364,くっ,,,14
0001fd08,frame,1120,93,1267,522,,,,14
0001fd09,face,1337,249,1455,390,,0001fae3,住田セエラ,14
0001fd0a,text,1403,428,1427,477,くっ,,,14
0001fd0b,frame,905,714,1232,1169,,,,14
0001fd0c,text,330,50,353,217,こーなったら,,,14
0001fd0d,text,218,825,242,872,はい,,,14
0001fd0e,text,955,120,1026,231,なんでここだけ開かないの？,,,14
0001fd0f,frame,905,93,1104,520,,,,14
0001fd10,frame,907,527,1609,717,,,,14
0001fd11,text,1460,378,1485,431,くっ,,,14
0001fd12,text,1411,649,1489,742,係の人呼んだ方がよくない？,,,14
0001fd13,text,120,252,155,410,斯くなる上は,,,14
0001fd14,body,337,878,557,1091,,0001fae3,住田セエラ,14
0001fd15,body,907,715,1073,1166,,0001fadb,葉山広樹,14
0001fd16,face,420,960,512,1048,,0001fadb,葉山広樹,14
0001fd17,frame,409,0,750,454,,,,14
0001fd18,text,1543,615,1571,642,や,,,14
0001fd19,body,1118,254,1227,459,,0001fae3,住田セエラ,14
0001fd1a,body,1296,150,1576,517,,0001fae3,住田セエラ,14
0001fd1b,text,1548,750,1574,824,やばい,,,14
0001fd1c,face,1231,526,1518,719,,0001fae3,住田セエラ,14
0001fd1d,text,1118,885,1152,1016,遅かったな,,,14
0001fd1e,body,448,126,521,430,,0001fae3,住田セエラ,14
0001fd1f,text,1060,550,1132,633,誰か　倒れてんじゃないの？,,,14
0001fd20,text,933,249,976,344,こわれてんのかな？,,,14
0001fd21,text,147,867,181,1017,７時ジャスト,,,14
0001fd22,face,913,723,1052,961,,0001fadb,葉山広樹,14
