id,type,xmin,ymin,xmax,ymax,character_id,character_name,page_number
0001fe89,frame,79,343,555,687,,,25
0001fe8a,face,535,302,636,418,0001fadb,葉山広樹,25
0001fe8b,face,611,309,705,417,0001fae3,住田セエラ,25
0001fe8c,face,198,19,439,296,0001fadb,葉山広樹,25
0001fe8d,frame,73,0,495,336,,,25
0001fe8e,frame,81,687,577,809,,,25
0001fe8f,body,472,202,698,1023,0001fadb,葉山広樹,25
0001fe90,face,217,817,534,1168,0001fae3,住田セエラ,25
0001fe91,face,277,515,526,681,0001fae3,住田セエラ,25
0001fe92,frame,83,804,648,1165,,,25
0001fe93,frame,441,3,1547,1169,,,25
0001fe94,body,74,0,447,333,0001fadb,葉山広樹,25
0001fe95,body,488,197,1031,1169,0001fae3,住田セエラ,25
0001fe96,body,151,810,646,1169,0001fae3,住田セエラ,25
0001fe97,body,252,336,552,684,0001fae3,住田セエラ,25
