id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
000206a5,body,1081,795,1165,948,0002056c,下平満,,74
000206a6,body,1178,121,1354,599,00020566,明石太郎,,74
000206a7,text,393,868,478,941,,,満ちゃん笑って笑って,74
000206a8,text,284,126,313,226,,,長く　長く,74
000206a9,face,1344,849,1372,879,00020566,明石太郎,,74
000206aa,text,623,400,648,498,,,まったく・・・,74
000206ab,text,1064,416,1091,482,,,変な奴,74
000206ac,frame,91,377,748,506,,,,74
000206ad,frame,48,8,777,365,,,,74
000206ae,text,679,545,716,794,,,ジャジャーーン,74
000206af,text,1020,712,1050,821,,,くるなっ,74
000206b0,body,1477,258,1571,601,0002056c,下平満,,74
000206b1,body,1121,918,1233,1030,00020566,明石太郎,,74
000206b2,text,498,273,555,332,,,くるんじゃない,74
000206b3,frame,84,859,503,1088,,,,74
000206b4,text,1316,966,1391,1078,,,大丈夫か？フラフラしてるぞ,74
000206b5,frame,900,90,1146,602,,,,74
000206b6,text,139,217,159,333,,,ながーく・・・,74
000206b7,frame,1159,90,1363,600,,,,74
000206b8,frame,1308,624,1569,1086,,,,74
000206b9,body,1308,823,1430,993,00020566,明石太郎,,74
000206ba,text,1477,636,1563,789,,,・・・変な奴に変わり者扱いされたのか・・・,74
000206bb,text,121,971,169,1066,,,1人だけういてるよ,74
000206bc,text,1248,733,1268,774,,,まて,74
000206bd,text,160,710,247,803,,,みんなで記念撮影しよう！,74
000206be,face,903,160,1037,360,0002056c,下平満,,74
000206bf,body,1381,346,1494,483,00020566,明石太郎,,74
000206c0,text,425,554,472,669,,,カメラ持ってきたの,74
000206c1,text,1516,117,1546,216,,,ごちそう様,74
000206c2,text,1297,112,1351,208,,,良かったロに合って,74
000206c3,face,1219,258,1343,444,00020566,明石太郎,,74
000206c4,face,1522,312,1568,350,0002056c,下平満,,74
000206c5,body,247,540,436,836,00020593,今日子,,74
000206c6,text,964,860,1024,999,,,終業式まであと20日―――,74
000206c7,text,1395,447,1467,598,,,お母様に「おいしかった。」とお礼を,74
000206c8,face,1413,381,1439,418,00020566,明石太郎,,74
000206c9,text,1204,789,1249,842,,,俺もすぐに,74
000206ca,text,1409,237,1453,318,,,もういいの？,74
000206cb,text,1174,449,1253,564,,,早起きして作ったかいがあったよ,74
000206cc,frame,1373,90,1571,600,,,,74
000206cd,body,900,90,1068,600,0002056c,下平満,,74
000206ce,text,654,86,710,240,,,ユーウツな種は長く感じるもので,74
000206cf,frame,511,520,754,1086,,,,74
000206d0,body,1385,783,1525,1084,0002056c,下平満,,74
000206d1,frame,87,517,503,837,,,,74
000206d2,text,1406,703,1428,783,,,立ち直れん,74
000206d3,frame,935,608,1307,1079,,,,74
000206d4,face,294,577,352,638,00020593,今日子,,74
