id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00021373,face,1008,804,1047,856,00020bbf,はるか母,,47
00021374,text,1539,78,1610,275,,,全国的に,47
00021375,text,953,741,980,783,,,あら,47
00021376,text,1112,743,1187,801,,,おい塩の中ぶた,47
00021377,body,310,246,443,326,00020b24,星はるか,,47
00021378,text,1128,345,1208,429,,,じゃなんでゆうゆうとしてるのよ,47
00021379,text,1225,948,1238,969,,,わ,47
0002137a,text,940,81,1007,275,,,朝ーーーー！,47
0002137b,body,1519,832,1605,1017,00020bbf,はるか母,,47
0002137c,body,911,879,980,982,00020b95,星拓馬,,47
0002137d,body,1228,928,1361,1098,00020b80,はるか父,,47
0002137e,frame,907,721,1201,1104,,,,47
0002137f,body,1059,847,1196,1042,00020b80,はるか父,,47
00021380,face,350,862,631,1098,00020b24,星はるか,,47
00021381,text,93,793,224,1080,,,え？,47
00021382,body,567,349,749,703,00020b24,星はるか,,47
00021383,face,928,909,973,954,00020b95,星拓馬,,47
00021384,body,1202,385,1530,698,00020b24,星はるか,,47
00021385,body,1378,929,1498,1098,00020b24,星はるか,,47
00021386,text,1506,738,1585,805,,,夜ふかしするから寝すごすのよ,47
00021387,text,922,1007,960,1080,,,ドンマイドンマイ,47
00021388,body,1497,909,1602,1017,00020b80,はるか父,,47
00021389,face,1324,447,1436,554,00020b24,星はるか,,47
0002138a,face,1138,601,1190,661,00020b95,星拓馬,,47
0002138b,text,1310,737,1358,818,,,だいたい――――,47
0002138c,face,1515,1055,1556,1096,00020b95,星拓馬,,47
0002138d,text,378,73,483,187,,,でもケータイ男も今日は安全運転のハズー,47
0002138e,face,1390,955,1444,1018,00020b24,星はるか,,47
0002138f,face,992,991,1080,1071,00020b24,星はるか,,47
00021390,face,1266,822,1316,882,00020bbf,はるか母,,47
00021391,frame,503,0,756,758,,,,47
00021392,face,1564,920,1601,995,00020b80,はるか父,,47
00021393,face,1106,868,1152,929,00020b80,はるか父,,47
00021394,face,624,385,674,433,00020b24,星はるか,,47
00021395,frame,48,348,506,754,,,,47
00021396,face,1294,961,1354,1032,00020b80,はるか父,,47
00021397,frame,1205,725,1368,1103,,,,47
00021398,face,1542,840,1577,883,00020bbf,はるか母,,47
00021399,body,975,792,1082,953,00020bbf,はるか母,,47
0002139a,body,969,948,1149,1096,00020b24,星はるか,,47
0002139b,text,1470,346,1578,478,,,あーなんか安心したせいかすっかり寝すごしちゃった,47
0002139c,frame,901,324,1610,707,,,,47
0002139d,frame,1371,723,1613,1104,,,,47
0002139e,body,1084,563,1251,696,00020b95,星拓馬,,47
0002139f,frame,56,2,508,335,,,,47
000213a0,text,920,355,953,419,,,塩くれ,47
000213a1,face,319,272,367,317,00020b24,星はるか,,47
000213a2,frame,897,5,1651,316,,,,47
000213a3,body,408,472,454,588,00020b24,星はるか,,47
000213a4,text,1392,739,1431,812,,,ドンマイドンマイ,47
000213a5,text,647,75,731,186,,,はははは調子のって遅くなっちゃった,47
000213a6,body,214,769,747,1099,00020b24,星はるか,,47
000213a7,face,1048,447,1093,505,00020bbf,はるか母,,47
000213a8,body,1251,793,1365,993,00020bbf,はるか母,,47
000213a9,frame,45,768,754,1108,,,,47
000213aa,body,913,517,1115,701,00020b80,はるか父,,47
000213ab,body,1020,421,1117,676,00020bbf,はるか母,,47
000213ac,face,930,533,984,619,00020b80,はるか父,,47
