id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
000216dc,frame,898,5,1598,381,,,,65
000216dd,text,1517,414,1573,489,いやもう気苦労が多くて,,,65
000216de,body,1386,600,1477,729,,00020b22,上条啓太,65
000216df,frame,1330,752,1592,1094,,,,65
000216e0,body,1485,559,1590,728,,00020b24,星はるか,65
000216e1,body,1174,102,1558,376,,00020b24,星はるか,65
000216e2,face,1076,675,1134,735,,00020b22,上条啓太,65
000216e3,text,1362,422,1419,522,そうだなー実力テストもあるしなー,,,65
000216e4,body,997,75,1237,373,,00020b22,上条啓太,65
000216e5,text,922,75,1040,221,ああはるかもムチャクチャ元気そうだな,,,65
000216e6,text,1486,763,1572,892,そうだ！試験範囲のヤマかけたの教えたげようか,,,65
000216e7,body,1341,884,1485,1096,,00020b22,上条啓太,65
000216e8,face,1491,1000,1567,1073,,00020b24,星はるか,65
000216e9,body,986,641,1160,1135,,00020b22,上条啓太,65
000216ea,frame,901,398,1333,1102,,,,65
000216eb,face,1348,207,1417,310,,00020b24,星はるか,65
000216ec,face,1360,961,1436,1083,,00020b22,上条啓太,65
000216ed,text,1229,412,1306,517,よしっ行こう,,,65
000216ee,body,1478,968,1590,1095,,00020b24,星はるか,65
000216ef,face,1121,132,1199,250,,00020b22,上条啓太,65
000216f0,body,1082,715,1288,1143,,00020b24,星はるか,65
000216f1,face,1514,570,1551,613,,00020b24,星はるか,65
000216f2,frame,1339,396,1592,735,,,,65
000216f3,text,1363,769,1419,857,ぜひ,,,65
000216f4,face,1408,626,1441,667,,00020b22,上条啓太,65
000216f5,face,1131,732,1198,795,,00020b24,星はるか,65
000216f6,text,1523,73,1570,209,元気にしてるかあ？,,,65
000216f7,text,973,481,1032,591,でも実カテストの範囲って…？,,,65
