id,type,xmin,ymin,xmax,ymax,character_id,character_name,page_number
00021ab5,body,1415,313,1522,735,00020b22,上条啓太,89
00021ab6,body,1394,924,1501,1169,00020c18,Other,89
00021ab7,body,1419,8,1506,368,00020c18,Other,89
00021ab8,frame,900,3,1406,1169,,,89
00021ab9,frame,1384,2,1595,1169,,,89
00021aba,face,1519,450,1564,491,00020b24,星はるか,89
00021abb,face,1456,340,1495,385,00020b22,上条啓太,89
00021abc,face,1551,859,1586,913,00020c18,Other,89
00021abd,face,1420,24,1448,75,00020c18,Other,89
00021abe,body,1511,834,1586,1169,00020c18,Other,89
00021abf,body,1490,433,1582,736,00020b24,星はるか,89
00021ac0,face,1417,939,1462,993,00020c18,Other,89
