id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00021d1e,frame,1299,36,1627,579,,,,10
00021d1f,text,877,960,944,1091,私と それからそのぷにぷにの本体が在る場所は,,,10
00021d20,body,1480,985,1566,1097,,00021bea,ぷにぷに,10
00021d21,face,1,391,277,956,,00021bcd,千寿院さとり,10
00021d22,text,1046,961,1087,1061,あ…聞いてねー,,,10
00021d23,body,866,780,1127,1106,,00021bcd,千寿院さとり,10
00021d24,body,0,211,305,1169,,00021bcd,千寿院さとり,10
00021d25,frame,485,0,821,1169,,,,10
00021d26,body,1078,1001,1125,1106,,00021bea,ぷにぷに,10
00021d27,body,1413,171,1590,566,,00021bcd,千寿院さとり,10
00021d28,face,354,739,463,835,,00021bea,ぷにぷに,10
00021d29,text,895,345,913,428,え……,,,10
00021d2a,face,1193,1099,1218,1129,,00021bea,ぷにぷに,10
00021d2b,text,1253,841,1323,987,これからおまえの助手をやってもらう,,,10
00021d2c,body,1161,1090,1221,1162,,00021bea,ぷにぷに,10
00021d2d,face,1493,1009,1547,1048,,00021bea,ぷにぷに,10
00021d2e,frame,861,80,1297,524,,,,10
00021d2f,text,1034,609,1098,738,わたしのエビ寿司?,,,10
00021d30,frame,411,0,524,672,,,,10
00021d31,face,938,147,1104,319,,00021bcd,千寿院さとり,10
00021d32,frame,862,777,1123,1105,,,,10
00021d33,frame,304,0,483,1169,,,,10
00021d34,face,447,398,521,535,,00021c62,支部長,10
00021d35,body,436,333,523,642,,00021c62,支部長,10
00021d36,body,850,372,1033,626,,00021bcd,千寿院さとり,10
00021d37,body,920,558,1547,751,,00021bcd,千寿院さとり,10
00021d38,frame,1272,751,1653,1169,,,,10
00021d39,text,408,89,538,304,"詳しくは後で説明するとして
我々がここに来た理由だが",,,10
00021d3a,frame,1137,779,1269,1165,,,,10
00021d3b,text,1148,796,1231,956,"支部ちょー!?
ちょっと待ったぁああ!!!",,,10
00021d3c,frame,0,0,306,1167,,,,10
00021d3d,text,132,133,202,397,異次元カウンセラーをやってもらいたい,,,10
00021d3e,text,1474,803,1570,941,正しくはその物体を借りて思念だけを入れた「ぷにぷに」,,,10
00021d3f,frame,865,560,1543,749,,,,10
00021d40,text,351,432,410,638,"千寿院さとり
おまえにはこれから",,,10
00021d41,body,865,80,1269,522,,00021bcd,千寿院さとり,10
00021d42,face,1462,261,1544,357,,00021bcd,千寿院さとり,10
00021d43,frame,849,371,1040,629,,,,10
00021d44,body,1069,406,1221,519,,00021bea,ぷにぷに,10
00021d45,text,1050,812,1118,919,理解できないだろうから簡単に言うが,,,10
00021d46,text,1380,324,1395,358,?,,,10
00021d47,face,1143,563,1487,745,,00021bcd,千寿院さとり,10
00021d48,text,1340,83,1435,272,……まあそのぐらいでないとやっていけないだろうからな,,,10
00021d49,text,1147,110,1272,290,"さとり
その おまえのキーホルダーに入り込んでる思念は「ぷにぷに」",,,10
00021d4a,text,616,253,717,390,おまえがいる此処とは別の次元だ,,,10
00021d4b,body,350,691,483,962,,00021bea,ぷにぷに,10
00021d4c,body,1272,903,1532,1169,,00021bcd,千寿院さとり,10
00021d4d,text,1500,571,1537,654,君......,,,10
