id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00021d81,frame,391,710,819,840,,,,12
00021d82,face,1251,416,1301,468,00021bcd,千寿院さとり,,12
00021d83,text,1064,425,1150,589,,,おまえにはそれができると私が見込んだ,12
00021d84,frame,879,78,1187,326,,,,12
00021d85,body,543,210,772,578,00021bcd,千寿院さとり,,12
00021d86,frame,0,716,534,1169,,,,12
00021d87,frame,878,329,1190,639,,,,12
00021d88,frame,131,582,727,684,,,,12
00021d89,body,2,706,528,1168,00021bcd,千寿院さとり,,12
00021d8a,body,881,278,999,634,00021c62,支部長,,12
00021d8b,body,1198,341,1327,611,00021bcd,千寿院さとり,,12
00021d8c,text,968,108,1168,325,,,異次元カウンセラーというのはつまり　次元を超えてやってきた「心の病んでしまった患者」の「心を癒やす職業」,12
00021d8d,body,1267,638,1649,1169,00021bcd,千寿院さとり,,12
00021d8e,text,955,878,1131,1111,,,まずはあいつのささくれ立った心を癒やして　おまえと一緒にやっていくことを納得させてほしい,12
00021d8f,body,583,932,665,1154,00021bcd,千寿院さとり,,12
00021d90,frame,1373,0,1653,585,,,,12
00021d91,frame,290,881,768,1163,,,,12
00021d92,body,476,720,700,836,00021bcd,千寿院さとり,,12
00021d93,text,1524,94,1590,226,,,まあ丁度いいか,12
00021d94,face,626,734,675,787,00021bcd,千寿院さとり,,12
00021d95,body,82,79,258,548,00021c62,支部長,,12
00021d96,text,1299,116,1327,194,,,さとり,12
00021d97,text,1223,293,1243,361,,,はい？,12
00021d98,text,230,92,390,459,,,…まあ　すぐに理解できないのもわかる　今日はよく考えてみてくれ,12
00021d99,frame,2,0,822,715,,,,12
00021d9a,body,1376,2,1650,583,00021c62,支部長,,12
00021d9b,text,129,685,141,811,,,…………,12
00021d9c,text,1168,697,1252,869,,,おまえと一緒に仕事をすることを納得できないらしい,12
00021d9d,face,219,724,393,926,00021bcd,千寿院さとり,,12
00021d9e,face,1326,653,1478,938,00021bcd,千寿院さとり,,12
00021d9f,text,1522,673,1570,789,,,ぷにぷににはどうやら,12
00021da0,face,638,290,671,352,00021bcd,千寿院さとり,,12
00021da1,frame,1189,0,1651,637,,,,12
00021da2,frame,1265,638,1650,1169,,,,12
00021da3,text,503,92,523,200,,,…………,12
00021da4,frame,78,69,406,551,,,,12
00021da5,face,890,349,968,531,00021c62,支部長,,12
