id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00022a31,frame,913,311,1586,867,,,,13
00022a32,frame,468,599,744,1092,,,,13
00022a33,text,930,174,991,247,!?,,,13
00022a34,frame,71,80,746,575,,,,13
00022a35,body,388,882,451,1091,,000228e7,源爺ィ,13
00022a36,body,468,677,748,1085,,00022846,平塚蜂兵衛,13
00022a37,text,476,603,520,840,外骨拳じゃ!!!!,,,13
00022a38,body,289,116,626,532,,00022842,鬼島吾郎,13
00022a39,body,1027,318,1519,834,,00022842,鬼島吾郎,13
00022a3a,text,647,611,733,712,平塚流闇空手の奥技…,,,13
00022a3b,face,1204,340,1303,457,,00022842,鬼島吾郎,13
00022a3c,face,360,157,488,339,,00022842,鬼島吾郎,13
00022a3d,body,150,752,270,914,,00022842,鬼島吾郎,13
00022a3e,body,132,957,252,1093,,00022944,留,13
00022a3f,frame,911,85,1586,290,,,,13
00022a40,text,926,323,987,524,なにやってんだっ!!??,,,13
00022a41,text,1520,315,1568,489,わあ！な…なんだっ!?,,,13
00022a42,text,120,633,143,700,えっ!?,,,13
00022a43,body,287,962,404,1090,,00022922,雷造,13
00022a44,body,1263,896,1547,1091,,00022922,雷造,13
00022a45,face,517,813,742,1046,,00022846,平塚蜂兵衛,13
00022a46,frame,75,597,453,1099,,,,13
00022a47,frame,913,889,1584,1094,,,,13
00022a48,face,177,764,227,820,,00022842,鬼島吾郎,13
00022a49,face,486,165,569,319,,00022842,鬼島吾郎,13
00022a4a,text,287,607,439,786,貴様のよ〜な人間のクズにはクズに相応しい仕置きをしてやろ〜！,,,13
00022a4b,text,94,85,179,568,"うわ〜〜〜〜〜っ
なっなんじゃこりゃ〜〜〜!!??",,,13
00022a4c,face,1355,958,1529,1086,,00022922,雷造,13
00022a4d,body,260,819,430,1048,,00022846,平塚蜂兵衛,13
00022a4e,text,679,88,725,220,えっ!!??,,,13
