id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00022e87,body,649,1021,742,1167,00022944,留,,35
00022e88,body,198,426,277,639,000228e7,源爺ィ,,35
00022e89,face,197,79,312,193,00022d01,原黒以蔵の秘書,,35
00022e8a,frame,66,379,355,643,,,,35
00022e8b,face,412,880,460,922,000228e7,源爺ィ,,35
00022e8c,text,370,705,382,755,,,………,35
00022e8d,body,1461,1010,1517,1090,00022944,留,,35
00022e8e,body,1033,693,1144,886,00022944,留,,35
00022e8f,frame,1198,0,1576,579,,,,35
00022e90,body,64,423,212,639,00022d01,原黒以蔵の秘書,,35
00022e91,frame,323,856,744,1165,,,,35
00022e92,text,934,611,1136,657,,,ほいっ 来た!!,35
00022e93,text,298,385,343,576,,,"い…今 忙しいんだ
他をあたりな！",35
00022e94,text,277,861,304,1075,,,よしっ踏み込めっ,35
00022e95,text,72,46,135,155,,,だ…だれだ!?,35
00022e96,body,405,861,486,1165,000228e7,源爺ィ,,35
00022e97,body,1150,241,1188,334,00022846,平塚蜂兵衛,,35
00022e98,body,459,385,681,835,000228e7,源爺ィ,,35
00022e99,face,900,728,963,840,00022922,雷造,,35
00022e9a,frame,64,856,313,1093,,,,35
00022e9b,frame,368,378,744,831,,,,35
00022e9c,face,1119,727,1204,869,00022846,平塚蜂兵衛,,35
00022e9d,body,1509,999,1555,1087,000228e7,源爺ィ,,35
00022e9e,frame,900,904,1284,1091,,,,35
00022e9f,face,1081,731,1125,794,00022944,留,,35
00022ea0,frame,1294,598,1577,1090,,,,35
00022ea1,face,959,728,1032,809,000228e7,源爺ィ,,35
00022ea2,body,78,664,311,839,00022d01,原黒以蔵の秘書,,35
00022ea3,frame,482,80,742,361,,,,35
00022ea4,body,1066,665,1235,885,00022846,平塚蜂兵衛,,35
00022ea5,text,1243,600,1272,881,,,よし 乗り込むぞっ!!,35
00022ea6,body,952,703,1051,886,000228e7,源爺ィ,,35
00022ea7,text,1466,611,1553,733,,,ど〜やらアレが奴の秘密のお愉しみ場所のよ〜だな,35
00022ea8,body,386,662,522,837,00022d01,原黒以蔵の秘書,,35
00022ea9,frame,899,83,1190,579,,,,35
00022eaa,frame,67,1,470,359,,,,35
00022eab,text,632,397,738,603,,,山菜採りに来たら道に迷っちゃって…電話貸して貰えませんか？,35
00022eac,face,118,464,205,556,00022d01,原黒以蔵の秘書,,35
00022ead,face,1062,269,1129,319,00022922,雷造,,35
00022eae,body,1052,245,1143,334,00022922,雷造,,35
00022eaf,frame,901,601,1284,884,,,,35
00022eb0,text,68,384,102,453,,,な…なんだこいつ…？,35
00022eb1,body,571,994,685,1169,00022846,平塚蜂兵衛,,35
00022eb2,face,93,725,176,836,00022d01,原黒以蔵の秘書,,35
00022eb3,frame,64,664,353,835,,,,35
00022eb4,face,506,454,603,546,000228e7,源爺ィ,,35
00022eb5,body,169,28,355,358,00022d01,原黒以蔵の秘書,,35
00022eb6,face,1163,272,1187,321,00022846,平塚蜂兵衛,,35
00022eb7,face,221,464,270,517,000228e7,源爺ィ,,35
00022eb8,body,901,682,1000,885,00022922,雷造,,35
00022eb9,text,492,94,546,275,,,"あの〜〜っ
すみませ〜〜ん",35
00022eba,body,1433,936,1489,1082,00022846,平塚蜂兵衛,,35
