id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00025972,frame,84,89,414,367,,,,97
00025973,text,1159,1042,1246,1127,わー逃げろーーー,,,97
00025974,face,1232,572,1270,628,,00023e61,一堂零,97
00025975,body,78,957,125,1096,,0002576e,本場出須子,97
00025976,face,1204,348,1229,392,,00025769,大場加代,97
00025977,face,1470,1056,1521,1120,,00023e83,Other,97
00025978,body,1499,935,1607,1074,,00023e61,一堂零,97
00025979,body,1375,185,1569,394,,00023e9b,伊狩増代,97
0002597a,frame,904,733,1133,1097,,,,97
0002597b,body,1256,1041,1457,1165,,00023f19,男A,97
0002597c,face,443,500,498,577,,0002576b,天野邪子,97
0002597d,frame,403,399,569,663,,,,97
0002597e,body,871,172,964,430,,00025766,左真紀,97
0002597f,face,1012,251,1068,339,,0002576b,天野邪子,97
00025980,body,355,746,474,1010,,00023e61,一堂零,97
00025981,face,1188,157,1202,180,,00023e61,一堂零,97
00025982,text,122,866,257,1048,その後天野邪子はテストを白紙でだすことはなくなり満点をもとるようになったが零くんはあいかわらず…だった,,,97
00025983,body,1116,104,1171,228,,00023e9b,伊狩増代,97
00025984,body,427,150,582,359,,0002576b,天野邪子,97
00025985,face,707,927,738,998,,00025769,大場加代,97
00025986,body,1184,251,1251,328,,00023e83,Other,97
00025987,body,581,445,742,657,,0002576b,天野邪子,97
00025988,text,1534,737,1584,915,悲劇の類人猿イカリコング!!,,,97
00025989,frame,1303,432,1574,701,,,,97
0002598a,frame,1142,733,1611,1169,,,,97
0002598b,face,566,159,599,203,,00023e9b,伊狩増代,97
0002598c,body,1289,196,1345,306,,00023e83,Other,97
0002598d,body,988,1015,1066,1086,,00023e61,一堂零,97
0002598e,text,932,307,959,369,伊狩…,,,97
0002598f,body,207,397,388,653,,00023e61,一堂零,97
00025990,body,542,955,727,1094,,00025764,三段腹幾重,97
00025991,body,1102,278,1206,430,,0002576e,本場出須子,97
00025992,frame,904,434,1034,701,,,,97
00025993,face,1496,551,1541,606,,00023e61,一堂零,97
00025994,body,1267,311,1340,391,,00023e83,Other,97
00025995,body,1455,515,1565,694,,00023e61,一堂零,97
00025996,face,605,992,667,1058,,00025764,三段腹幾重,97
00025997,body,84,399,393,653,,0002576b,天野邪子,97
00025998,frame,872,89,1348,398,,,,97
00025999,face,493,845,520,889,,00023e9b,伊狩増代,97
0002599a,text,1020,749,1056,789,…さて,,,97
0002599b,frame,1364,89,1574,397,,,,97
0002599c,body,476,825,626,968,,00023e9b,伊狩増代,97
0002599d,text,496,968,538,1084,ひょひょうしぬけた〜,,,97
0002599e,text,1196,441,1283,532,またあるときは正義の使者学校仮面！,,,97
0002599f,text,487,708,506,743,かっ,,,97
000259a0,text,362,409,378,493,いたい！,,,97
000259a1,text,357,105,404,322,どこまで心配かけりゃ気がすむのっ！,,,97
000259a2,text,950,445,1025,530,しかしてその実体は,,,97
000259a3,frame,425,93,745,366,,,,97
000259a4,body,1157,143,1217,194,,00023e61,一堂零,97
000259a5,frame,82,695,747,1100,,,,97
000259a6,body,915,115,948,192,,0002576e,本場出須子,97
000259a7,body,1235,806,1519,1055,,00023e9b,伊狩増代,97
000259a8,text,1027,93,1082,191,フッ名のるほどのもんじゃないが…,,,97
000259a9,face,462,170,507,250,,0002576b,天野邪子,97
000259aa,body,966,203,1120,426,,0002576b,天野邪子,97
000259ab,body,1191,553,1290,694,,00023e61,一堂零,97
000259ac,face,253,449,322,555,,00023e61,一堂零,97
000259ad,body,931,159,973,234,,0002576b,天野邪子,97
000259ae,face,309,968,349,1024,,0002576b,天野邪子,97
