id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00026ede,body,126,482,216,703,000259e3,一堂零,,73
00026edf,face,489,985,517,1063,000259e3,一堂零,,73
00026ee0,text,93,1012,190,1093,,,いいの豪くん？それ配達中なんでしょ,73
00026ee1,face,1494,652,1529,719,000259da,宇留千絵,,73
00026ee2,face,1350,835,1376,867,000259d5,物星大,,73
00026ee3,text,607,383,729,487,,,せっかく盛り上がったのに水をさすようだけどもうないよお酒,73
00026ee4,face,1288,841,1312,876,000259e3,一堂零,,73
00026ee5,body,1338,816,1396,1042,000259d5,物星大,,73
00026ee6,text,452,392,474,448,,,おっとと,73
00026ee7,frame,75,101,459,348,,,,73
00026ee8,face,615,607,644,662,000259da,宇留千絵,,73
00026ee9,face,1407,874,1444,917,000259de,出瀬潔,,73
00026eea,text,1178,444,1211,576,,,配達途中だしちょっとだけだぞ,73
00026eeb,body,1277,124,1526,408,000259fc,冷越豪,,73
00026eec,body,1059,555,1133,751,000259fc,冷越豪,,73
00026eed,face,1293,679,1329,734,000259e0,河川唯,,73
00026eee,body,195,567,341,746,000259fc,冷越豪,,73
00026eef,body,257,461,373,667,000259de,出瀬潔,,73
00026ef0,body,472,955,525,1111,000259e3,一堂零,,73
00026ef1,body,490,397,603,686,000259e0,河川唯,,73
00026ef2,body,1187,206,1228,316,000259e0,河川唯,,73
00026ef3,face,510,428,546,468,000259e0,河川唯,,73
00026ef4,body,1524,821,1577,1111,000259d7,大間仁,,73
00026ef5,body,1253,644,1340,772,000259e0,河川唯,,73
00026ef6,text,910,998,997,1112,,,そんなことしてておまわりさんにつかまっても知りませんよ,73
00026ef7,frame,904,797,1576,1115,,,,73
00026ef8,frame,78,768,525,1113,,,,73
00026ef9,body,1400,477,1452,575,000259fc,冷越豪,,73
00026efa,face,291,484,336,531,000259de,出瀬潔,,73
00026efb,body,373,455,501,651,000259d7,大間仁,,73
00026efc,face,364,988,404,1032,000259d5,物星大,,73
00026efd,text,908,436,990,572,,,ぶ〜〜っ,73
00026efe,frame,535,767,747,1111,,,,73
00026eff,body,373,566,478,742,000259d5,物星大,,73
00026f00,text,239,378,371,459,,,さすが男６人で飲むと１升なんてあっという間だな,73
00026f01,text,924,809,1059,882,,,何ごともなかったような顔で話を進めるなっ！！,73
00026f02,frame,907,100,1574,406,,,,73
00026f03,face,610,859,681,957,000259fc,冷越豪,,73
00026f04,text,453,780,508,876,,,まだここにあるじゃねえか,73
00026f05,face,933,913,969,972,000259e0,河川唯,,73
00026f06,face,265,1068,289,1094,000259da,宇留千絵,,73
00026f07,body,185,997,380,1115,000259da,宇留千絵,,73
00026f08,text,1177,116,1241,169,,,あ豪くんだ,73
00026f09,face,157,510,193,561,000259e3,一堂零,,73
00026f0a,text,413,893,491,995,,,おおさすが豪くん,73
00026f0b,frame,473,0,744,348,,,,73
00026f0c,text,500,558,531,590,,,あそう,73
00026f0d,body,517,580,701,743,000259da,宇留千絵,,73
00026f0e,face,1036,939,1072,998,000259da,宇留千絵,,73
00026f0f,body,259,800,376,1018,000259fc,冷越豪,,73
00026f10,body,1144,814,1253,1037,000259fc,冷越豪,,73
00026f11,text,920,284,1036,375,,,"これからお花見するのよ〜〜っよかったら
あんたもどぉ！？",73
00026f12,body,80,837,170,993,000259e0,河川唯,,73
00026f13,face,599,497,628,550,000265f2,河川板造,,73
00026f14,body,973,886,1086,1113,000259da,宇留千絵,,73
00026f15,body,1133,245,1180,316,000259da,宇留千絵,,73
00026f16,frame,904,433,1236,771,,,,73
00026f17,face,1542,851,1575,902,000259d7,大間仁,,73
00026f18,body,549,477,666,675,000265f2,河川板造,,73
00026f19,body,322,959,421,1112,000259d5,物星大,,73
00026f1a,text,1525,438,1559,549,,,チッしょーがねえなあ〜,73
00026f1b,text,1368,661,1445,741,,,ま ひとりくらい増えても同じだもんね,73
00026f1c,text,1111,816,1134,858,,,よっこらせと,73
00026f1d,face,416,478,465,537,000259d7,大間仁,,73
00026f1e,body,1062,243,1101,307,000265f2,河川板造,,73
00026f1f,text,476,136,625,235,,,はっはっはっ,73
00026f20,face,118,873,155,939,000259e0,河川唯,,73
00026f21,body,1254,808,1364,1093,000259e3,一堂零,,73
00026f22,face,219,165,309,290,000265f2,河川板造,,73
00026f23,frame,1250,436,1576,771,,,,73
00026f24,text,1207,808,1269,876,,,いいねえお花見かぁ,73
00026f25,frame,78,373,745,745,,,,73
00026f26,text,549,776,588,985,,,チェッしみったれたこといってんじゃねーよ,73
00026f27,text,91,386,192,485,,,ほとんどおじさんと豪くんで飲んだようなもんだけどね,73
00026f28,text,1473,117,1557,226,,,おーい何やってんだそんなとこで！？,73
00026f29,text,102,119,167,246,,,遠慮はいらんどんどんやってくれたまえ！！,73
00026f2a,text,1441,805,1539,887,,,やぁ唯ちゃん千絵ちゃんひさしぶりだね,73
00026f2b,body,1438,621,1576,765,000259da,宇留千絵,,73
00026f2c,body,538,807,749,1112,000259fc,冷越豪,,73
00026f2d,body,1399,849,1542,1116,000259de,出瀬潔,,73
00026f2e,text,348,127,449,244,,,さぁきょうはみんなの卒業祝いをかねて大いに飲もう,73
00026f2f,body,906,888,972,998,000259e0,河川唯,,73
00026f30,body,113,115,432,344,000265f2,河川板造,,73
