id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
000274fb,frame,1492,3,1640,438,,,,6
000274fc,body,213,526,324,872,000274fd,ささら,,6
000274fe,face,1240,594,1489,825,00027488,如月雛菊,,6
000274ff,body,1085,571,1569,871,00027488,如月雛菊,,6
00027500,body,1190,175,1498,535,00027488,如月雛菊,,6
00027501,face,1093,291,1163,361,00027466,鏡堂天城,,6
00027502,frame,1,932,542,1169,,,,6
00027503,body,1292,998,1403,1131,00027488,如月雛菊,,6
00027504,text,1200,98,1269,238,,,江戸での勉強はもう終わったの？,6
00027505,frame,207,2,772,888,,,,6
00027506,text,482,917,531,1032,,,ささっ遠慮なさらず,6
00027507,frame,886,901,1587,1134,,,,6
00027508,body,363,4,774,815,00027488,如月雛菊,,6
00027509,text,1548,75,1573,193,,,...誰だ💧,6
0002750a,frame,887,565,1588,869,,,,6
0002750b,text,945,597,1128,800,,,"わからなかったんだよー
だって前はもっと女の子みたいな感じだったし背だってそんなに高くなかったでしょ",6
0002750c,face,937,384,993,432,00027488,如月雛菊,,6
0002750d,face,209,757,316,836,000274fd,ささら,,6
0002750e,text,1143,98,1159,175,,,もちろん,6
0002750f,text,1425,939,1511,1100,,,"そうか～～～
帰ってきたんだぁ",6
00027510,frame,886,70,1025,540,,,,6
00027511,frame,3,1,199,879,,,,6
00027512,frame,1182,70,1587,542,,,,6
00027513,body,888,344,1009,536,00027488,如月雛菊,,6
00027514,body,1501,232,1630,432,000274ce,石川剣,,6
00027515,face,479,80,732,396,00027488,如月雛菊,,6
00027516,text,1044,412,1089,516,,,だから帰ってきたんだよ,6
00027517,face,1316,254,1431,371,00027488,如月雛菊,,6
00027518,frame,1034,72,1171,540,,,,6
00027519,body,1065,236,1168,532,00027466,鏡堂天城,,6
0002751a,text,389,364,459,657,,,"おかえりなさい
鏡堂天城君！",6
0002751b,body,7,335,201,864,000274ce,石川剣,,6
0002751c,text,1529,594,1564,698,,,忘れてたっていうかね,6
0002751d,text,76,129,112,303,,,......鏡堂,6
0002751e,text,932,133,996,237,,,そかそかーそれはご苦労さまでした,6
0002751f,face,92,556,201,797,000274ce,石川剣,,6
