id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00028187,text,1186,685,1226,831,絵ってこの絵のこと言ってんの！？,,,85
00028188,face,1494,405,1541,452,,00027488,如月雛菊,85
00028189,body,1165,420,1235,576,,000274ce,石川剣,85
0002818a,frame,881,875,1587,1118,,,,85
0002818b,body,276,350,521,641,,000274ce,石川剣,85
0002818c,text,97,727,223,1002,イタいことだと思いますから,,,85
0002818d,text,1461,638,1567,718,いやっえぇえ絵！？,,,85
0002818e,text,1003,886,1120,1107,こんな芸術みたいな作品を捜査に使うのもなんかもったいないような気がしないでもないっていうかなんていうか,,,85
0002818f,face,306,838,671,1169,,00027488,如月雛菊,85
00028190,text,1176,51,1402,319,あぁああんたなんでついて来んのー！！？,,,85
00028191,body,1161,875,1387,1118,,00027488,如月雛菊,85
00028192,text,938,1025,961,1141,雛菊さん！,,,85
00028193,frame,0,0,770,644,,,,85
00028194,frame,1469,1,1653,579,,,,85
00028195,face,441,431,484,489,,00027488,如月雛菊,85
00028196,frame,881,0,1457,576,,,,85
00028197,text,910,635,978,744,ほかにどんな絵があるんですか,,,85
00028198,frame,883,604,1589,849,,,,85
00028199,body,1281,667,1543,847,,00027488,如月雛菊,85
0002819a,frame,2,669,770,1169,,,,85
0002819b,body,1277,441,1459,577,,00027488,如月雛菊,85
0002819c,body,401,414,583,644,,00027488,如月雛菊,85
0002819d,body,1488,374,1564,577,,00027488,如月雛菊,85
0002819e,body,944,603,1145,848,,000274ce,石川剣,85
0002819f,face,1216,920,1311,1005,,00027488,如月雛菊,85
000281a0,text,273,46,575,269,自分でヘタだってわかってるのにそれをヘタだって認められないのは,,,85
000281a1,body,44,671,771,1165,,00027488,如月雛菊,85
000281a2,text,1433,893,1560,1060,だってこの絵見せなくても済むなら見せないで済む方がはやいわけだし,,,85
000281a3,face,1325,702,1395,772,,00027488,如月雛菊,85
000281a4,text,972,322,1019,470,その絵見せないんですか,,,85
000281a5,face,325,388,359,452,,000274ce,石川剣,85
