id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00028c2e,frame,935,441,1601,657,,,,56
00028c2f,frame,39,1006,386,1101,,,,56
00028c30,frame,0,2,707,665,,,,56
00028c31,body,953,900,1019,968,0002842a,鳴神源五郎,,56
00028c32,body,420,353,465,509,0002842a,鳴神源五郎,,56
00028c33,frame,934,673,1095,1093,,,,56
00028c34,frame,1086,631,1601,1095,,,,56
00028c35,text,993,102,1060,251,,,いててててヘルメットなぐっちまった！,56
00028c36,body,1200,726,1422,1030,0002842a,鳴神源五郎,,56
00028c37,face,415,896,517,1028,0002842a,鳴神源五郎,,56
00028c38,frame,1103,90,1600,434,,,,56
00028c39,text,1455,691,1577,889,,,4時55分！　帰りぎわの理都に会うだけだがそれでもいい！,56
00028c3a,frame,528,806,704,1100,,,,56
00028c3b,body,378,802,520,1103,0002842a,鳴神源五郎,,56
00028c3c,body,1169,91,1504,347,0002842a,鳴神源五郎,,56
00028c3d,face,1219,133,1312,216,0002842a,鳴神源五郎,,56
00028c3e,body,50,810,364,976,0002842a,鳴神源五郎,,56
00028c3f,frame,40,806,384,981,,,,56
00028c40,body,964,295,1063,416,0002842a,鳴神源五郎,,56
00028c41,text,1125,690,1187,797,,,間に合う………！,56
00028c42,text,1486,109,1576,275,,,大人をなめるな！,56
00028c43,face,217,871,284,911,0002842a,鳴神源五郎,,56
00028c44,frame,375,804,518,1101,,,,56
00028c45,frame,234,662,659,803,,,,56
00028c46,text,332,814,358,920,,,くそっ!!,56
00028c47,face,1005,299,1055,352,0002842a,鳴神源五郎,,56
00028c48,frame,935,88,1096,418,,,,56
00028c49,body,281,664,608,799,0002842a,鳴神源五郎,,56
00028c4a,face,324,685,579,803,0002842a,鳴神源五郎,,56
00028c4b,body,251,548,283,576,000281df,ネコ,,56
00028c4c,face,1313,757,1380,802,0002842a,鳴神源五郎,,56
