id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00028cec,text,1017,691,1036,753,………,,,62
00028ced,text,509,374,686,578,それよりもむしろ…　私自身が許せないの…！,,,62
00028cee,body,443,99,507,318,,000281d9,星崎理都,62
00028cef,body,1111,111,1258,377,,000281d9,星崎理都,62
00028cf0,text,1115,422,1140,531,だったら！,,,62
00028cf1,body,484,656,697,1165,,000281d9,星崎理都,62
00028cf2,frame,1070,659,1653,1086,,,,62
00028cf3,text,28,92,272,295,アンモナイトを壊したことはやっぱり許せないけど…　端島先生が亡くなったあの事故に関してあなたに責任がないことは　わかってるつもりよ,,,62
00028cf4,face,1318,160,1498,279,,0002842a,鳴神源五郎,62
00028cf5,text,391,547,416,733,あのとき―――,,,62
00028cf6,body,1006,522,1035,610,,000281d9,星崎理都,62
00028cf7,text,955,102,1090,232,あなたくらいの年頃はいとも軽くそういう言葉をロにできるのね,,,62
00028cf8,frame,34,364,423,526,,,,62
00028cf9,body,1287,463,1377,634,,000281d9,星崎理都,62
00028cfa,body,1067,524,1100,606,,0002842a,鳴神源五郎,62
00028cfb,frame,1260,83,1600,388,,,,62
00028cfc,text,1544,681,1608,838,本当は…顔も見たくないの…,,,62
00028cfd,frame,938,413,1171,635,,,,62
00028cfe,text,74,615,126,719,なんとかならあ！,,,62
00028cff,body,284,53,393,343,,0002842a,鳴神源五郎,62
00028d00,body,34,367,380,530,,0002842a,鳴神源五郎,62
00028d01,text,276,554,322,691,救急隊にまかせましょう！,,,62
00028d02,frame,938,83,1105,388,,,,62
00028d03,frame,3,531,429,1167,,,,62
00028d04,frame,12,922,292,1158,,,,62
00028d05,text,971,434,984,502,………,,,62
00028d06,face,1148,180,1243,263,,000281d9,星崎理都,62
00028d07,body,177,777,215,840,,000281eb,端島密,62
00028d08,frame,1110,85,1253,390,,,,62
00028d09,body,137,797,182,860,,000281d9,星崎理都,62
00028d0a,body,935,664,1063,1085,,0002842a,鳴神源五郎,62
00028d0b,body,1384,433,1560,641,,0002842a,鳴神源五郎,62
00028d0c,text,535,94,682,255,誤解しないで　あなたをせめてるわけじゃないの,,,62
00028d0d,face,282,172,394,311,,0002842a,鳴神源五郎,62
00028d0e,frame,431,369,702,1169,,,,62
00028d0f,frame,0,0,284,343,,,,62
00028d10,frame,396,0,700,345,,,,62
00028d11,text,1505,433,1577,564,と…歳はカンケーねーだろ！,,,62
00028d12,body,1259,85,1587,387,,0002842a,鳴神源五郎,62
00028d13,text,1540,100,1577,259,好きだからだ,,,62
00028d14,text,188,620,242,721,それに　先生確か泳げな…,,,62
00028d15,text,1199,429,1267,503,そうね関係ないかもね,,,62
00028d16,frame,285,1,395,344,,,,62
00028d17,text,1149,685,1303,838,あなたの顔を見るとどうしても端島先生のことを思い出してしまうから,,,62
00028d18,body,1329,837,1515,1080,,000281d9,星崎理都,62
00028d19,frame,934,661,1063,1085,,,,62
00028d1a,face,935,792,1059,1082,,000281eb,端島密,62
00028d1b,body,401,231,461,342,,0002842a,鳴神源五郎,62
00028d1c,frame,1176,413,1272,636,,,,62
00028d1d,face,38,383,305,526,,0002842a,鳴神源五郎,62
00028d1e,frame,1279,413,1603,635,,,,62
