id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00029f4a,text,1244,569,1318,654,わあほんとうですか！,,,46
00029f4b,body,657,150,749,293,,000292f1,Other,46
00029f4c,body,975,427,1035,533,,000292ac,小桃,46
00029f4d,body,370,493,454,582,,000292f1,Other,46
00029f4e,text,465,101,528,193,じゃあ先行っててください！,,,46
00029f4f,body,1124,894,1171,1083,,000292f1,Other,46
00029f50,face,1266,867,1315,919,,000292a8,原之進,46
00029f51,body,1030,325,1171,535,,000292a8,原之進,46
00029f52,frame,908,89,1191,538,,,,46
00029f53,frame,1336,558,1583,879,,,,46
00029f54,body,304,518,375,667,,000292f1,Other,46
00029f55,face,1006,950,1029,986,,000292a8,原之進,46
00029f56,face,291,137,310,165,,000292f1,Other,46
00029f57,face,1284,271,1323,318,,000292a8,原之進,46
00029f58,body,74,435,117,551,,000292f1,Other,46
00029f59,face,1188,709,1256,806,,000292ac,小桃,46
00029f5a,body,1184,796,1325,1095,,000292a8,原之進,46
00029f5b,body,309,754,399,870,,000292f1,Other,46
00029f5c,text,367,113,435,200,グゥドバイ!!,,,46
00029f5d,body,645,428,726,606,,000292fc,友樹,46
00029f5e,body,563,362,669,711,,000292f1,Other,46
00029f5f,frame,72,317,555,731,,,,46
00029f60,body,562,969,726,1102,,000292fc,友樹,46
00029f61,body,924,408,992,537,,000292fc,友樹,46
00029f62,frame,1172,424,1581,537,,,,46
00029f63,face,1342,644,1404,702,,000292fc,友樹,46
00029f64,body,73,754,285,1104,,000292f1,Other,46
00029f65,body,1373,250,1508,364,,000292fc,友樹,46
00029f66,body,186,545,265,694,,000292f1,Other,46
00029f67,face,731,178,748,208,,000292f1,Other,46
00029f68,text,677,761,736,851,ああさっき裏ロの方に行ったよ,,,46
00029f69,frame,1189,87,1581,227,,,,46
00029f6a,frame,1182,247,1580,403,,,,46
00029f6b,body,912,853,989,975,,000292f1,Other,46
00029f6c,frame,1339,902,1583,1102,,,,46
00029f6d,body,354,202,441,292,,000292f1,Other,46
00029f6e,body,1186,641,1285,808,,000292ac,小桃,46
00029f6f,text,644,318,702,417,あのォ新聞社のものですけど,,,46
00029f70,face,1439,685,1492,746,,000292ac,小桃,46
00029f71,text,484,326,542,443,中山幸四郎さんいらっしゃいますかァ,,,46
00029f72,text,343,1006,401,1095,おつかれさまでーす！,,,46
00029f73,face,620,210,647,237,,000292fc,友樹,46
00029f74,text,77,102,135,168,しっかしのってるなァ・・・・,,,46
00029f75,body,1338,579,1433,878,,000292fc,友樹,46
00029f76,body,74,183,137,293,,000292f1,Other,46
00029f77,body,1171,424,1306,535,,000292a8,原之進,46
00029f78,frame,1184,559,1326,1102,,,,46
00029f79,body,266,118,313,169,,000292f1,Other,46
00029f7a,text,115,648,129,713,さあ・・・・,,,46
00029f7b,body,74,524,120,638,,000292f1,Other,46
00029f7c,face,997,838,1019,869,,000292f1,Other,46
00029f7d,body,83,86,285,293,,000292a8,原之進,46
00029f7e,face,108,845,157,919,,000292f1,Other,46
00029f7f,frame,910,800,1173,1100,,,,46
00029f80,body,1217,87,1520,225,,000292a8,原之進,46
00029f81,body,455,201,506,293,,000292f1,Other,46
00029f82,body,1052,936,1140,1099,,000292ac,小桃,46
00029f83,text,1043,802,1177,898,"小桃は病み上がりなんだ
ここで待つなんてできないぞ",,,46
00029f84,frame,908,559,1175,777,,,,46
00029f85,frame,72,87,443,294,,,,46
00029f86,text,930,253,973,339,はい！とっても,,,46
00029f87,face,1084,964,1114,1000,,000292ac,小桃,46
00029f88,body,1409,638,1538,878,,000292ac,小桃,46
00029f89,body,308,94,370,293,,000292f1,Other,46
00029f8a,body,934,567,1173,774,,000292fc,友樹,46
00029f8b,body,279,378,349,467,,000292f1,Other,46
00029f8c,body,1505,649,1583,878,,000292a8,原之進,46
00029f8d,text,438,932,539,1089,"どうもありがとうございました
明開新聞をよろしく！",,,46
00029f8e,face,998,449,1026,482,,000292ac,小桃,46
00029f8f,text,1457,562,1578,660,小桃さん中山幸四郎のサインもらってきましょうか？,,,46
00029f90,face,610,1012,643,1039,,000292fc,友樹,46
00029f91,body,1205,248,1364,383,,000292a8,原之進,46
00029f92,body,166,617,236,728,,000292f1,Other,46
00029f93,text,1352,1001,1413,1091,サインつまり署名ですな,,,46
00029f94,text,1258,960,1317,1092,また冴草さんから教えてもらった英米語かよ,,,46
00029f95,frame,562,314,746,731,,,,46
00029f96,body,1305,425,1462,535,,000292fc,友樹,46
00029f97,text,1356,821,1371,862,え？,,,46
00029f98,body,379,325,457,447,,000292fc,友樹,46
00029f99,face,1338,459,1411,532,,000292fc,友樹,46
00029f9a,body,219,773,324,1034,,000292fc,友樹,46
00029f9b,frame,433,751,746,908,,,,46
00029f9c,text,1103,563,1167,655,新聞記者は嘘つきません！,,,46
00029f9d,face,565,390,595,426,,000292f1,Other,46
00029f9e,text,1473,252,1577,395,"さすが銀座小町です
プライドが高いんですよ",,,46
00029f9f,text,1473,433,1577,516,"「誇り」ってことです
冴草さんに教わったんです",,,46
00029fa0,text,409,608,535,726,"幸四郎？
だれか幸四郎知ってるか!?",,,46
00029fa1,body,557,199,601,289,,000292f1,Other,46
00029fa2,body,571,145,690,291,,000292fc,友樹,46
00029fa3,frame,73,752,424,1105,,,,46
00029fa4,face,1215,425,1289,517,,000292a8,原之進,46
00029fa5,body,496,191,566,293,,000292f1,Other,46
00029fa6,face,1271,104,1352,185,,000292a8,原之進,46
00029fa7,body,244,171,330,293,,000292ac,小桃,46
00029fa8,face,1434,263,1472,309,,000292fc,友樹,46
00029fa9,face,227,807,248,835,,000292fc,友樹,46
00029faa,text,915,693,976,766,じゃ行ってきます！,,,46
00029fab,face,276,209,322,253,,000292ac,小桃,46
00029fac,body,449,514,514,632,,000292f1,Other,46
00029fad,text,1507,110,1566,193,"なっ！
高慢ちきな女だったろ",,,46
00029fae,face,1520,907,1580,1018,,000292a8,原之進,46
00029faf,text,1197,344,1230,390,イモが高い？,,,46
00029fb0,face,911,885,926,915,,000292f1,Other,46
00029fb1,body,1386,904,1583,1101,,000292a8,原之進,46
00029fb2,body,991,805,1088,1035,,000292f1,Other,46
00029fb3,face,574,791,609,840,,00029fb4,男I,46
00029fb5,text,1107,100,1166,182,小桃おもしろかったか？,,,46
00029fb6,frame,454,89,749,294,,,,46
00029fb7,face,936,430,967,463,,000292fc,友樹,46
00029fb8,face,1064,362,1097,401,,000292a8,原之進,46
00029fb9,body,911,902,1068,1101,,000292a8,原之進,46
00029fba,frame,433,909,747,1103,,,,46
00029fbb,face,1068,667,1114,724,,000292fc,友樹,46
00029fbc,body,188,343,266,430,,000292f1,Other,46
00029fbd,body,571,755,690,900,,00029fb4,男I,46
00029fbe,face,180,124,229,175,,000292a8,原之進,46
