id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0002afec,face,601,167,743,299,000292fc,友樹,,108
0002afed,body,1359,906,1574,1099,000292a8,原之進,,108
0002afee,face,332,633,400,705,000292fc,友樹,,108
0002afef,text,86,102,162,216,,,どうしたんですか！？,108
0002aff0,body,571,94,746,430,000292fc,友樹,,108
0002aff1,frame,1246,903,1574,1102,,,,108
0002aff2,body,312,612,432,849,000292fc,友樹,,108
0002aff3,face,388,960,442,1013,000292a8,原之進,,108
0002aff4,frame,66,86,390,434,,,,108
0002aff5,face,76,945,218,1053,000292fc,友樹,,108
0002aff6,face,902,786,1036,914,000292ac,小桃,,108
0002aff7,body,384,940,469,1098,000292a8,原之進,,108
0002aff8,face,157,501,230,576,000292ac,小桃,,108
0002aff9,body,545,894,722,1101,000292fc,友樹,,108
0002affa,text,428,890,513,978,,,よろしくおねがいします！！,108
0002affb,body,1151,291,1196,446,000292fc,友樹,,108
0002affc,text,1262,932,1340,1035,,,三日前なら届くにはまだ二　三日かかるかな……,108
0002affd,body,251,112,342,230,000292fc,友樹,,108
0002affe,frame,1247,712,1413,887,,,,108
0002afff,text,1093,732,1224,934,,,しかしおまえのその熱の上げようじゃ　友樹のやつに手紙より先に通じちまいそうだな,108
0002b000,body,332,454,484,590,000292a8,原之進,,108
0002b001,body,69,874,235,1097,000292fc,友樹,,108
0002b002,frame,906,87,1333,486,,,,108
0002b003,frame,1421,712,1580,886,,,,108
0002b004,text,1447,739,1485,818,,,三日前からって？,108
0002b005,face,1298,514,1336,544,000292a8,原之進,,108
0002b006,body,1247,725,1354,882,000292ac,小桃,,108
0002b007,face,492,267,537,306,000292fc,友樹,,108
0002b008,body,903,717,1074,1098,000292ac,小桃,,108
0002b009,face,401,461,483,561,000292a8,原之進,,108
0002b00a,body,1273,506,1394,603,000292a8,原之進,,108
0002b00b,body,1472,722,1578,884,000292a8,原之進,,108
0002b00c,frame,903,715,1071,1101,,,,108
0002b00d,frame,68,448,519,590,,,,108
0002b00e,face,540,1006,590,1047,000292ac,小桃,,108
0002b00f,text,451,672,499,760,,,谷川友樹十八歳,108
0002b010,frame,907,503,1581,694,,,,108
0002b011,frame,568,84,740,434,,,,108
0002b012,face,1386,914,1482,991,000292a8,原之進,,108
0002b013,face,628,489,659,520,000292fc,友樹,,108
0002b014,body,1085,936,1237,1100,000292a8,原之進,,108
0002b015,frame,67,608,521,853,,,,108
0002b016,text,88,677,306,836,,,このたび日本一の新聞記者になるために上京してまいりましたァ！！,108
0002b017,body,1411,129,1521,463,000292fc,友樹,,108
0002b018,body,619,468,685,836,000292fc,友樹,,108
0002b019,text,1360,724,1403,850,,,毎日三通も出してるんです,108
0002b01a,body,1045,518,1183,676,000292ac,小桃,,108
0002b01b,text,925,536,981,601,,,はい三日前から……,108
0002b01c,text,1529,923,1563,994,,,ハハ……そうか,108
0002b01d,text,257,480,314,545,,,ゆ……友樹さん……,108
0002b01e,body,451,243,557,434,000292fc,友樹,,108
0002b01f,body,101,472,229,588,000292ac,小桃,,108
0002b020,text,1486,511,1567,625,,,家樹に帰ってこいって手紙書いたんだろ？,108
0002b021,frame,1084,717,1238,1097,,,,108
0002b022,frame,1348,87,1580,487,,,,108
0002b023,frame,374,874,745,1100,,,,108
0002b024,face,1249,778,1348,856,000292ac,小桃,,108
0002b025,frame,69,874,363,1102,,,,108
0002b026,frame,396,84,557,432,,,,108
0002b027,body,526,975,592,1097,000292ac,小桃,,108
0002b028,face,1122,1002,1213,1071,000292a8,原之進,,108
0002b029,face,1505,733,1577,842,000292a8,原之進,,108
0002b02a,frame,531,457,741,849,,,,108
0002b02b,text,226,893,346,1096,,,ところで原之進さんさっそくですけど特ダネです！！,108
