id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0002b77b,frame,423,839,779,1079,,,,26
0002b77c,face,1446,189,1536,311,0002b736,チャレン爺,,26
0002b77d,frame,105,58,777,587,,,,26
0002b77e,text,1444,82,1530,172,,,カグヤはわしらがさしむけたのじゃ,26
0002b77f,body,1418,163,1543,313,0002b736,チャレン爺,,26
0002b780,face,181,707,218,785,0002b044,地々井,,26
0002b781,text,442,848,510,942,,,よしよし次は干してくるのじゃ,26
0002b782,text,1482,606,1528,726,,,あーっ,26
0002b783,text,337,600,430,714,,,犠牲者はすでに６人にのぼっており‥‥,26
0002b784,face,1149,243,1201,306,0002b736,チャレン爺,,26
0002b785,body,135,951,196,990,0002b786,一寸法師,,26
0002b787,text,1019,609,1056,652,,,帰ったらモチつきじゃぞ！,26
0002b788,body,1294,350,1496,558,0002b736,チャレン爺,,26
0002b789,frame,876,591,1152,1076,,,,26
0002b78a,face,389,241,535,404,0002b044,地々井,,26
0002b78b,text,697,848,764,940,,,おばあさん洗濯おわりました,26
0002b78c,body,993,859,1088,1073,0002b07f,鶴瑠,,26
0002b78d,text,1221,934,1274,1043,,,わしの財産豪邸が‥‥！,26
0002b78e,text,892,81,959,195,,,あの‥‥私のわけまえは？,26
0002b78f,face,924,240,982,307,0002b663,カグヤ,,26
0002b790,frame,449,589,778,818,,,,26
0002b791,face,1341,382,1444,489,0002b736,チャレン爺,,26
0002b792,text,988,717,1141,859,,,追うのじゃ鶴瑠‼持っていかせるな‼‥‥なにをしとる!?,26
0002b793,body,625,974,756,1077,0002b07f,鶴瑠,,26
0002b794,frame,1239,69,1545,315,,,,26
0002b795,text,1100,70,1220,190,,,さあカグヤよ地球人からまきあげたものを積みこむのじゃ！,26
0002b796,frame,874,65,1230,313,,,,26
0002b797,body,1142,221,1230,313,0002b736,チャレン爺,,26
0002b798,text,124,600,185,689,,,都はおそろしいとこじゃの,26
0002b799,face,1463,968,1508,1041,0002b044,地々井,,26
0002b79a,face,1363,215,1393,246,0002b663,カグヤ,,26
0002b79b,text,332,847,407,955,,,洗濯してたら川からこんなものが,26
0002b79c,text,899,884,947,991,,,同情しちゃうわー,26
0002b79d,face,1003,891,1033,934,0002b07f,鶴瑠,,26
0002b79e,body,366,743,399,795,0002b048,お金,,26
0002b79f,face,229,917,309,993,0002b07f,鶴瑠,,26
0002b7a0,face,1245,241,1314,308,0002b044,地々井,,26
0002b7a1,face,487,961,560,1073,0002b048,お金,,26
0002b7a2,face,1200,459,1250,505,0002b663,カグヤ,,26
0002b7a3,body,481,651,636,804,0002b176,Other,,26
0002b7a4,body,1059,923,1156,1061,0002b044,地々井,,26
0002b7a5,body,875,176,1021,311,0002b663,カグヤ,,26
0002b7a6,face,1085,266,1124,301,0002b743,エンデ婆,,26
0002b7a7,body,316,196,622,475,0002b044,地々井,,26
0002b7a8,body,1183,397,1363,571,0002b663,カグヤ,,26
0002b7a9,face,507,681,567,756,0002b176,Other,,26
0002b7aa,body,149,850,378,1080,0002b07f,鶴瑠,,26
0002b7ab,face,680,1002,725,1047,0002b07f,鶴瑠,,26
0002b7ac,text,1460,341,1527,432,,,たわけ‼身のほどをしれい‼,26
0002b7ad,body,1063,236,1143,312,0002b743,エンデ婆,,26
0002b7ae,body,355,717,443,820,0002b048,お金,,26
0002b7af,frame,106,837,414,1081,,,,26
0002b7b0,body,1438,966,1545,1074,0002b044,地々井,,26
0002b7b1,body,1238,238,1348,313,0002b044,地々井,,26
0002b7b2,face,1084,934,1142,999,0002b044,地々井,,26
0002b7b3,frame,110,589,441,816,,,,26
0002b7b4,text,888,606,934,669,,,あ～んわかりましたぁ～,26
0002b7b5,text,1256,99,1294,209,,,な‥‥なんじゃと!?,26
0002b7b6,text,664,601,759,711,,,こちらが昨日女性が鬼にさらわれた現場です,26
0002b7b7,body,1339,187,1414,310,0002b663,カグヤ,,26
0002b7b8,frame,1183,335,1544,575,,,,26
0002b7b9,frame,878,329,1177,575,,,,26
0002b7ba,frame,1162,589,1544,1074,,,,26
0002b7bb,body,119,702,237,820,0002b044,地々井,,26
0002b7bc,body,425,931,575,1079,0002b048,お金,,26
