id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0002c2a1,text,122,82,160,172,なんとあっけない,,,62
0002c2a2,body,588,707,695,819,,0002b044,地々井,62
0002c2a3,face,1406,326,1456,399,,0002b044,地々井,62
0002c2a4,text,675,622,764,694,ばーさん今夜はカニすきじゃ,,,62
0002c2a5,face,1399,611,1506,727,,0002b044,地々井,62
0002c2a6,body,945,625,1018,681,,0002c217,カニ母,62
0002c2a7,frame,881,511,1199,725,,,,62
0002c2a8,text,305,351,423,488,これからもっと活躍してもらおうと思っておったのに‥‥,,,62
0002c2a9,body,1057,320,1184,487,,0002b048,お金,62
0002c2aa,body,1350,600,1550,727,,0002b044,地々井,62
0002c2ab,text,119,717,189,807,わはは,,,62
0002c2ac,body,1106,861,1192,937,,0002c217,カニ母,62
0002c2ad,frame,434,71,775,590,,,,62
0002c2ae,body,104,198,289,327,,0002b044,地々井,62
0002c2af,face,1089,630,1164,723,,0002b044,地々井,62
0002c2b0,text,913,517,954,610,冷たいじゃないですか,,,62
0002c2b1,face,329,243,417,312,,0002b048,お金,62
0002c2b2,frame,105,606,391,824,,,,62
0002c2b3,text,441,488,499,560,きゃっ,,,62
0002c2b4,body,254,694,362,780,,0002c2b5,カニ,62
0002c2b6,text,1470,79,1539,235,わははは,,,62
0002c2b7,body,267,994,342,1046,,0002c2b5,カニ,62
0002c2b8,text,1472,756,1540,828,あたしもメロン食べたい,,,62
0002c2b9,text,117,850,224,984,じじばばをやっつける手伝いをしてくれー,,,62
0002c2ba,frame,883,69,1549,493,,,,62
0002c2bb,frame,400,606,771,825,,,,62
0002c2bc,body,522,964,758,1076,,0002c2b5,カニ,62
0002c2bd,text,349,87,416,159,あっ死んでしもうた,,,62
0002c2be,body,280,211,426,327,,0002b048,お金,62
0002c2bf,text,1260,118,1334,209,見よこの立派な果樹園を‼,,,62
0002c2c0,face,1512,927,1547,968,,0002b07f,鶴瑠,62
0002c2c1,text,1242,520,1280,608,私にメロンとって,,,62
0002c2c2,text,478,853,549,960,‥‥しかしぼくひとりの力では‥‥,,,62
0002c2c3,text,697,853,763,961,くそー必ずカタキをうってやるぞ,,,62
0002c2c4,text,1138,516,1188,627,甘えるでない自分でとれ！,,,62
0002c2c5,body,1249,425,1312,470,,0002c217,カニ母,62
0002c2c6,body,1281,872,1382,988,,0002c217,カニ母,62
0002c2c7,frame,103,71,428,328,,,,62
0002c2c8,frame,105,346,427,588,,,,62
0002c2c9,text,118,351,183,495,カニよおまえの死はムダにはせんぞ‼,,,62
0002c2ca,text,1487,526,1539,598,おお味も最高じゃ,,,62
0002c2cb,body,492,703,580,819,,0002b048,お金,62
0002c2cc,frame,1258,746,1547,1075,,,,62
0002c2cd,frame,881,744,1064,1073,,,,62
0002c2ce,body,1044,619,1199,726,,0002b044,地々井,62
0002c2cf,text,398,872,456,954,だれかー,,,62
0002c2d0,frame,105,843,464,1078,,,,62
0002c2d1,body,1378,959,1515,1075,,0002b044,地々井,62
0002c2d2,face,126,226,231,325,,0002b044,地々井,62
0002c2d3,text,1405,837,1474,942,あつかましいカボスでも食っとれ,,,62
0002c2d4,face,166,454,357,589,,0002b044,地々井,62
0002c2d5,text,1107,783,1122,813,よっ,,,62
0002c2d6,body,1380,317,1526,491,,0002b044,地々井,62
0002c2d7,frame,1205,511,1549,729,,,,62
0002c2d8,text,898,881,918,922,あれ,,,62
0002c2d9,frame,474,841,773,1078,,,,62
0002c2da,text,164,611,210,682,お母さん‥‥,,,62
0002c2db,text,359,621,377,656,‥‥,,,62
0002c2dc,body,1239,632,1317,686,,0002c217,カニ母,62
0002c2dd,face,1414,970,1479,1046,,0002b044,地々井,62
0002c2de,body,963,228,1079,487,,0002b07f,鶴瑠,62
0002c2df,body,1489,899,1550,1073,,0002b07f,鶴瑠,62
0002c2e0,body,102,407,426,591,,0002b044,地々井,62
0002c2e1,frame,1075,744,1253,1073,,,,62
0002c2e2,text,1030,853,1048,890,よっ,,,62
0002c2e3,body,930,912,1025,1004,,0002c217,カニ母,62
0002c2e4,text,412,614,476,758,しかしサワガニではいまいちじゃのー,,,62
