id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0002c9be,face,84,811,147,856,0002c50a,Other,,25
0002c9bf,body,480,869,760,1102,0002c7ac,石川課長,,25
0002c9c0,frame,894,807,1235,1107,,,,25
0002c9c1,text,426,344,434,369,,,…,25
0002c9c2,frame,70,300,472,501,,,,25
0002c9c3,face,298,149,367,247,0002c529,ミカ・リカ・ルーンⅣ,,25
0002c9c4,face,305,360,383,470,0002c529,ミカ・リカ・ルーンⅣ,,25
0002c9c5,body,1099,509,1517,788,0002c7ec,APD捜査員,,25
0002c9c6,face,1421,134,1473,187,0002c7ec,APD捜査員,,25
0002c9c7,frame,1193,78,1582,402,,,,25
0002c9c8,body,1237,809,1581,1108,0002c7ac,石川課長,,25
0002c9c9,body,121,85,262,282,0002c7e5,花鳥愛子,,25
0002c9ca,text,454,797,475,872,,,いますよ,25
0002c9cb,text,379,97,440,188,,,花鳥本当にもう無理か？,25
0002c9cc,frame,364,519,763,744,,,,25
0002c9cd,face,1240,613,1388,722,0002c7ec,APD捜査員,,25
0002c9ce,body,552,785,633,1062,0002c529,ミカ・リカ・ルーンⅣ,,25
0002c9cf,body,1508,76,1582,294,0002c50a,Other,,25
0002c9d0,body,438,906,534,1105,0002c7e5,花鳥愛子,,25
0002c9d1,body,588,245,760,497,0002c7ac,石川課長,,25
0002c9d2,body,139,881,427,1167,0002c7e5,花鳥愛子,,25
0002c9d3,body,1304,420,1568,786,0002c50a,Other,,25
0002c9d4,body,241,74,458,283,0002c529,ミカ・リカ・ルーンⅣ,,25
0002c9d5,body,270,303,474,502,0002c529,ミカ・リカ・ルーンⅣ,,25
0002c9d6,text,77,306,148,428,,,あ゛ーつかれた,25
0002c9d7,face,565,814,609,851,0002c529,ミカ・リカ・ルーンⅣ,,25
0002c9d8,text,943,590,1037,763,,,要は「卵」を見つけて地球人どもの血を沸騰させてやれぱいいわけか…！,25
0002c9d9,text,595,57,688,213,,,今こそ情報発掘官が…特課が必要だったのに…,25
0002c9da,body,50,766,164,988,0002c50a,Other,,25
0002c9db,face,580,916,678,1058,0002c7ac,石川課長,,25
0002c9dc,frame,475,1,764,502,,,,25
0002c9dd,text,664,792,737,944,,,惰報発掘官の代わりなんて…科学者くらいだ！,25
0002c9de,text,648,538,719,636,,,…ただ代わりを推選します,25
0002c9df,body,895,232,1140,400,0002c7ac,石川課長,,25
0002c9e0,face,463,925,501,959,0002c7e5,花鳥愛子,,25
0002c9e1,body,1504,255,1581,399,0002c50a,Other,,25
0002c9e2,body,1106,156,1189,402,0002c50a,Other,,25
0002c9e3,face,1351,421,1477,511,0002c50a,Other,,25
0002c9e4,text,91,99,138,178,,,無理です休みます,25
0002c9e5,face,896,325,1014,399,0002c7ac,石川課長,,25
0002c9e6,face,151,571,207,619,0002c529,ミカ・リカ・ルーンⅣ,,25
0002c9e7,frame,70,75,467,284,,,,25
0002c9e8,frame,70,522,356,744,,,,25
0002c9e9,body,73,579,174,740,0002c7e5,花鳥愛子,,25
0002c9ea,face,246,1000,427,1134,0002c7e5,花鳥愛子,,25
0002c9eb,text,68,918,106,1056,,,ＡＰＤ本部に,25
0002c9ec,frame,1239,807,1581,1106,,,,25
0002c9ed,text,575,613,597,731,,,お！　マジで？,25
0002c9ee,body,473,100,610,502,0002c529,ミカ・リカ・ルーンⅣ,,25
0002c9ef,face,169,117,233,167,0002c7e5,花鳥愛子,,25
0002c9f0,body,1395,88,1520,401,0002c7ec,APD捜査員,,25
0002c9f1,text,300,554,328,629,,,無理だ,25
0002c9f2,face,146,407,240,468,0002c7e5,花鳥愛子,,25
0002c9f3,body,113,527,245,739,0002c529,ミカ・リカ・ルーンⅣ,,25
0002c9f4,body,95,788,273,1165,0002c52e,アリアン・センチネル,,25
0002c9f5,face,93,621,151,716,0002c7e5,花鳥愛子,,25
0002c9f6,frame,10,765,433,1167,,,,25
0002c9f7,frame,892,76,1189,402,,,,25
0002c9f8,frame,894,421,1583,790,,,,25
0002c9f9,text,1483,460,1556,596,,,さすが特課だなよくここまで解析したもんだ,25
0002c9fa,body,1241,140,1375,401,0002c7ac,石川課長,,25
0002c9fb,face,1277,825,1572,1044,0002c7ac,石川課長,,25
0002c9fc,body,1196,253,1297,404,0002c50a,Other,,25
0002c9fd,body,1003,443,1191,787,0002c7ac,石川課長,,25
0002c9fe,body,994,172,1142,396,0002c7ec,APD捜査員,,25
0002c9ff,body,119,361,257,499,0002c7e5,花鳥愛子,,25
0002ca00,frame,438,764,764,1105,,,,25
0002ca01,face,477,149,542,205,0002c529,ミカ・リカ・ルーンⅣ,,25
0002ca02,text,1065,70,1089,124,,,チ！,25
