id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0002cb56,text,84,68,128,243,終わったらみんな上げてやるよ,,,33
0002cb57,body,457,893,758,1106,,0002c529,ミカ・リカ・ルーンⅣ,33
0002cb58,frame,462,661,762,879,,,,33
0002cb59,body,894,66,1207,267,,0002c529,ミカ・リカ・ルーンⅣ,33
0002cb5a,text,937,569,994,677,お前　あたしの偉さを分かってないだろ？,,,33
0002cb5b,body,1308,520,1576,753,,0002c7e5,花鳥愛子,33
0002cb5c,text,391,714,413,885,未来を掴みに行くか,,,33
0002cb5d,face,894,78,1060,247,,0002c529,ミカ・リカ・ルーンⅣ,33
0002cb5e,body,1146,597,1300,754,,0002c7e5,花鳥愛子,33
0002cb5f,body,371,2,497,193,,0002c7ec,APD捜査員,33
0002cb60,frame,2,662,456,1168,,,,33
0002cb61,face,249,116,357,200,,0002c529,ミカ・リカ・ルーンⅣ,33
0002cb62,face,1215,172,1309,284,,0002c529,ミカ・リカ・ルーンⅣ,33
0002cb63,body,1369,120,1613,501,,0002c7e5,花鳥愛子,33
0002cb64,frame,895,521,1301,754,,,,33
0002cb65,frame,892,774,1248,1168,,,,33
0002cb66,frame,1256,775,1645,1167,,,,33
0002cb67,body,936,777,1247,1168,,0002c529,ミカ・リカ・ルーンⅣ,33
0002cb68,text,1374,62,1444,216,未来を掴むために戦うことはできます,,,33
0002cb69,face,597,710,689,776,,0002c773,不知火,33
0002cb6a,face,166,193,204,220,,0002c50a,Other,33
0002cb6b,body,521,650,758,879,,0002c773,不知火,33
0002cb6c,body,472,1,546,90,,0002c7ac,石川課長,33
0002cb6d,body,141,5,229,162,,0002c50a,Other,33
0002cb6e,face,1034,847,1222,1045,,0002c529,ミカ・リカ・ルーンⅣ,33
0002cb6f,face,1501,189,1602,261,,0002c7e5,花鳥愛子,33
0002cb70,face,397,36,463,90,,0002c7ec,APD捜査員,33
0002cb71,frame,894,67,1210,268,,,,33
0002cb72,frame,1216,0,1653,503,,,,33
0002cb73,face,1150,654,1223,740,,0002c7e5,花鳥愛子,33
0002cb74,face,519,97,588,153,,0002c7e5,花鳥愛子,33
0002cb75,face,155,28,196,69,,0002c50a,Other,33
0002cb76,frame,1,1,762,481,,,,33
0002cb77,frame,3,448,791,668,,,,33
0002cb78,face,485,29,533,66,,0002c7ac,石川課長,33
0002cb79,body,1215,61,1563,501,,0002c529,ミカ・リカ・ルーンⅣ,33
0002cb7a,face,1051,562,1143,630,,0002c529,ミカ・リカ・ルーンⅣ,33
0002cb7b,text,1528,790,1573,927,今から花鳥愛子が特課課長代理だ,,,33
0002cb7c,face,203,14,243,49,,0002c50a,Other,33
0002cb7d,text,1172,306,1190,382,そうだな,,,33
0002cb7e,text,1580,42,1602,90,ただ,,,33
0002cb7f,body,1006,522,1180,755,,0002c529,ミカ・リカ・ルーンⅣ,33
0002cb80,face,1309,607,1397,725,,0002c7e5,花鳥愛子,33
0002cb81,body,1274,874,1645,1165,,0002c7e5,花鳥愛子,33
0002cb82,face,1374,992,1594,1146,,0002c7e5,花鳥愛子,33
0002cb83,frame,892,285,1205,502,,,,33
0002cb84,face,500,898,720,1067,,0002c529,ミカ・リカ・ルーンⅣ,33
0002cb85,text,678,56,703,213,給料上がります？,,,33
0002cb86,frame,462,896,761,1105,,,,33
0002cb87,text,1187,799,1228,968,あたしは地球大使をちょっとシメてくるか,,,33
0002cb88,body,479,61,663,442,,0002c7e5,花鳥愛子,33
0002cb89,text,1213,544,1286,665,よく数時間で上層部を説得して手続きまでできましたね,,,33
0002cb8a,text,1284,968,1322,1125,なにがなんでも奴を情報発掘官にしろ,,,33
0002cb8b,body,1257,783,1425,1166,,0002c52e,アリアン・センチネル,33
0002cb8c,frame,1309,522,1581,756,,,,33
0002cb8d,face,907,463,961,499,,0002c7e5,花鳥愛子,33
0002cb8e,body,154,166,213,240,,0002c50a,Other,33
0002cb8f,body,194,3,254,100,,0002c50a,Other,33
0002cb90,body,163,16,534,463,,0002c529,ミカ・リカ・ルーンⅣ,33
0002cb91,body,899,444,968,505,,0002c7e5,花鳥愛子,33
