id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0002dd0b,body,914,152,1110,585,0002d68d,玉瀬千鶴,,44
0002dd0c,body,496,507,555,628,0002d69b,Other,,44
0002dd0d,body,887,426,1111,1165,0002d67f,朝倉ツバメ,,44
0002dd0e,frame,887,0,1112,1169,,,,44
0002dd0f,text,1015,866,1079,1103,,,あの六人全員兜のレギュラーよ,44
0002dd10,body,221,75,436,302,0002db02,兜学園A,,44
0002dd11,text,693,350,750,453,,,インハイ・・・・,44
0002dd12,text,127,503,204,616,,,あたしを意識している・・・・？,44
0002dd13,frame,86,665,771,1166,,,,44
0002dd14,body,408,496,489,631,0002dabb,兜学園D,,44
0002dd15,face,299,340,464,460,0002d67f,朝倉ツバメ,,44
0002dd16,face,893,653,1106,830,0002d67f,朝倉ツバメ,,44
0002dd17,body,558,523,609,628,0002d69b,Other,,44
0002dd18,body,168,335,511,458,0002d67f,朝倉ツバメ,,44
0002dd19,text,636,503,742,627,,,ワシガヤくんがめざしたインハイが・・・・・・・・,44
0002dd1a,text,644,66,701,226,,,インハイを知る六人・・・・,44
0002dd1b,body,1334,1,1653,1163,0002dabb,兜学園D,,44
0002dd1c,face,532,5,603,57,0002dabb,兜学園D,,44
0002dd1d,face,307,768,600,1023,0002d67f,朝倉ツバメ,,44
0002dd1e,body,230,667,694,1167,0002d67f,朝倉ツバメ,,44
0002dd1f,text,135,78,224,262,,,あなた相当警戒されてるわ・・・・・・・・！,44
0002dd20,body,260,525,310,629,0002d69b,Other,,44
0002dd21,frame,86,0,769,306,,,,44
0002dd22,text,921,102,986,339,,,ツバメは知らないかもしれないけど,44
0002dd23,text,120,694,166,1072,,,がんばらねばっ！,44
0002dd24,text,702,693,745,883,,,がっ・・・・,44
0002dd25,body,1127,283,1380,979,0002d67f,朝倉ツバメ,,44
0002dd26,body,436,5,764,301,0002dabb,兜学園D,,44
0002dd27,body,368,518,420,631,0002dac2,兜学園C,,44
0002dd28,face,286,114,357,191,0002db02,兜学園A,,44
0002dd29,frame,1123,0,1653,1167,,,,44
0002dd2a,body,305,500,374,629,0002db02,兜学園A,,44
0002dd2b,face,1421,137,1500,245,0002dabb,兜学園D,,44
0002dd2c,frame,86,334,769,463,,,,44
0002dd2d,face,1177,456,1263,551,0002d67f,朝倉ツバメ,,44
0002dd2e,frame,86,492,770,633,,,,44
0002dd2f,face,980,331,1109,518,0002d68d,玉瀬千鶴,,44
