id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0002dee1,frame,892,0,1653,1167,,,,55
0002dee2,text,1532,33,1615,535,この両足・・・・,,,55
0002dee3,body,79,608,743,716,,0002d67f,朝倉ツバメ,55
0002dee4,frame,0,749,507,1169,,,,55
0002dee5,text,243,779,271,822,！,,,55
0002dee6,body,947,10,1651,1165,,0002d67f,朝倉ツバメ,55
0002dee7,body,283,749,504,1095,,0002d68d,玉瀬千鶴,55
0002dee8,frame,519,749,757,1168,,,,55
0002dee9,frame,72,606,753,719,,,,55
0002deea,body,224,419,619,570,,0002d67f,朝倉ツバメ,55
0002deeb,body,598,751,753,1155,,0002d67f,朝倉ツバメ,55
0002deec,body,324,53,480,382,,0002d67f,朝倉ツバメ,55
0002deed,body,68,903,322,1138,,0002d67f,朝倉ツバメ,55
0002deee,face,1050,302,1215,476,,0002d67f,朝倉ツバメ,55
0002deef,frame,72,415,753,575,,,,55
0002def0,frame,72,0,753,386,,,,55
