id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0002f088,body,1293,523,1514,861,0002e56c,仁内寿治,,53
0002f089,body,985,280,1292,503,0002e552,大海原　空,,53
0002f08a,body,1441,374,1561,505,0002e552,大海原　空,,53
0002f08b,body,1149,5,1451,251,0002e56c,仁内寿治,,53
0002f08c,body,1052,655,1113,854,0002e552,大海原　空,,53
0002f08d,frame,910,874,1565,1070,,,,53
0002f08e,text,1007,878,1153,1051,,,いつの日か明るい人格なって再びよみがえって見せる,53
0002f08f,text,1438,106,1478,182,,,仁内さ...,53
0002f090,body,1081,622,1140,825,0002e56c,仁内寿治,,53
0002f091,text,1171,275,1244,413,,,何か起こるわ不吉なことが,53
0002f092,frame,912,9,1567,252,,,,53
0002f093,face,1219,932,1253,964,0002e558,大海原空のママ,,53
0002f094,text,1421,917,1482,1011,,,"くそ
みておれ",53
0002f095,body,1300,381,1407,508,0002e56c,仁内寿治,,53
0002f096,face,1338,410,1372,446,0002e56c,仁内寿治,,53
0002f097,text,1153,522,1207,630,,,肩になんだって？,53
0002f098,text,952,616,998,732,,,い...いってみただけ,53
0002f099,frame,1259,271,1564,506,,,,53
0002f09a,face,1398,680,1455,730,0002e552,大海原　空,,53
0002f09b,frame,910,523,1230,856,,,,53
0002f09c,body,1324,903,1359,982,0002e56c,仁内寿治,,53
0002f09d,body,1300,918,1335,993,0002e552,大海原　空,,53
0002f09e,frame,912,271,1297,505,,,,53
0002f09f,face,1047,363,1151,469,0002e552,大海原　空,,53
0002f0a0,frame,1299,527,1570,872,,,,53
0002f0a1,body,1187,907,1291,1049,0002e558,大海原空のママ,,53
0002f0a2,face,1347,576,1402,651,0002e56c,仁内寿治,,53
0002f0a3,face,1209,102,1309,210,0002e56c,仁内寿治,,53
0002f0a4,body,1387,608,1568,766,0002e552,大海原　空,,53
