id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0002f152,frame,75,82,424,460,,,,59
0002f153,text,1107,134,1259,279,"空さんや洗濯物たまってますよ
洗い物もね",,,59
0002f154,frame,42,696,394,1075,,,,59
0002f155,face,1389,570,1419,604,,0002e552,大海原　空,59
0002f156,body,1183,547,1278,685,,0002e558,大海原空のママ,59
0002f157,body,1345,543,1449,683,,0002e552,大海原　空,59
0002f158,face,354,793,566,1064,,0002e552,大海原　空,59
0002f159,text,948,98,1008,186,"は...
はい",,,59
0002f15a,body,915,689,1220,1063,,0002e552,大海原　空,59
0002f15b,frame,422,88,753,809,,,,59
0002f15c,body,1293,158,1472,370,,0002e558,大海原空のママ,59
0002f15d,frame,1079,84,1573,366,,,,59
0002f15e,face,975,824,1097,989,,0002e552,大海原　空,59
0002f15f,body,950,221,1068,365,,0002e552,大海原　空,59
0002f160,frame,75,482,425,656,,,,59
0002f161,text,1360,724,1382,816,はーっ,,,59
0002f162,text,1138,809,1223,923,やっと一日が終わったのね,,,59
0002f163,frame,977,374,1504,685,,,,59
0002f164,frame,1243,687,1572,1070,,,,59
0002f165,face,1338,207,1433,295,,0002e558,大海原空のママ,59
0002f166,frame,914,84,1068,364,,,,59
0002f167,body,269,694,688,1064,,0002e552,大海原　空,59
0002f168,frame,915,685,1229,1070,,,,59
0002f169,frame,255,698,735,1070,,,,59
0002f16a,face,541,232,582,287,,0002e552,大海原　空,59
0002f16b,text,599,86,709,216,"それにしても
おとなり...",,,59
0002f16c,text,336,126,406,256,どんな人たちが越してきたのかしら,,,59
0002f16d,body,462,169,695,809,,0002e552,大海原　空,59
0002f16e,face,1005,288,1053,345,,0002e552,大海原　空,59
0002f16f,text,1489,102,1537,238,"あー
すっきりした",,,59
0002f170,text,87,102,184,250,同じ年ごろぐらいのコがいればお友だちになれるのにな...,,,59
