id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0002ff59,text,500,777,534,884,ボクしっかりしてるわね,,,25
0002ff5a,frame,269,762,476,1103,,,,25
0002ff5b,face,265,176,295,273,,0002fa90,国分寺葵,25
0002ff5c,face,653,235,688,280,,0002fa90,国分寺葵,25
0002ff5d,face,452,507,527,590,,0002fc7c,モブ,25
0002ff5e,body,507,918,615,1098,,0002faa5,国分寺創,25
0002ff5f,text,449,92,485,176,あ…大変だったわね,,,25
0002ff60,text,1287,85,1309,205,いーじゃねーか,,,25
0002ff61,frame,1307,623,1592,1099,,,,25
0002ff62,frame,1267,334,1595,604,,,,25
0002ff63,body,221,477,340,745,,0002fa90,国分寺葵,25
0002ff64,text,1022,658,1058,732,何？葵の子供？,,,25
0002ff65,text,1541,96,1576,214,あんた少しは反省しなさいよ,,,25
0002ff66,frame,910,69,1121,606,,,,25
0002ff67,text,75,605,132,724,いくつ？名前はなんてゆーのかなー？,,,25
0002ff68,face,943,806,994,857,,0002fc7c,モブ,25
0002ff69,body,952,865,1073,1089,,0002faa8,国分寺歩,25
0002ff6a,face,1061,816,1104,865,,0002fc7c,モブ,25
0002ff6b,body,88,211,270,399,,0002fc7c,モブ,25
0002ff6c,body,669,854,744,1099,,0002fc7c,モブ,25
0002ff6d,body,1432,829,1578,1063,,0002faa8,国分寺歩,25
0002ff6e,body,530,1023,600,1093,,0002faa8,国分寺歩,25
0002ff6f,face,153,471,217,556,,0002fc7c,モブ,25
0002ff70,text,1275,647,1289,702,あ葵っ,,,25
0002ff71,frame,1267,67,1592,321,,,,25
0002ff72,face,1478,871,1549,935,,0002faa8,国分寺歩,25
0002ff73,frame,1125,71,1265,607,,,,25
0002ff74,body,1287,235,1412,316,,0002faa5,国分寺創,25
0002ff75,body,1430,154,1564,321,,0002fa90,国分寺葵,25
0002ff76,body,50,414,251,741,,0002fc7c,モブ,25
0002ff77,face,1158,757,1209,810,,0002fc7c,モブ,25
0002ff78,body,1384,458,1560,602,,0002faa5,国分寺創,25
0002ff79,body,452,165,560,395,,0002fc7c,モブ,25
0002ff7a,text,691,83,729,182,お兄ちゃんの子供,,,25
0002ff7b,text,78,91,141,204,でもよかったじゃない淋しくなくて,,,25
0002ff7c,frame,478,757,744,1102,,,,25
0002ff7d,face,914,110,989,262,,0002fa90,国分寺葵,25
0002ff7e,frame,52,760,271,1107,,,,25
0002ff7f,body,924,764,1037,1070,,0002fc7c,モブ,25
0002ff80,text,1393,642,1432,734,どーしたのこの子達,,,25
0002ff81,body,433,441,723,747,,0002fc7c,モブ,25
0002ff82,face,1313,810,1375,874,,0002faac,国分寺彬,25
0002ff83,body,318,570,452,745,,0002faa8,国分寺歩,25
0002ff84,frame,915,625,1297,1102,,,,25
0002ff85,face,513,201,543,261,,0002fc7c,モブ,25
0002ff86,body,570,968,630,1097,,0002faac,国分寺彬,25
0002ff87,text,1061,206,1075,321,…ホントだ…,,,25
0002ff88,text,1531,647,1571,736,きゃーかわいーっ,,,25
0002ff89,body,277,859,396,1094,,0002faa5,国分寺創,25
0002ff8a,text,1081,121,1114,180,いーじゃねーかゲロぐらい,,,25
0002ff8b,text,397,772,463,942,全くちょっとちやほやされたからっていい気になっちゃって,,,25
0002ff8c,body,1114,719,1250,1031,,0002fc7c,モブ,25
0002ff8d,face,141,265,216,348,,0002fc7c,モブ,25
0002ff8e,text,616,773,652,897,こいつが彬３歳こっちが歩１歳,,,25
0002ff8f,body,1278,397,1422,600,,0002fa90,国分寺葵,25
0002ff90,body,912,74,1052,604,,0002fa90,国分寺葵,25
0002ff91,body,612,192,737,395,,0002fa90,国分寺葵,25
0002ff92,face,303,926,373,1015,,0002faa5,国分寺創,25
0002ff93,frame,432,69,741,396,,,,25
0002ff94,body,58,766,268,1106,,0002fa90,国分寺葵,25
0002ff95,body,1084,846,1233,1095,,0002faac,国分寺彬,25
0002ff96,body,1306,759,1417,1048,,0002faac,国分寺彬,25
0002ff97,text,219,858,242,975,そーだわ,,,25
0002ff98,face,1360,452,1401,512,,0002fa90,国分寺葵,25
0002ff99,face,63,850,165,1006,,0002fa90,国分寺葵,25
0002ff9a,body,1049,789,1141,958,,0002fc7c,モブ,25
0002ff9b,frame,51,416,743,745,,,,25
0002ff9c,text,917,375,942,472,………,,,25
0002ff9d,body,229,104,426,398,,0002fa90,国分寺葵,25
0002ff9e,text,1290,349,1326,483,言ってるだけに決まってるでしょ,,,25
0002ff9f,face,1462,519,1509,576,,0002faa5,国分寺創,25
0002ffa0,text,662,442,719,543,こんなにかわいんですものねー,,,25
0002ffa1,body,1127,72,1261,602,,0002fb82,日野浩一,25
0002ffa2,text,367,422,413,547,じゃああんた育ててみれぱ？,,,25
0002ffa3,body,1213,667,1294,1047,,0002fc7c,モブ,25
0002ffa4,frame,48,69,426,395,,,,25
0002ffa5,text,1526,343,1584,495,あいつだって気にしなくていいって書ってるし,,,25
0002ffa6,body,988,327,1117,604,,0002faa5,国分寺創,25
0002ffa7,body,503,494,668,748,,0002faac,国分寺彬,25
0002ffa8,text,393,105,408,153,大変よ,,,25
