id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00030aa5,face,1247,471,1322,611,0002fa90,国分寺葵,,89
00030aa6,text,93,359,151,442,,,俺はずっと葵のそばにいるよ,89
00030aa7,body,910,892,1122,1095,0002faa5,国分寺創,,89
00030aa8,body,933,70,1309,642,0002faa5,国分寺創,,89
00030aa9,body,570,831,714,1036,0002faa5,国分寺創,,89
00030aaa,body,408,561,738,795,0002fa90,国分寺葵,,89
00030aab,frame,365,69,750,493,,,,89
00030aac,text,397,109,435,159,,,葵俺は…,89
00030aad,frame,60,509,401,1104,,,,89
00030aae,text,1479,676,1558,814,,,そんな人がいるならもっと早く言ってくれれば…,89
00030aaf,face,539,165,610,229,0002faa5,国分寺創,,89
00030ab0,body,159,308,354,498,0002fa90,国分寺葵,,89
00030ab1,body,67,665,239,1098,0002faa5,国分寺創,,89
00030ab2,text,316,545,373,663,,,あたしが３1の時あなた２２よそんなの嫌,89
00030ab3,text,715,855,731,919,,,１１歳だよ,89
00030ab4,frame,404,512,749,799,,,,89
00030ab5,body,988,667,1297,874,0002fa90,国分寺葵,,89
00030ab6,frame,895,60,1587,645,,,,89
00030ab7,face,151,178,274,314,0002faa5,国分寺創,,89
00030ab8,text,1484,352,1565,474,,,日野さん…いつから婚約者なんて決まってたんだろう,89
00030ab9,face,279,827,352,960,0002fa90,国分寺葵,,89
00030aba,text,1016,462,1053,617,,,なんか随分楽しそうだったし…,89
00030abb,frame,406,819,748,1105,,,,89
00030abc,face,1034,721,1138,848,0002fa90,国分寺葵,,89
00030abd,frame,1307,657,1586,1098,,,,89
00030abe,body,398,220,654,490,0002fa90,国分寺葵,,89
00030abf,face,608,262,647,330,0002fa90,国分寺葵,,89
00030ac0,text,926,925,948,954,,,葵,89
00030ac1,text,695,556,732,690,,,…何言ってんのよ１０歳のくせに,89
00030ac2,body,446,875,576,1082,0002fa90,国分寺葵,,89
00030ac3,frame,906,662,1299,875,,,,89
00030ac4,text,99,539,155,656,,,…今そんな話をしてるわけじゃないだろ,89
00030ac5,body,1082,943,1264,1093,0002fa90,国分寺葵,,89
00030ac6,text,1224,677,1284,828,,,いちいちはしゃいで私ってばばかみたいじゃない,89
00030ac7,body,227,696,394,1101,0002fa90,国分寺葵,,89
00030ac8,text,435,846,471,946,,,あたしなんかもうすぐ１９よ,89
00030ac9,body,1313,873,1491,1089,0002fa90,国分寺葵,,89
00030aca,frame,906,885,1305,1100,,,,89
00030acb,body,65,70,355,347,0002faa5,国分寺創,,89
00030acc,face,1141,209,1249,347,0002faa5,国分寺創,,89
00030acd,frame,59,71,363,497,,,,89
00030ace,body,1181,350,1557,639,0002fa90,国分寺葵,,89
00030acf,face,117,785,207,923,0002faa5,国分寺創,,89
00030ad0,body,480,100,700,491,0002faa5,国分寺創,,89
00030ad1,body,1369,770,1515,1091,0002faa5,国分寺創,,89
00030ad2,face,1388,819,1442,870,0002faa5,国分寺創,,89
