id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00031815,face,160,232,226,310,00030ea2,新井真一,,22
00031816,face,1314,462,1382,543,00030e9c,山岡一,,22
00031817,body,169,443,227,525,00030e04,Other,,22
00031818,body,297,493,333,574,00030e04,Other,,22
00031819,text,437,251,470,317,,,さぼりすぎたな,22
0003181a,face,1258,467,1298,580,000316e9,奥山高校校長,,22
0003181b,frame,435,372,744,591,,,,22
0003181c,text,300,130,384,236,,,先生 卒業アルバム用のクラブ写真できました,22
0003181d,face,95,718,129,820,00030e04,Other,,22
0003181e,text,586,378,614,436,,,あたしもイヤだ,22
0003181f,face,299,931,324,964,00030e04,Other,,22
00031820,face,574,699,673,803,00030e2c,庄美まみ,,22
00031821,text,442,392,495,435,,,ははい,22
00031822,text,440,614,542,759,,,他の授業に出席しながら音楽の出席日数も稼ぐ方法を！！,22
00031823,text,1429,380,1559,482,,,こ 校長どうしてこんなに美術の時間が多いんですか？,22
00031824,text,916,617,978,697,,,「凍るのを防ぐ機械なのです」,22
00031825,body,131,198,236,345,00030ea2,新井真一,,22
00031826,frame,88,850,392,1072,,,,22
00031827,body,486,203,578,347,00030e2c,庄美まみ,,22
00031828,face,538,879,576,927,00030e31,アレクサンドル岸田,,22
00031829,text,1037,855,1082,921,,,そのかわり冷蔵庫の中で････,22
0003182a,frame,911,133,1216,347,,,,22
0003182b,body,524,642,733,833,00030e2c,庄美まみ,,22
0003182c,body,253,451,305,526,00030e04,Other,,22
0003182d,frame,433,606,746,831,,,,22
0003182e,body,484,438,561,586,00030e04,Other,,22
0003182f,text,343,373,393,486,,,みろサッカー部の写真を！,22
00031830,face,308,500,329,527,00030e04,Other,,22
00031831,face,1340,984,1375,1032,00030e04,Other,,22
00031832,face,458,708,521,818,00030e04,Other,,22
00031833,frame,84,368,396,586,,,,22
00031834,face,1265,970,1300,1019,00030e04,Other,,22
00031835,body,1003,395,1148,586,00030e9c,山岡一,,22
00031836,body,437,668,525,830,00030e04,Other,,22
00031837,text,913,377,998,487,,,「冷蔵庫に入れておくようにと言われました」,22
00031838,text,1131,376,1207,506,,,「土地の人に外へ出しておくとなんでも凍ってしまうので」,22
00031839,frame,1254,128,1562,350,,,,22
0003183a,text,917,743,959,808,,,「というわけで」,22
0003183b,body,141,507,217,583,00030e04,Other,,22
0003183c,frame,86,607,395,828,,,,22
0003183d,text,94,142,153,212,,,･･････ダメだなこれじゃ,22
0003183e,frame,909,367,1217,590,,,,22
0003183f,face,1005,230,1050,321,00030ea2,新井真一,,22
00031840,face,682,1010,715,1067,00030e04,Other,,22
00031841,text,92,615,154,741,,,そ そーかわかりました！撮り直します！,22
00031842,face,1014,419,1093,510,00030e9c,山岡一,,22
00031843,body,928,933,1011,1069,000316e9,奥山高校校長,,22
00031844,face,133,886,159,920,00030e04,Other,,22
00031845,face,514,453,540,492,00030e04,Other,,22
00031846,text,1155,138,1212,246,,,へー山岡先生から葉書が？,22
00031847,text,1262,854,1281,951,,,木ぼりの熊,22
00031848,body,364,222,394,344,00030e04,Other,,22
00031849,face,344,881,364,907,00030e04,Other,,22
0003184a,body,435,987,461,1068,00030e04,Other,,22
0003184b,body,127,883,219,1022,00030e04,Other,,22
0003184c,face,444,1008,454,1058,00030e04,Other,,22
0003184d,frame,909,851,1214,1074,,,,22
0003184e,body,279,926,339,1022,00030e04,Other,,22
0003184f,face,136,987,163,1018,00030e04,Other,,22
00031850,text,928,853,971,921,,,山岡先生ごはんだべ,22
00031851,body,960,199,1071,341,00030ea2,新井真一,,22
00031852,face,971,938,998,992,000316e9,奥山高校校長,,22
00031853,body,245,743,262,786,00030e04,Other,,22
00031854,text,686,615,732,721,,,そこで私は考えた！,22
00031855,frame,434,124,741,350,,,,22
00031856,body,713,935,743,1069,00030e2c,庄美まみ,,22
00031857,text,1261,384,1307,425,,,当然だべ,22
00031858,body,283,639,394,827,00030ea2,新井真一,,22
00031859,body,553,931,644,1077,00030e04,Other,,22
0003185a,body,197,875,273,957,00030e04,Other,,22
0003185b,frame,1258,614,1562,825,,,,22
0003185c,text,1472,622,1556,731,,,美術の時間にみんなががんばってくれないと,22
0003185d,body,1309,434,1429,584,00030e9c,山岡一,,22
0003185e,face,721,957,741,1004,00030e2c,庄美まみ,,22
0003185f,text,1140,619,1211,744,,,「ここでは冷蔵庫は物を冷やす機械ではなく」,22
00031860,body,233,419,269,467,00030e04,Other,,22
00031861,text,207,617,284,703,,,なにクラブだ？おまえらえ？,22
00031862,body,90,653,143,823,00030e04,Other,,22
00031863,face,1479,715,1546,803,00030e9c,山岡一,,22
00031864,body,487,854,584,1048,00030e31,アレクサンドル岸田,,22
00031865,text,1259,132,1322,261,,,北海道の山奥の高校へ来て数日が過ぎた,22
00031866,body,259,221,364,346,00030e04,Other,,22
00031867,text,1506,863,1554,950,,,奥山高校名産,22
00031868,body,477,990,540,1072,00030e04,Other,,22
00031869,body,223,745,239,786,00030e04,Other,,22
0003186a,frame,1257,847,1559,1072,,,,22
0003186b,face,225,539,255,574,00030e04,Other,,22
0003186c,face,239,425,252,441,00030e04,Other,,22
0003186d,body,221,526,262,579,00030e04,Other,,22
0003186e,text,324,615,385,721,,,それに比べておまえらの写真は･････,22
0003186f,text,1531,133,1554,298,,,山岡が修行のために,22
00031870,body,1338,666,1445,828,000316e9,奥山高校校長,,22
00031871,body,680,989,733,1071,00030e04,Other,,22
00031872,body,1259,439,1302,589,000316e9,奥山高校校長,,22
00031873,body,1320,949,1397,1072,00030e04,Other,,22
00031874,body,296,425,320,468,00030e04,Other,,22
00031875,text,1451,766,1462,824,,,は、はあ？,22
00031876,body,1472,676,1563,829,00030e9c,山岡一,,22
00031877,face,1366,682,1429,782,000316e9,奥山高校校長,,22
00031878,frame,1255,368,1562,589,,,,22
00031879,text,439,129,522,230,,,ああこのままじゃおまえは留年だ,22
0003187a,text,1124,856,1208,989,,,「外にテントをはって修行生活をおくる計画は断念しました」,22
0003187b,face,155,521,190,551,00030e04,Other,,22
0003187c,face,508,240,566,306,00030e2c,庄美まみ,,22
0003187d,face,577,949,616,1015,00030e04,Other,,22
0003187e,face,301,428,314,447,00030e04,Other,,22
0003187f,text,710,856,731,941,,,現国の時間,22
00031880,text,660,952,691,992,,,よし！出席,22
00031881,body,371,237,392,327,00030e04,Other,,22
00031882,body,112,931,172,1027,00030e04,Other,,22
00031883,frame,438,850,745,1077,,,,22
00031884,face,1095,237,1163,317,00030feb,山口不二子,,22
00031885,face,552,457,586,502,00030e2c,庄美まみ,,22
00031886,body,136,654,204,821,00030e04,Other,,22
00031887,body,207,738,222,788,00030e04,Other,,22
00031888,face,264,245,310,332,00030e04,Other,,22
00031889,face,1076,722,1116,767,00030feb,山口不二子,,22
0003188a,text,1024,136,1043,170,,,はい,22
0003188b,body,1062,695,1135,823,00030feb,山口不二子,,22
0003188c,text,92,384,156,511,,,ひとめでサッカー部とわかるだろ！？,22
0003188d,face,231,873,252,904,00030e04,Other,,22
0003188e,body,518,434,642,589,00030e2c,庄美まみ,,22
0003188f,text,593,855,690,945,,,わがはいはー猫であーるー名前はまーだー,22
00031890,text,916,132,1008,283,,,「前略奥山高校へ来て一週間 こちらはとても寒いです」,22
00031891,face,598,226,643,317,00030e04,Other,,22
00031892,face,188,451,208,476,00030e04,Other,,22
00031893,body,1257,947,1319,1074,00030e04,Other,,22
00031894,text,1265,615,1326,738,,,うちみたいな小さな学校やってけないべ,22
00031895,face,146,690,199,818,00030e04,Other,,22
00031896,body,968,691,1047,824,00030ea2,新井真一,,22
00031897,body,345,872,369,913,00030e04,Other,,22
00031898,body,579,205,721,347,00030e04,Other,,22
00031899,face,270,455,290,476,00030e04,Other,,22
0003189a,text,672,135,734,255,,,ええっ！？音楽の出席日数が足りない！？,22
0003189b,face,303,701,390,824,00030ea2,新井真一,,22
0003189c,text,444,856,490,964,,,な なぜメロディーをつけて読む？,22
0003189d,face,1014,717,1041,767,00030ea2,新井真一,,22
0003189e,frame,910,607,1217,825,,,,22
0003189f,body,1081,209,1190,342,00030feb,山口不二子,,22
000318a0,text,1388,378,1408,440,,,この学校は,22
000318a1,text,645,374,730,498,,,でもせっかくの春休みに補習受けるの嫌だろ？,22
000318a2,body,264,745,276,789,00030e04,Other,,22
000318a3,frame,88,128,396,350,,,,22
