id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00031d35,text,923,377,958,465,すすごい！,,,32
00031d36,text,1188,865,1211,970,遅刻者増大,,,32
00031d37,face,210,999,232,1028,,00030e04,Other,32
00031d38,body,207,989,237,1058,,00030e04,Other,32
00031d39,text,917,865,987,932,ななぜなの？,,,32
00031d3a,face,1423,450,1457,526,,00030feb,山口不二子,32
00031d3b,body,990,241,1050,352,,00031472,島崎先生,32
00031d3c,face,250,992,267,1012,,00030e04,Other,32
00031d3d,body,527,685,604,832,,00031d3e,一万人めの受験者,32
00031d3f,face,1074,1015,1109,1063,,00030e04,Other,32
00031d40,text,624,703,659,756,本当は遊びたい,,,32
00031d41,frame,1253,612,1562,833,,,,32
00031d42,body,1503,242,1565,351,,00030feb,山口不二子,32
00031d43,text,599,861,634,922,本当は遊びたい,,,32
00031d44,body,1376,190,1476,347,,00031b9a,校長ママ,32
00031d45,body,1393,653,1559,833,,00030feb,山口不二子,32
00031d46,text,656,860,743,1001,友達もつくらず毎日８時間勉強した中学校の３年間！！,,,32
00031d47,face,950,255,977,302,,00030e11,教頭,32
00031d48,face,1407,202,1455,263,,00031b9a,校長ママ,32
00031d49,face,1260,251,1289,318,,00030e11,教頭,32
00031d4a,face,536,706,574,750,,00031d3e,一万人めの受験者,32
00031d4b,face,1027,474,1051,532,,00031b9a,校長ママ,32
00031d4c,text,923,135,985,251,これくらいしないと遅刻は減らないよ！,,,32
00031d4d,text,100,863,184,952,賞状と副賞の合格通知をどうぞ,,,32
00031d4e,frame,93,854,400,1075,,,,32
00031d4f,face,1084,199,1127,257,,00031b9a,校長ママ,32
00031d50,face,1136,1010,1167,1065,,00030e04,Other,32
00031d51,frame,1258,855,1560,1076,,,,32
00031d52,text,94,964,157,1070,こんなことで合格してたまるか！,,,32
00031d53,body,1134,227,1216,351,,00030e04,Other,32
00031d54,text,1294,139,1363,205,はいっ女王様,,,32
00031d55,face,1011,263,1042,308,,00031472,島崎先生,32
00031d56,text,1036,867,1174,940,遅刻しましたーぼくもウフフフフフフフフ,,,32
00031d57,body,1022,954,1081,1008,,00030e04,Other,32
00031d58,text,999,389,1016,444,どうだい,,,32
00031d59,body,1015,1010,1072,1076,,00030e04,Other,32
00031d5a,body,558,952,676,1077,,00031d3e,一万人めの受験者,32
00031d5b,face,1384,926,1417,965,,00031d5c,校長ママの妹,32
00031d5d,text,1158,136,1210,227,遅刻したバカ者はムチ打ち！,,,32
00031d5e,face,566,976,596,1023,,00031d3e,一万人めの受験者,32
00031d5f,frame,907,372,1216,594,,,,32
00031d60,body,278,980,299,1049,,00030e04,Other,32
00031d61,face,1322,717,1376,830,,00030e0d,校長,32
00031d62,body,973,647,1116,832,,00031472,島崎先生,32
00031d63,text,921,620,967,791,しかし見ならえば見ならうほど,,,32
00031d64,body,1421,428,1509,594,,00030feb,山口不二子,32
00031d65,frame,910,855,1214,1077,,,,32
00031d66,text,1485,135,1555,245,さあ！今日も一日なまけるんじゃないよ！,,,32
00031d67,face,285,985,301,1007,,00030e04,Other,32
00031d68,body,1142,947,1197,1002,,00030e04,Other,32
00031d69,frame,1254,134,1561,352,,,,32
00031d6a,face,1089,500,1128,557,,00030e11,教頭,32
00031d6b,face,1341,480,1395,542,,00030e0d,校長,32
00031d6c,text,1261,865,1311,1036,ヨネさん（８０歳）秋田県在住,,,32
00031d6d,text,1263,380,1346,508,ああママは一度着た服は二度と着ないからな,,,32
00031d6e,text,1261,619,1332,753,いや妹にあげてるみたいだよ,,,32
00031d6f,body,1312,455,1423,597,,00030e0d,校長,32
00031d70,text,445,860,519,963,それもこれも今日の････,,,32
00031d71,body,932,236,985,352,,00030e11,教頭,32
00031d72,body,1256,231,1290,353,,00030e11,教頭,32
00031d73,text,1492,381,1555,490,校長ママって毎日違う服ね！,,,32
00031d74,text,1380,624,1410,701,もったいない！,,,32
00031d75,frame,908,614,1215,835,,,,32
00031d76,face,1506,260,1533,329,,00030feb,山口不二子,32
00031d77,face,329,1047,342,1069,,00030e04,Other,32
00031d78,face,1331,259,1370,320,,00030e31,アレクサンドル岸田,32
00031d79,text,698,622,738,776,塾がよいの毎日だった小学生時代,,,32
00031d7a,text,304,904,330,970,おめでとー,,,32
00031d7b,face,1149,957,1174,993,,00030e04,Other,32
00031d7c,body,1076,479,1177,595,,00030e11,教頭,32
00031d7d,frame,98,616,403,835,,,,32
00031d7e,body,1089,954,1132,1007,,00030e04,Other,32
00031d7f,face,946,959,980,1000,,00031472,島崎先生,32
00031d80,text,1512,866,1558,1028,姉のおさがりを着て働く,,,32
00031d81,body,908,247,928,348,,00030ea2,新井真一,32
00031d82,face,192,697,283,817,,00031d3e,一万人めの受験者,32
00031d83,body,176,1038,226,1076,,00031d3e,一万人めの受験者,32
00031d84,face,1426,697,1521,812,,00030feb,山口不二子,32
00031d85,text,101,642,164,792,な なのに試験を受けてもいないのに！,,,32
00031d86,face,1003,694,1085,802,,00031472,島崎先生,32
00031d87,face,1025,1027,1056,1067,,00030e04,Other,32
00031d88,frame,908,133,1218,355,,,,32
00031d89,text,1187,386,1212,461,次の日,,,32
00031d8a,face,363,1047,380,1072,,00030e04,Other,32
00031d8b,body,909,457,972,589,,00031472,島崎先生,32
00031d8c,frame,436,616,746,838,,,,32
00031d8d,body,243,982,276,1054,,00030e04,Other,32
00031d8e,frame,1253,373,1562,595,,,,32
00031d8f,body,1131,994,1199,1077,,00030e04,Other,32
00031d90,body,1044,164,1158,357,,00031b9a,校長ママ,32
00031d91,body,933,938,1009,1070,,00031472,島崎先生,32
00031d92,text,343,624,390,829,名門！閑静高校受験のためだった！！,,,32
00031d93,body,1258,672,1384,830,,00030e0d,校長,32
00031d94,face,910,256,929,305,,00030ea2,新井真一,32
00031d95,frame,94,95,747,593,,,,32
00031d96,text,343,873,396,963,あなたが一万人めの受験者です,,,32
00031d97,face,938,484,959,550,,00031472,島崎先生,32
00031d98,body,1295,237,1386,348,,00030e31,アレクサンドル岸田,32
00031d99,face,1031,971,1056,1006,,00030e04,Other,32
00031d9a,frame,440,858,748,1079,,,,32
00031d9b,body,325,1042,352,1071,,00030e04,Other,32
00031d9c,body,983,458,1057,588,,00031b9a,校長ママ,32
00031d9d,text,1050,381,1177,459,あんなに多かった遅刻が今日はゼロです！,,,32
00031d9e,text,1475,622,1561,711,じ じゃあ一回着たら捨てちゃうの？,,,32
00031d9f,face,189,1039,214,1069,,00031d3e,一万人めの受験者,32
00031da0,body,1379,901,1457,1057,,00031d5c,校長ママの妹,32
00031da1,body,1073,1009,1133,1077,,00030e04,Other,32
00031da2,face,1088,967,1108,1006,,00030e04,Other,32
00031da3,text,1141,619,1202,725,さすがだわ！私も見ならわなくちゃ！,,,32
00031da4,body,158,645,355,836,,00031d3e,一万人めの受験者,32
00031da5,body,362,1043,392,1073,,00030e04,Other,32
