id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0003321c,face,601,631,670,752,00032c91,黒井戸,,38
0003321d,face,928,749,1034,879,000331bd,郁文,,38
0003321e,body,1412,714,1630,1104,00032c91,黒井戸,,38
0003321f,frame,887,0,1092,627,,,,38
00033220,frame,418,615,765,1167,,,,38
00033221,frame,22,394,409,589,,,,38
00033222,face,939,411,1052,575,000331bd,郁文,,38
00033223,text,1327,830,1342,862,,,おい,38
00033224,text,376,1045,404,1099,,,....！？,38
00033225,body,380,227,761,587,00032c91,黒井戸,,38
00033226,face,1518,758,1564,815,00032c91,黒井戸,,38
00033227,text,1304,956,1420,1099,,,だがもう遅いぞ　早く帰らないと家の人が心配するぞ,38
00033228,body,117,224,203,342,000331bd,郁文,,38
00033229,face,1003,1033,1103,1139,00032c91,黒井戸,,38
0003322a,text,641,1028,693,1109,,,！！,38
0003322b,text,65,628,154,822,,,そっちが悪いんだ　せっかく隠れていたのに....！！,38
0003322c,frame,888,932,1248,1168,,,,38
0003322d,frame,26,613,405,890,,,,38
0003322e,text,1327,671,1426,779,,,こんな所でかくれんぽか　でも足が見えてるぞ　尻も,38
0003322f,text,669,100,717,181,,,わっ,38
00033230,body,245,896,405,1103,00032c91,黒井戸,,38
00033231,text,1489,103,1554,206,,,何だこれは？,38
00033232,text,1155,663,1230,809,,,ここで捕まったら家へ連れ戻されちゃう！！,38
00033233,frame,887,653,1246,905,,,,38
00033234,text,168,898,212,1060,,,何から隠れてたんだ　オニじゃないのか？,38
00033235,text,329,454,375,562,,,待て！！,38
00033236,body,180,615,406,888,000331bd,郁文,,38
00033237,face,229,666,355,839,000331bd,郁文,,38
00033238,face,284,957,369,1078,00032c91,黒井戸,,38
00033239,frame,326,0,763,586,,,,38
0003323a,body,974,941,1216,1169,00032c91,黒井戸,,38
0003323b,frame,242,894,407,1105,,,,38
0003323c,face,467,981,548,1050,000331bd,郁文,,38
0003323d,body,564,589,762,1005,00032c91,黒井戸,,38
0003323e,body,25,853,229,1166,00032c91,黒井戸,,38
0003323f,body,420,822,717,1167,000331bd,郁文,,38
00033240,frame,1259,650,1616,1102,,,,38
00033241,text,977,108,1028,312,,,誰か来た！！,38
00033242,text,1170,946,1232,1035,,,ん？どうかしたのか？,38
00033243,body,890,309,1092,578,000331bd,郁文,,38
00033244,body,887,641,1085,904,000331bd,郁文,,38
00033245,frame,23,853,225,1165,,,,38
00033246,body,216,34,344,238,00032c91,黒井戸,,38
00033247,frame,25,0,380,399,,,,38
00033248,face,65,937,150,1089,00032c91,黒井戸,,38
00033249,text,444,622,529,803,,,人に物をぶつけて逃げるなんてあんまり感心しないな,38
0003324a,frame,1101,0,1628,627,,,,38
0003324b,text,95,82,148,158,,,あっコラ！！,38
