id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
000336d8,text,1390,560,1420,593,お,,,67
000336d9,frame,880,102,1188,451,,,,67
000336da,face,417,259,449,312,,00032e03,緑川,67
000336db,body,1298,1001,1444,1169,,00032c91,黒井戸,67
000336dc,frame,1340,2,1629,1165,,,,67
000336dd,text,916,504,1145,545,おそ～～～い,,,67
000336de,face,1261,263,1347,391,,000331d2,郁文の母,67
000336df,text,39,1019,77,1065,あ,,,67
000336e0,frame,465,381,765,689,,,,67
000336e1,frame,883,469,1193,1165,,,,67
000336e2,text,386,560,433,668,な　いなくなっただろ,,,67
000336e3,frame,884,454,1424,726,,,,67
000336e4,body,23,1071,193,1164,,00032e03,緑川,67
000336e5,face,553,184,599,240,,00032c91,黒井戸,67
000336e6,body,1167,908,1363,1085,,00032e03,緑川,67
000336e7,face,1269,559,1335,644,,00032c91,黒井戸,67
000336e8,face,1497,408,1530,474,,00032c91,黒井戸,67
000336e9,body,480,789,677,909,,00032e03,緑川,67
000336ea,frame,316,0,764,355,,,,67
000336eb,frame,424,765,765,910,,,,67
000336ec,text,704,721,733,753,わ,,,67
000336ed,frame,27,717,757,1169,,,,67
000336ee,text,1438,101,1568,333,そんな時　あなたが郁文君をあっちの世界からこっちの世界へ引き戻せる存在でなくてはならないのです！！,,,67
000336ef,text,86,64,109,216,こんなものは,,,67
000336f0,text,659,95,752,223,それならもう心配ないぞ　こいつでやっつけてやる,,,67
000336f1,text,92,398,173,527,さっすがセンセ　頼りになるぅ,,,67
000336f2,text,451,770,501,895,だから　だーいすきっ,,,67
000336f3,body,890,571,1186,1137,,00032e03,緑川,67
000336f4,text,485,393,538,492,こうしてやるのさ,,,67
000336f5,face,126,1101,167,1151,,00032e03,緑川,67
000336f6,text,1162,758,1283,894,だってえ　あの壁が怖かったんだもーーん！！,,,67
000336f7,body,1340,351,1625,1168,,00032c91,黒井戸,67
000336f8,face,143,530,223,651,,00032e03,緑川,67
000336f9,frame,21,0,300,353,,,,67
000336fa,frame,23,965,314,1166,,,,67
000336fb,text,425,107,445,188,ペンキだ,,,67
000336fc,frame,1101,0,1381,466,,,,67
000336fd,frame,26,380,450,691,,,,67
000336fe,text,1367,844,1454,987,緑川君　ずっと起きて待っていたのか？そこで,,,67
000336ff,body,205,390,447,689,,00032c91,黒井戸,67
00033700,body,519,125,717,353,,00032c91,黒井戸,67
00033701,text,1077,125,1197,394,"はい....努力します
本当にありがとうございましたｒ」",,,67
00033702,body,162,1019,294,1169,,00032c91,黒井戸,67
00033703,body,1162,145,1382,464,,000331d2,郁文の母,67
00033704,face,619,837,651,887,,00032e03,緑川,67
00033705,body,1225,483,1427,727,,00032c91,黒井戸,67
00033706,body,316,213,470,353,,00032e03,緑川,67
00033707,body,615,761,763,906,,00032c91,黒井戸,67
00033708,face,964,655,1056,749,,00032e03,緑川,67
00033709,text,125,976,181,1042,イッ,,,67
0003370a,body,31,483,291,688,,00032e03,緑川,67
0003370b,frame,1119,754,1466,1165,,,,67
