id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00033f37,text,369,963,605,993,第２話　乃木速人,,,13
00033f38,face,900,332,991,660,,00033c89,Other,13
00033f39,text,31,843,620,1143,極限サイクロン,,,13
00033f3a,body,966,0,1416,800,,00033eca,乃木速人,13
00033f3b,text,985,623,1075,769,頼むからやめろじゃ,,,13
00033f3c,body,996,833,1489,1094,,00033c93,堀ジュネ,13
00033f3d,face,1088,876,1393,1092,,00033c93,堀ジュネ,13
00033f3e,face,961,142,1073,302,,00033ed3,田島芳郎 (陸上部監督),13
00033f3f,body,938,10,1482,645,,00033ed3,田島芳郎 (陸上部監督),13
00033f40,text,1064,125,1155,285,やめろ乃木壊れる！,,,13
00033f41,text,937,886,966,990,のぎ…,,,13
00033f42,text,1153,395,1371,452,山中高校２年陸上部乃木速人１７歳,,,13
00033f43,text,1426,49,1556,657,俺の限界はこんなもんじゃねえ！！,,,13
00033f44,body,1,0,824,1166,,00033eca,乃木速人,13
00033f45,face,112,180,674,602,,00033eca,乃木速人,13
00033f46,frame,3,5,826,1164,,,,13
00033f47,text,1522,847,1559,1004,うおおお,,,13
00033f48,frame,901,832,1579,1093,,,,13
00033f49,face,1159,144,1357,367,,00033eca,乃木速人,13
00033f4a,body,900,208,1416,795,,00033c89,Other,13
00033f4b,frame,904,1,1579,799,,,,13
