id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
000340c6,body,1012,78,1233,278,00033c93,堀ジュネ,,20
000340c7,text,693,78,753,296,,,ソビエト崩壊直前に欧州のプロチームと契約,20
000340c8,frame,606,832,753,1093,,,,20
000340c9,face,328,630,343,642,00033c93,堀ジュネ,,20
000340ca,body,92,721,145,784,00033c93,堀ジュネ,,20
000340cb,text,537,550,595,643,,,考えれば考えるほど夢広がるじよ…,20
000340cc,face,280,694,328,779,00033eca,乃木速人,,20
000340cd,body,277,653,325,800,00033eca,乃木速人,,20
000340ce,face,626,881,715,1010,00033c93,堀ジュネ,,20
000340cf,frame,904,565,1579,1093,,,,20
000340d0,face,417,663,447,683,00033eca,乃木速人,,20
000340d1,text,911,316,1208,343,,,４０００M！同じトラック競技！,20
000340d2,face,1426,93,1474,138,00033c93,堀ジュネ,,20
000340d3,face,107,737,127,754,00033c93,堀ジュネ,,20
000340d4,frame,276,522,380,806,,,,20
000340d5,frame,393,522,517,804,,,,20
000340d6,frame,75,519,260,801,,,,20
000340d7,frame,378,77,754,491,,,,20
000340d8,body,615,838,719,1089,00033c93,堀ジュネ,,20
000340d9,frame,530,519,756,806,,,,20
000340da,body,410,645,458,787,00033eca,乃木速人,,20
000340db,face,163,215,209,263,000340dc,ヴィアチェスラフ・エキモフ,,20
000340dd,text,382,83,432,363,,,たちまち頭角を現しツール・ド・フランス常連参加…,20
000340de,body,420,869,560,1092,00033c93,堀ジュネ,,20
000340df,face,458,91,522,144,000340dc,ヴィアチェスラフ・エキモフ,,20
000340e0,body,189,617,237,779,00033eca,乃木速人,,20
000340e1,body,1294,627,1581,1087,000340dc,ヴィアチェスラフ・エキモフ,,20
000340e2,body,74,76,308,485,000340dc,ヴィアチェスラフ・エキモフ,,20
000340e3,face,648,577,681,612,00033c93,堀ジュネ,,20
000340e4,text,1173,582,1296,894,,,1980年代の旧ソビエト時代４０００M競技で圧倒的強さを誇ったロシア人ヴィアチェスラフ・エキモフ…,20
000340e5,frame,904,74,1234,284,,,,20
000340e6,text,1036,992,1325,1086,,,Вячеслав Владимирович Екимов (1966~),20
000340e7,text,257,83,355,395,,,ステージ優勝ならびに延べ１５回に及ぶ参加・全完走ーこれはツール史上ペルギ人のルシアン・ヴアン・インプとロシア人エキモフの２人しか達成していない偉業なのだ,20
000340e8,text,1166,93,1223,255,,,自転車で中距離といえば,20
000340e9,body,1317,78,1497,278,00033c93,堀ジュネ,,20
000340ea,face,1024,124,1103,274,00033c93,堀ジュネ,,20
000340eb,body,415,78,687,451,000340dc,ヴィアチェスラフ・エキモフ,,20
000340ec,body,585,559,715,798,00033c93,堀ジュネ,,20
000340ed,frame,1244,74,1581,282,,,,20
000340ee,face,1014,635,1080,698,000340dc,ヴィアチェスラフ・エキモフ,,20
000340ef,frame,75,74,364,490,,,,20
000340f0,body,890,589,1152,1067,000340dc,ヴィアチェスラフ・エキモフ,,20
000340f1,body,318,609,354,670,00033c93,堀ジュネ,,20
000340f2,frame,902,311,1583,539,,,,20
000340f3,text,116,964,130,1044,,,いない…？,20
000340f4,face,1345,826,1581,1093,000340dc,ヴィアチェスラフ・エキモフ,,20
000340f5,text,1514,84,1578,218,,,陸上８００M中距離か…,20
000340f6,text,1056,507,1432,542,,,自転車競技用トラック（通称バンク）,20
000340f7,body,450,609,514,802,00033c93,堀ジュネ,,20
000340f8,frame,75,835,593,1094,,,,20
000340f9,face,471,648,489,701,00033c93,堀ジュネ,,20
