id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00034e89,face,1394,485,1440,533,0003487d,大宙千春,,23
00034e8a,body,598,416,773,1073,00034bfb,体育先生,,23
00034e8b,text,1504,35,1575,255,,,はっ‼,23
00034e8c,body,1385,465,1450,539,0003487d,大宙千春,,23
00034e8d,text,127,358,237,535,,,どーせ庶民のイベントには興味ないんだろ,23
00034e8e,text,134,876,527,1036,,,大宙千春・出席番号２欠席理由：朝からまっぷたつなため。,23
00034e8f,text,365,112,687,152,,,「それはエコだよ！」,23
00034e90,frame,1306,420,1556,634,,,,23
00034e91,text,1137,700,1216,835,,,嫌なことは忘れてー,23
00034e92,text,1186,436,1287,565,,,ふうまだ警察に追いかけられたことの後遺症が…,23
00034e93,body,106,514,319,1074,000348d6,百山勇希,,23
00034e94,text,1449,682,1580,776,,,そうだ今日から林間学校だった,23
00034e95,text,387,348,466,477,,,大宙くん林間学校来ないのかなー,23
00034e96,text,901,670,1091,1169,,,うおおおおエライこっちゃああああああ,23
00034e97,body,1241,734,1521,1077,0003487d,大宙千春,,23
00034e98,face,1261,794,1318,881,0003487d,大宙千春,,23
00034e99,text,146,12,693,50,,,わりと高性能なポンコツ改造人間ギャグ！,23
00034e9a,face,1097,97,1366,308,0003487d,大宙千春,,23
00034e9b,text,1493,458,1547,510,,,ゆ…夢…,23
00034e9c,face,635,478,724,567,00034bfb,体育先生,,23
00034e9d,body,1018,1,1417,307,0003487d,大宙千春,,23
00034e9e,text,187,126,330,146,,,スロット３,23
00034e9f,frame,886,420,1297,640,,,,23
00034ea0,body,308,525,700,1072,00034baf,一ノ瀬ヒカル,,23
00034ea1,text,52,79,96,1099,,,前号まで大宙千春です。僕の両親は本当の親じゃなかった。僕の体はもう人間の体じゃなかった。改造されていた。重いよね、僕の人生。けれども侵略宇宙人から地球を守るのが使命なんだ。でも先日宇宙人倒したら変質者として警察に追われたよ。もう、これ以上失うものが思いつかないや！,23
00034ea2,frame,886,1,1629,397,,,,23
00034ea3,text,623,332,667,441,,,なんだ大宙は休みか,23
00034ea4,frame,106,0,773,1078,,,,23
00034ea5,frame,886,663,1110,1169,,,,23
00034ea6,face,1428,822,1495,894,0003487d,大宙千春,,23
00034ea7,face,366,620,526,814,00034baf,一ノ瀬ヒカル,,23
00034ea8,body,1043,508,1080,569,0003487d,大宙千春,,23
00034ea9,frame,1119,661,1636,1074,,,,23
00034eaa,face,170,627,272,830,000348d6,百山勇希,,23
