id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0003516b,text,74,318,154,467,千春様がポジティヴすぎるだけでございます,,,36
0003516c,text,71,62,184,218,いえ奴らの言語は地球の言語と反対の意味をもつことが多いのです,,,36
0003516d,text,1168,604,1230,706,もう少しなんだ,,,36
0003516e,text,1511,592,1586,701,ぼっちゃま大丈夫ですか!?,,,36
0003516f,frame,17,736,359,1167,,,,36
00035170,face,1342,190,1390,242,,00035117,DV星人,36
00035171,text,267,752,338,934,そうかつまりこれは僕がブサイクだとけなしてるのか,,,36
00035172,frame,1245,586,1596,737,,,,36
00035173,body,443,155,515,319,,0003487d,大宙千春,36
00035174,text,356,64,407,164,でも僕のこと好きだって…,,,36
00035175,body,1288,607,1519,739,,0003487b,ランスロット,36
00035176,frame,432,33,575,546,,,,36
00035177,face,1211,280,1267,347,,0003487d,大宙千春,36
00035178,face,260,409,317,472,,0003487d,大宙千春,36
00035179,text,1534,22,1609,228,ぼっちゃま‼すごい音がしましたがいったいー,,,36
0003517a,text,617,86,763,251,DV星人宇宙パチスロに負けた腹いせにちょいちょい他の星に八つ当たりしてくる凶悪宇宙人です,,,36
0003517b,frame,880,31,1597,565,,,,36
0003517c,face,1003,945,1064,995,,0003487b,ランスロット,36
0003517d,frame,54,297,427,549,,,,36
0003517e,frame,1439,0,1633,416,,,,36
0003517f,body,880,758,967,1114,,00035117,DV星人,36
00035180,face,1355,936,1463,1038,,0003487d,大宙千春,36
00035181,body,1081,761,1542,1169,,0003487b,ランスロット,36
00035182,text,630,309,637,340,……,,,36
00035183,text,664,580,747,724,何を言ってるの,,,36
00035184,face,1000,145,1119,537,,0003487b,ランスロット,36
00035185,face,934,618,1040,735,,0003487b,ランスロット,36
00035186,text,596,400,645,521,きょ凶悪宇宙人!?,,,36
00035187,body,936,949,1018,1113,,0003487d,大宙千春,36
00035188,face,903,816,951,931,,00035117,DV星人,36
00035189,text,969,895,986,929,えっ,,,36
0003518a,frame,1078,758,1636,1169,,,,36
0003518b,face,667,326,764,542,,00035117,DV星人,36
0003518c,face,1059,634,1233,734,,0003487d,大宙千春,36
0003518d,text,905,53,980,499,ぬおーぼっちゃまにいったい何がー‼,,,36
0003518e,text,75,761,132,876,なんてたちの悪い,,,36
0003518f,body,159,583,327,736,,0003487b,ランスロット,36
00035190,face,265,100,289,129,,00035117,DV星人,36
00035191,body,239,82,324,278,,00035117,DV星人,36
00035192,face,947,964,991,1008,,0003487d,大宙千春,36
00035193,text,1102,774,1195,1094,目をお覚ましくださいぼっちゃま‼,,,36
00035194,text,517,43,553,193,ヒヒカルちゃんとは何も関係がないの？,,,36
00035195,frame,878,758,1076,1113,,,,36
00035196,frame,366,755,767,1168,,,,36
00035197,text,1005,778,1058,868,奴は宇宙人ですよ,,,36
00035198,text,648,772,761,1004,私あなたみたいなステキな人初めて見たのに,,,36
00035199,body,998,925,1074,1113,,0003487b,ランスロット,36
0003519a,body,56,299,239,549,,0003487b,ランスロット,36
0003519b,frame,876,586,1234,739,,,,36
0003519c,body,1037,588,1235,741,,0003487d,大宙千春,36
0003519d,face,1245,835,1338,1059,,0003487b,ランスロット,36
0003519e,face,1327,642,1396,718,,0003487d,大宙千春,36
0003519f,face,1413,646,1476,717,,0003487b,ランスロット,36
000351a0,body,362,755,765,1164,,00035117,DV星人,36
000351a1,body,884,33,1141,565,,0003487b,ランスロット,36
000351a2,text,896,607,921,660,え？,,,36
000351a3,body,1271,876,1564,1165,,0003487d,大宙千春,36
000351a4,text,1250,596,1288,706,ラランスロット,,,36
000351a5,body,452,229,571,451,,0003487b,ランスロット,36
000351a6,body,1132,259,1330,498,,0003487d,大宙千春,36
000351a7,body,1288,611,1437,739,,0003487d,大宙千春,36
000351a8,face,1448,220,1533,319,,0003487b,ランスロット,36
000351a9,face,461,162,490,191,,0003487d,大宙千春,36
000351aa,body,1316,168,1415,495,,00035117,DV星人,36
000351ab,body,880,586,1051,737,,0003487b,ランスロット,36
000351ac,frame,583,31,768,543,,,,36
000351ad,text,1253,159,1270,233,えええ!?,,,36
000351ae,text,329,326,420,425,じゃじゃあ今までの好意的な行為は,,,36
000351af,body,580,222,768,545,,00035117,DV星人,36
000351b0,body,20,740,262,1169,,0003487d,大宙千春,36
000351b1,face,400,813,609,1054,,00035117,DV星人,36
000351b2,text,452,377,502,539,ただのモロかぶりですね,,,36
000351b3,frame,58,570,770,734,,,,36
000351b4,body,1443,181,1629,416,,0003487b,ランスロット,36
000351b5,text,1497,774,1602,1009,あともう少しで僕は新しい愛のステージに行ける気が,,,36
000351b6,face,93,635,137,679,,0003487d,大宙千春,36
000351b7,body,58,616,153,733,,0003487d,大宙千春,36
000351b8,frame,56,35,424,277,,,,36
000351b9,text,1338,43,1395,146,もうあなたなしで生きていけない,,,36
000351ba,body,336,570,636,734,,00035117,DV星人,36
000351bb,face,518,246,551,274,,0003487b,ランスロット,36
000351bc,body,217,386,359,548,,0003487d,大宙千春,36
000351bd,face,129,814,252,1163,,0003487d,大宙千春,36
