id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00036e3a,face,1537,20,1647,146,00035f85,浦島景太郎,,60
00036e3b,face,683,179,707,199,00035f85,浦島景太郎,,60
00036e3c,text,79,106,186,227,,,・・・・あんたまだ諦めず受験するつもりなの？,60
00036e3d,frame,1449,585,1619,820,,,,60
00036e3e,frame,66,79,565,312,,,,60
00036e3f,text,76,510,124,574,,,私？,60
00036e40,body,1039,863,1134,915,00035f85,浦島景太郎,,60
00036e41,text,573,786,624,894,,,いっしょに東大行こーね,60
00036e42,body,281,537,401,616,00035f85,浦島景太郎,,60
00036e43,body,210,99,284,246,00035f83,成瀬川なる,,60
00036e44,face,218,530,245,559,00035f83,成瀬川なる,,60
00036e45,frame,1024,832,1142,1169,,,,60
00036e46,text,489,649,526,776,,,ーー私はね,60
00036e47,frame,554,501,749,1094,,,,60
00036e48,frame,68,957,551,1094,,,,60
00036e49,body,1022,957,1138,1167,00035f83,成瀬川なる,,60
00036e4a,frame,68,501,551,617,,,,60
00036e4b,frame,68,620,551,961,,,,60
00036e4c,face,1054,1009,1110,1056,00035f83,成瀬川なる,,60
00036e4d,body,662,168,726,294,00035f85,浦島景太郎,,60
00036e4e,text,608,934,651,1066,,,も・・目的？,60
00036e4f,frame,906,791,1653,1103,,,,60
00036e50,body,97,622,549,957,00035f83,成瀬川なる,,60
00036e51,face,1083,83,1224,222,00035f85,浦島景太郎,,60
00036e52,text,903,984,944,1071,,,だから〜悪かったよ,60
00036e53,text,702,56,726,158,,,・・・・あのさ,60
00036e54,text,568,503,628,590,,,大きくなったら,60
00036e55,text,435,513,546,605,,,・・・・・・！そっちこそ何で東大目指してんだよ！,60
00036e56,text,127,951,154,1036,,,・・・・・・,60
00036e57,face,616,210,655,249,00035f83,成瀬川なる,,60
00036e58,text,1377,412,1495,568,,,う・・・・動けなくなっちゃったあはは・・・・,60
00036e59,text,630,336,728,475,,,何で東大にそんなこだわるの？,60
00036e5a,body,322,154,378,293,00035f85,浦島景太郎,,60
00036e5b,body,624,768,744,1090,00035f85,浦島景太郎,,60
00036e5c,face,1281,154,1405,272,00035f83,成瀬川なる,,60
00036e5d,body,614,628,741,794,00035f85,浦島景太郎,,60
00036e5e,frame,68,333,745,476,,,,60
00036e5f,frame,568,2,745,312,,,,60
00036e60,text,701,520,727,630,,,え・・・・!?,60
00036e61,text,448,87,558,228,,,帰ったら勉強の仕方とか教えてくれないかな？,60
00036e62,body,899,4,1617,788,00035f83,成瀬川なる,,60
00036e63,face,320,360,413,447,00035f83,成瀬川なる,,60
00036e64,text,1486,74,1530,158,,,あ あれ あれれ？,60
00036e65,frame,1472,18,1653,165,,,,60
00036e66,face,633,647,739,788,00035f85,浦島景太郎,,60
00036e67,text,920,226,964,376,,,わざとじゃないからねホント・・・・,60
00036e68,text,1522,806,1581,917,,,ひなた温泉前ひなた温泉前,60
00036e69,body,581,168,691,307,00035f83,成瀬川なる,,60
00036e6a,face,214,680,428,867,00035f83,成瀬川なる,,60
00036e6b,body,1424,905,1530,1067,00035f83,成瀬川なる,,60
00036e6c,body,193,335,457,474,00035f83,成瀬川なる,,60
00036e6d,body,1474,20,1648,163,00035f85,浦島景太郎,,60
00036e6e,text,84,351,183,450,,,なんか目的でもある訳？,60
00036e6f,face,654,834,741,981,00035f85,浦島景太郎,,60
00036e70,body,918,12,1384,788,00035f85,浦島景太郎,,60
00036e71,frame,872,0,1653,789,,,,60
00036e72,body,170,516,272,613,00035f83,成瀬川なる,,60
