id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00038fa9,frame,0,28,370,184,,,,91
00038faa,frame,908,598,1576,902,,,,91
00038fab,text,56,25,77,98,あ・・・・,,,91
00038fac,frame,72,191,368,393,,,,91
00038fad,face,1026,970,1143,1134,,00038b3c,真枝　絵馬,91
00038fae,text,82,210,150,375,ヘへー　何や絵馬ほんなチビのくせに渡さへんでーー♡,,,91
00038faf,text,83,447,138,521,なる先輩私に私にーーっ,,,91
00038fb0,face,559,202,632,270,,00037691,前原　しのぶ,91
00038fb1,face,287,527,342,560,,000377ee,浦島　可奈子,91
00038fb2,body,455,1045,643,1168,,000377ee,浦島　可奈子,91
00038fb3,body,289,1005,456,1164,,00037701,青山　素子,91
00038fb4,body,409,418,502,453,,000376a1,カオラ・スゥ,91
00038fb5,face,694,269,734,351,,00037a97,ニャモちゃん,91
00038fb6,text,666,424,732,513,取るもん！,,,91
00038fb7,face,508,150,543,218,,00037691,前原　しのぶ,91
00038fb8,face,190,208,252,259,,000376a1,カオラ・スゥ,91
00038fb9,text,943,706,1035,890,いつか私もあんなふうになりたいよ・・・・,,,91
00038fba,frame,866,0,1653,697,,,,91
00038fbb,frame,379,0,752,393,,,,91
00038fbc,frame,30,530,772,965,,,,91
00038fbd,body,899,87,1580,693,,00037677,成瀬川　なる,91
00038fbe,body,268,491,383,562,,000377ee,浦島　可奈子,91
00038fbf,frame,75,415,754,560,,,,91
00038fc0,body,382,227,511,389,,00038b3c,真枝　絵馬,91
00038fc1,body,30,588,600,931,,00037677,成瀬川　なる,91
00038fc2,body,471,57,692,386,,00037691,前原　しのぶ,91
00038fc3,face,456,1074,529,1163,,000377ee,浦島　可奈子,91
00038fc4,face,617,431,658,485,,00037691,前原　しのぶ,91
00038fc5,face,179,446,237,508,,00037701,青山　素子,91
00038fc6,face,422,905,488,1003,,00038b3c,真枝　絵馬,91
00038fc7,body,1085,598,1508,899,,00038b3c,真枝　絵馬,91
00038fc8,body,597,418,657,505,,00037691,前原　しのぶ,91
00038fc9,body,602,921,748,1089,,00037691,前原　しのぶ,91
00038fca,face,445,418,495,449,,000376a1,カオラ・スゥ,91
00038fcb,body,152,417,310,562,,00037701,青山　素子,91
00038fcc,text,313,232,358,345,欲しい・・・・私も欲しい！！,,,91
00038fcd,body,489,417,647,560,,00038b3c,真枝　絵馬,91
00038fce,body,1153,909,1472,1138,,00037691,前原　しのぶ,91
00038fcf,body,172,821,748,1164,,00038b3c,真枝　絵馬,91
00038fd0,text,1486,722,1560,871,なりたいな私も――,,,91
00038fd1,face,313,1055,372,1137,,00037701,青山　素子,91
00038fd2,text,633,80,738,215,あれを取った女の子が次にあんなふうに結婚できるんだよ・・・・って,,,91
00038fd3,face,1221,951,1372,1118,,00037691,前原　しのぶ,91
00038fd4,face,217,315,264,385,,00038b3c,真枝　絵馬,91
00038fd5,face,165,50,257,144,,00038b3c,真枝　絵馬,91
00038fd6,text,1419,933,1549,1103,――あら絵馬ちゃんここにいたのね花嫁のブーケの話知ってる？昨日急にいなくなったから探してたのよ,,,91
00038fd7,body,171,264,310,389,,00038b3c,真枝　絵馬,91
00038fd8,face,1255,722,1391,859,,00038b3c,真枝　絵馬,91
00038fd9,text,317,444,397,500,何やてコイツ生意気な～～,,,91
00038fda,body,1136,10,1647,691,,00037671,浦島　景太郎,91
00038fdb,face,517,429,575,491,,00038b3c,真枝　絵馬,91
00038fdc,body,96,30,343,185,,00038b3c,真枝　絵馬,91
00038fdd,body,159,200,303,270,,000376a1,カオラ・スゥ,91
00038fde,text,578,938,611,1111,つかめ・・・・,,,91
00038fdf,body,680,234,751,388,,00037a97,ニャモちゃん,91
00038fe0,face,625,949,711,1028,,00037691,前原　しのぶ,91
00038fe1,frame,73,897,753,1167,,,,91
00038fe2,face,1245,231,1419,428,,00037671,浦島　景太郎,91
00038fe3,text,304,47,357,160,あんなふうに・・・・,,,91
00038fe4,text,115,920,202,1061,この手で夢を・・・・,,,91
00038fe5,face,256,669,333,750,,00037677,成瀬川　なる,91
00038fe6,face,1137,240,1287,448,,00037677,成瀬川　なる,91
00038fe7,body,225,1102,330,1166,,000377a2,温泉　たまご,91
00038fe8,frame,889,907,1579,1142,,,,91
00038fe9,face,443,265,499,370,,00038b3c,真枝　絵馬,91
00038fea,body,892,911,1186,1139,,00038b3c,真枝　絵馬,91
00038feb,text,385,70,470,221,"キ　キャーー
ちょっと待ってーまだ投げないでくださいーーっ",,,91
00038fec,text,907,943,965,1073,花嫁さんのブーケ・・・・,,,91
