id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00039145,frame,390,471,755,1168,,,,9
00039146,body,1318,283,1551,575,0003908e,刑事,,9
00039147,text,523,496,578,647,,,カツキ！！,9
00039149,body,64,8,694,413,0003914a,カツキ,,9
0003914b,text,76,491,142,590,,,なっ、何だあ！？,9
0003914c,face,296,132,437,277,0003914a,カツキ,,9
0003914d,face,1488,164,1587,303,0003907f,キョーヘイ,,9
0003914e,body,898,70,983,572,0003907f,キョーヘイ,,9
0003914f,face,1205,325,1252,390,0003908e,刑事,,9
00039150,text,1357,124,1421,217,,,終わったのか？,9
00039151,body,1445,74,1586,575,0003907f,キョーヘイ,,9
00039152,body,1304,599,1648,1165,0003908e,刑事,,9
00039153,face,452,820,736,1035,0003907f,キョーヘイ,,9
00039154,frame,894,600,1646,1169,,,,9
00039155,text,78,800,181,910,,,キョーヘイ、み見てのとおり君の友達を預かつてる．,9
00039156,text,1188,84,1284,254,,,しかし、こんなのを一発でのしちまうとは大したもんだな。,9
00039157,face,1513,646,1652,893,0003908e,刑事,,9
00039158,frame,68,783,444,1099,,,,9
00039159,body,1202,323,1291,572,0003908e,刑事,,9
0003915a,body,899,614,1038,1163,0003907f,キョーヘイ,,9
0003915b,frame,65,476,500,759,,,,9
0003915c,frame,896,74,1294,576,,,,9
0003915d,face,1379,307,1450,394,0003908e,刑事,,9
0003915e,text,1462,614,1493,749,,,ああん？,9
0003915f,frame,1,1,753,450,,,,9
00039160,body,393,671,752,1163,0003907f,キョーヘイ,,9
00039161,frame,1313,76,1582,570,,,,9
