id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0003952f,text,79,135,131,223,ユ…ユメ…,,,39
00039530,body,898,858,1117,1169,,0003914a,カツキ,39
00039531,face,1200,543,1259,610,,000390c7,サトル,39
00039532,frame,1398,458,1583,837,,,,39
00039533,face,93,958,170,1050,,00039250,ユメ,39
00039534,frame,1138,864,1653,1167,,,,39
00039535,frame,896,4,1647,434,,,,39
00039536,text,439,50,507,164,大丈夫、急所ははずれてるわ。,,,39
00039537,body,1293,675,1385,827,,000390cb,三光会長,39
00039538,frame,899,458,1381,837,,,,39
00039539,face,276,28,348,100,,00039250,ユメ,39
0003953a,face,537,350,635,442,,0003926b,テツ,39
0003953b,body,1104,172,1279,396,,0003926b,テツ,39
0003953c,frame,298,279,762,596,,,,39
0003953d,frame,899,864,1123,1169,,,,39
0003953e,frame,571,623,762,1097,,,,39
0003953f,body,0,896,232,1153,,00039250,ユメ,39
00039540,body,1251,865,1653,1169,,000390cb,三光会長,39
00039541,text,988,695,1052,825,あれがバッタリなんぞであるものか！！,,,39
00039542,frame,0,0,759,309,,,,39
00039543,text,1337,481,1354,570,転機だと！？,,,39
00039544,body,330,288,753,602,,0003926b,テツ,39
00039545,face,1306,737,1360,819,,000390cb,三光会長,39
00039546,face,1267,961,1555,1168,,000390cb,三光会長,39
00039547,text,1492,295,1548,402,会長、こちらへ！,,,39
00039548,body,1102,502,1344,767,,000390c7,サトル,39
00039549,frame,1,338,282,600,,,,39
0003954a,text,1067,965,1111,1061,うっくつ,,,39
0003954b,body,46,0,440,301,,00039250,ユメ,39
0003954c,text,1452,473,1556,625,サトルの機転でとりあえずあなたの安全は確保できましたな。,,,39
0003954d,text,1514,891,1590,966,さっさとガキ共を始末しろ！,,,39
0003954e,frame,4,601,721,1165,,,,39
0003954f,face,925,1046,980,1105,,0003914a,カツキ,39
00039550,text,1168,891,1236,1058,サトルにもこれ以上勝手なことをさせるな！,,,39
00039551,text,937,469,1129,604,"いらないよそんなヤツ
いずれ三光グループは僕のものになるんだ。",,,39
