id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00039de8,frame,914,855,1117,1106,,,,24
00039de9,body,917,554,1531,820,00039bf0,パイン,,24
00039dea,body,42,2,543,469,00039bf0,パイン,,24
00039deb,text,1563,809,1587,883,,,た……,24
00039dec,text,38,485,76,577,,,くっ……,24
00039ded,face,1322,916,1439,1039,00039bf0,パイン,,24
00039dee,body,54,952,543,1163,00039bbc,神童大牙,,24
00039def,face,574,723,734,889,00039bf0,パイン,,24
00039df0,frame,1132,851,1202,1102,,,,24
00039df1,face,291,1035,471,1165,00039bbc,神童大牙,,24
00039df2,frame,0,475,368,666,,,,24
00039df3,frame,854,50,1649,923,,,,24
00039df4,face,604,77,695,168,00039bf0,パイン,,24
00039df5,face,1452,918,1598,1027,00039bf0,パイン,,24
00039df6,body,251,664,413,1078,00039bf0,パイン,,24
00039df7,frame,510,2,753,596,,,,24
00039df8,frame,364,497,563,623,,,,24
00039df9,body,535,18,752,572,00039bf0,パイン,,24
00039dfa,frame,1325,809,1470,1105,,,,24
00039dfb,text,1285,833,1313,877,,,！,24
00039dfc,text,30,310,126,436,,,"ちょ……
ちょっと待て話し合おう！",24
00039dfd,face,1178,455,1265,528,00039bf0,パイン,,24
00039dfe,frame,1178,827,1325,1106,,,,24
00039dff,text,1380,825,1446,901,,,タフなヤツだな……,24
00039e00,body,1440,820,1600,1100,00039bf0,パイン,,24
00039e01,frame,548,606,753,1109,,,,24
00039e02,body,3,99,396,430,00039bbc,神童大牙,,24
00039e03,body,910,385,1535,829,00039bf0,パイン,,24
00039e04,frame,1430,791,1605,1103,,,,24
00039e05,frame,56,634,537,1167,,,,24
00039e06,text,514,519,548,601,,,ま……,24
00039e07,body,1326,881,1459,1100,00039bf0,パイン,,24
00039e08,frame,0,0,554,489,,,,24
00039e09,body,551,621,751,984,00039bf0,パイン,,24
00039e0a,face,39,103,202,278,00039bbc,神童大牙,,24
