id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0003a374,text,1505,690,1567,847,オ……,,,66
0003a375,body,902,24,1583,645,,00039bc5,親父,66
0003a376,face,1229,739,1450,915,,00039bbc,神童大牙,66
0003a377,face,1059,903,1168,1004,,00039bf0,パイン,66
0003a378,face,1156,152,1328,377,,00039bc5,親父,66
0003a379,frame,900,676,1586,1102,,,,66
0003a37a,body,1109,680,1581,1100,,00039bbc,神童大牙,66
0003a37b,frame,902,0,1584,650,,,,66
0003a37c,text,935,710,997,953,オヤジ!?,,,66
0003a37d,body,1000,832,1207,1106,,00039bf0,パイン,66
