id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0003ab9e,text,937,895,975,1059,はわお！！,,,34
0003ab9f,frame,828,0,1653,367,,,,34
0003aba0,face,206,909,296,989,,0003a55c,大塚森(主人公女),34
0003aba1,face,280,638,341,717,,0003a56d,納剛(主人公男),34
0003aba2,text,1256,746,1309,972,待っていて下さいね！森お姉さま･･･,,,34
0003aba3,body,88,794,447,1089,,0003a55c,大塚森(主人公女),34
0003aba4,frame,465,565,764,1092,,,,34
0003aba5,body,331,256,385,360,,0003a668,林魔美(担任),34
0003aba6,text,1273,401,1353,519,ついに･･･ついにあずさはやって参りましたわ･･･,,,34
0003aba7,frame,824,668,1653,1165,,,,34
0003aba8,face,1424,367,1500,424,,0003ab84,久遠寺あずさ(下級生),34
0003aba9,frame,51,93,214,509,,,,34
0003abaa,frame,88,565,457,777,,,,34
0003abab,face,1054,450,1263,641,,0003ab84,久遠寺あずさ(下級生),34
0003abac,body,1311,291,1653,1089,,0003ab84,久遠寺あずさ(下級生),34
0003abad,body,949,369,1387,671,,0003ab84,久遠寺あずさ(下級生),34
0003abae,face,61,210,162,345,,0003a668,林魔美(担任),34
0003abaf,frame,824,370,1652,673,,,,34
0003abb0,body,539,819,765,1094,,0003a55c,大塚森(主人公女),34
0003abb1,body,49,134,220,503,,0003a668,林魔美(担任),34
0003abb2,face,345,286,364,313,,0003a668,林魔美(担任),34
0003abb3,frame,0,0,828,550,,,,34
0003abb4,frame,88,795,455,1092,,,,34
0003abb5,text,108,920,150,1039,なんだか急に悪寒が走って･･･,,,34
0003abb6,text,357,575,444,734,やっぱり結局受からなかったなあ他のアニマルは全部受かったのに,,,34
0003abb7,body,830,665,1341,1169,,0003a55c,大塚森(主人公女),34
0003abb8,frame,531,0,804,430,,,,34
0003abb9,text,381,819,440,954,ううっ･･･今日はうまくいきそうな気がしてたのに,,,34
0003abba,text,1438,104,1497,261,ここは魔法使い養成専門マジックスター学院,,,34
0003abbb,face,908,750,1062,914,,0003a55c,大塚森(主人公女),34
0003abbc,body,399,256,482,543,,0003a55c,大塚森(主人公女),34
0003abbd,body,249,580,460,773,,0003a56d,納剛(主人公男),34
0003abbe,face,565,874,656,943,,0003a55c,大塚森(主人公女),34
0003abbf,body,173,690,294,773,,0003a55c,大塚森(主人公女),34
0003abc0,text,109,584,154,721,゛やっぱり゛とはなによーーー！,,,34
0003abc1,text,924,536,939,621,お姉さま･･･,,,34
0003abc2,face,221,724,248,751,,0003a55c,大塚森(主人公女),34
0003abc3,text,61,332,121,486,主人を巻きこんでは利用価値はありませんね,,,34
0003abc4,text,170,105,206,227,非常によいトラップですが,,,34
0003abc5,text,545,592,694,797,アニマル魔法免許試験大塚森＆クリーム組不合格！！！,,,34
0003abc6,text,641,223,700,293,わあ！？クリーム駄目っ･･･,,,34
