id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0003b4f1,face,1183,189,1227,240,0003af80,柚木梗子(桔梗),,77
0003b4f2,face,379,683,443,742,0003af96,東雲陽菜(春風の君),,77
0003b4f3,face,1103,485,1143,525,0003af1d,佐野こずえ(小雀),,77
0003b4f4,text,1301,117,1353,219,,,あっはっはー。,77
0003b4f5,frame,880,14,1560,299,,,,77
0003b4f6,body,1133,275,1418,880,0003af80,柚木梗子(桔梗),,77
0003b4f7,body,933,153,1016,248,0003af2e,下屋成美(霜月の君),,77
0003b4f8,face,219,492,257,525,0003af1d,佐野こずえ(小雀),,77
0003b4f9,body,1151,150,1270,300,0003af80,柚木梗子(桔梗),,77
0003b4fa,frame,18,21,755,365,,,,77
0003b4fb,body,834,783,1099,1166,0003af96,東雲陽菜(春風の君),,77
0003b4fc,body,1256,17,1560,301,0003a55c,大塚森(主人公女),,77
0003b4fd,face,1081,197,1133,250,0003af96,東雲陽菜(春風の君),,77
0003b4fe,text,653,642,703,1009,,,イノシシ狩りの,77
0003b4ff,text,1446,929,1513,1049,,,ああっ霜月さんが山狩ルックに！,77
0003b500,face,978,872,1049,940,0003af96,東雲陽菜(春風の君),,77
0003b501,frame,18,449,756,628,,,,77
0003b502,body,458,465,632,642,0003af17,佐野このみ(小鳩),,77
0003b503,text,656,460,728,522,,,ぶどう狩りの小鳩！,77
0003b504,text,1458,335,1566,492,,,森さまのホッペにチュー♡･･･これを逃すわけには参りません！,77
0003b505,text,939,339,1030,784,,,皆さん！今こそ！茶和女戦隊山岳ファイブ出動の刻ですわーー！,77
0003b506,face,1334,85,1414,182,0003a55c,大塚森(主人公女),,77
0003b507,body,141,468,337,655,0003af1d,佐野こずえ(小雀),,77
0003b508,body,1006,195,1050,256,0003a564,Other,,77
0003b509,face,539,489,572,523,0003af17,佐野このみ(小鳩),,77
0003b50a,body,1021,163,1149,295,0003af96,東雲陽菜(春風の君),,77
0003b50b,face,889,256,942,289,0003af17,佐野このみ(小鳩),,77
0003b50c,body,22,24,505,350,0003af2e,下屋成美(霜月の君),,77
0003b50d,text,1057,973,1291,1129,,,ご説明いたしましょう茶和女戦隊山岳ファイブとは！モリシンの中でも山関係に強い5人から構成される森さまの寵愛を得るためにはどんな労苦もいとわない最強の山岳部隊なのです！,77
0003b50e,face,1348,1076,1400,1118,0003af2a,松木貴美(灰鷹),,77
0003b50f,body,1335,1053,1467,1165,0003af2a,松木貴美(灰鷹),,77
0003b510,frame,0,591,822,1166,,,,77
0003b511,body,991,405,1356,881,0003af1d,佐野こずえ(小雀),,77
0003b512,face,886,208,924,233,0003a564,Other,,77
0003b513,text,401,236,487,416,,,山菜摘みの桔梗！,77
0003b514,text,1490,53,1531,166,,,なーんちゃってー･･･,77
0003b515,text,94,653,144,932,,,春風ーー！！,77
0003b516,body,946,230,1034,298,0003af1d,佐野こずえ(小雀),,77
0003b517,text,316,68,447,178,,,きのこ狩りの霜月！,77
0003b518,body,1119,236,1164,300,0003a564,Other,,77
0003b519,face,1269,361,1320,410,0003af80,柚木梗子(桔梗),,77
0003b51a,face,1015,204,1048,228,0003a564,Other,,77
0003b51b,face,1128,255,1154,273,0003a564,Other,,77
0003b51c,body,284,155,759,422,0003af80,柚木梗子(桔梗),,77
0003b51d,face,960,189,1005,230,0003af2e,下屋成美(霜月の君),,77
0003b51e,body,880,193,931,248,0003a564,Other,,77
0003b51f,body,1088,742,1239,946,0003af17,佐野このみ(小鳩),,77
0003b520,face,975,255,1020,287,0003af1d,佐野こずえ(小雀),,77
0003b521,body,69,633,545,1169,0003af96,東雲陽菜(春風の君),,77
0003b522,body,886,233,946,302,0003af17,佐野このみ(小鳩),,77
0003b523,face,1385,579,1483,678,0003af2e,下屋成美(霜月の君),,77
0003b524,text,85,453,134,554,,,ナシもぎの小雀！,77
0003b525,face,613,191,689,264,0003af80,柚木梗子(桔梗),,77
0003b526,body,1053,499,1646,1167,0003af2e,下屋成美(霜月の君),,77
0003b527,face,1120,770,1154,806,0003af17,佐野このみ(小鳩),,77
0003b528,frame,826,279,1652,1169,,,,77
0003b529,frame,19,97,756,425,,,,77
0003b52a,face,105,140,184,209,0003af2e,下屋成美(霜月の君),,77
