id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0003bb21,frame,1443,0,1585,619,,,,41
0003bb22,frame,1217,75,1432,627,,,,41
0003bb23,frame,64,2,312,379,,,,41
0003bb24,frame,475,460,752,1104,,,,41
0003bb25,text,667,90,742,247,レナ姫その戸の向こうを見てくれ,,,41
0003bb26,frame,324,85,462,380,,,,41
0003bb27,text,360,799,440,908,………‼精霊か!?,,,41
0003bb28,face,227,880,375,1047,,0003b589,リュー・トラウド,41
0003bb29,frame,899,71,1204,635,,,,41
0003bb2a,frame,910,715,1653,1163,,,,41
0003bb2b,body,1184,764,1650,1167,,0003b589,リュー・トラウド,41
0003bb2c,face,1261,880,1434,1055,,0003b589,リュー・トラウド,41
0003bb2d,body,163,782,454,1102,,0003b589,リュー・トラウド,41
0003bb2e,text,1126,81,1178,219,女帝……だっていったな,,,41
0003bb2f,body,595,743,753,1054,,0003b589,リュー・トラウド,41
0003bb30,face,182,81,226,125,,0003b73d,レナグリーン姫,41
0003bb31,face,630,236,664,272,,0003b589,リュー・トラウド,41
0003bb32,face,579,972,623,1016,,0003bae8,精霊,41
0003bb33,frame,815,629,1648,800,,,,41
0003bb34,text,909,85,994,236,大昔の人間になにができるっていうんだ,,,41
0003bb35,body,475,927,707,1100,,0003bae8,精霊,41
0003bb36,body,1455,201,1585,618,,0003bae8,精霊,41
0003bb37,text,503,610,531,668,う…,,,41
0003bb38,text,370,489,441,595,失礼だが貴方は？,,,41
0003bb39,body,64,607,436,759,,0003bae8,精霊,41
0003bb3a,body,233,476,461,759,,0003b589,リュー・トラウド,41
0003bb3b,text,586,471,738,632,死にかけている………彼女は何者？,,,41
0003bb3c,body,475,778,587,1008,,0003b73d,レナグリーン姫,41
0003bb3d,face,968,262,1137,459,,0003b5e8,ゼラ,41
0003bb3e,face,510,195,562,252,,0003b73d,レナグリーン姫,41
0003bb3f,body,369,209,436,384,,0003b73d,レナグリーン姫,41
0003bb40,text,80,486,158,680,――…女帝の命により この砦の守りをしている者だ…,,,41
0003bb41,face,269,519,354,606,,0003b589,リュー・トラウド,41
0003bb42,text,250,81,289,201,わっ!!,,,41
0003bb43,frame,64,784,455,1104,,,,41
0003bb44,body,102,55,269,350,,0003b73d,レナグリーン姫,41
0003bb45,body,897,152,1200,631,,0003b5e8,ゼラ,41
0003bb46,body,74,324,308,379,,0003bae8,精霊,41
0003bb47,face,1496,244,1534,288,,0003bae8,精霊,41
0003bb48,frame,473,83,754,376,,,,41
0003bb49,text,513,89,541,158,なに？,,,41
0003bb4a,body,591,218,723,376,,0003b589,リュー・トラウド,41
0003bb4b,text,1260,156,1379,302,消えたか　ふん　たあいもない,,,41
0003bb4c,body,479,158,619,378,,0003b73d,レナグリーン姫,41
0003bb4d,body,1215,405,1373,623,,0003b5e8,ゼラ,41
0003bb4e,text,974,849,1010,906,!!,,,41
0003bb4f,frame,70,468,459,763,,,,41
0003bb50,face,648,774,690,820,,0003b589,リュー・トラウド,41
0003bb51,text,78,807,167,1004,ゼラにやられたな　奴はどこに？,,,41
0003bb52,face,155,646,291,758,,0003bae8,精霊,41
0003bb53,frame,824,813,1653,1094,,,,41
0003bb54,face,524,811,562,851,,0003b73d,レナグリーン姫,41
