id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0003bc29,face,1390,218,1469,317,0003bba9,サディン,,46
0003bc2a,text,1448,484,1498,601,,,さあ私にも解らん,46
0003bc2b,text,91,759,142,898,,,じゃあ昨日の続きをしようか,46
0003bc2c,body,603,949,727,1097,0003bba6,ヨシュナ,,46
0003bc2d,face,176,917,239,984,0003bba9,サディン,,46
0003bc2e,text,261,64,412,228,,,ねえアマテア　ディク様は僕になにを期待しているんだろうか,46
0003bc2f,face,1174,234,1253,309,0003bba9,サディン,,46
0003bc30,face,451,856,518,921,0003bbd3,アマテア,,46
0003bc31,text,1325,78,1439,272,,,……‼ディク様は崇高な魔術者でいらっしゃる,46
0003bc32,frame,351,2,528,397,,,,46
0003bc33,text,1278,766,1330,934,,,少し 読めるようになった,46
0003bc34,frame,66,417,524,726,,,,46
0003bc35,text,1479,710,1569,871,,,ヨシュナか今日はどうだった？,46
0003bc36,face,583,460,642,523,0003bbd3,アマテア,,46
0003bc37,face,1479,925,1527,977,0003b5e6,ディケドリック,,46
0003bc38,body,532,401,749,721,0003bbd3,アマテア,,46
0003bc39,face,210,222,283,360,0003bba6,ヨシュナ,,46
0003bc3a,frame,1082,2,1367,423,,,,46
0003bc3b,frame,905,440,1587,696,,,,46
0003bc3c,text,1116,713,1240,929,,,よろしい　これから毎日日の始めに一日の課程をあたえる,46
0003bc3d,face,673,138,705,170,0003bba6,ヨシュナ,,46
0003bc3e,body,408,794,593,1099,0003bbd3,アマテア,,46
0003bc3f,body,196,161,346,391,0003bba6,ヨシュナ,,46
0003bc40,face,942,224,1062,368,0003bba6,ヨシュナ,,46
0003bc41,face,1005,921,1117,1029,0003b5e6,ディケドリック,,46
0003bc42,face,481,138,517,180,0003bba6,ヨシュナ,,46
0003bc43,text,1527,77,1572,183,,,でも齢っていくつなの？,46
0003bc44,frame,1259,764,1591,1169,,,,46
0003bc45,frame,66,81,345,394,,,,46
0003bc46,face,630,1004,693,1077,0003bba6,ヨシュナ,,46
0003bc47,body,1261,894,1417,1169,0003bba6,ヨシュナ,,46
0003bc48,text,101,290,125,340,,,え？,46
0003bc49,text,588,749,746,955,,,でも 技のほうは大成しなかったらしいけどね　でも今はディク様の補佐をしているでしょ？,46
0003bc4a,text,1011,558,1029,643,,,…………,46
0003bc4b,frame,901,711,1241,1169,,,,46
0003bc4c,body,1129,181,1361,415,0003bba9,サディン,,46
0003bc4d,body,1410,894,1591,1165,0003b5e6,ディケドリック,,46
0003bc4e,text,82,417,239,642,,,今度サディンに聞いたげようか　サディンもね ここにヨシュナと同じように連れてこられたんだって,46
0003bc4f,text,1091,54,1171,213,,,魔術者というのは現形の肉体は仮の姿でしかない,46
0003bc50,body,1477,222,1586,409,0003bba6,ヨシュナ,,46
0003bc51,body,147,878,340,1096,0003bba9,サディン,,46
0003bc52,body,357,171,524,393,0003bbd3,アマテア,,46
0003bc53,face,1512,267,1575,334,0003bba6,ヨシュナ,,46
0003bc54,face,70,103,169,206,0003bbd3,アマテア,,46
0003bc55,frame,1386,2,1585,417,,,,46
0003bc56,body,642,116,733,389,0003bba6,ヨシュナ,,46
0003bc57,body,459,110,528,389,0003bba6,ヨシュナ,,46
0003bc58,face,280,479,432,674,0003bba6,ヨシュナ,,46
0003bc59,body,1382,144,1504,413,0003bba9,サディン,,46
0003bc5a,body,62,81,251,394,0003bbd3,アマテア,,46
0003bc5b,face,381,220,438,275,0003bbd3,アマテア,,46
0003bc5c,body,913,156,1071,427,0003bba6,ヨシュナ,,46
0003bc5d,face,1339,937,1389,1022,0003bba6,ヨシュナ,,46
0003bc5e,frame,536,4,751,717,,,,46
0003bc5f,text,940,159,965,239,,,じゃあ…,46
0003bc60,text,270,755,325,895,,,サディンも僕と同じだったのか,46
0003bc61,frame,901,77,1072,427,,,,46
0003bc62,frame,406,750,756,1092,,,,46
0003bc63,body,190,415,524,722,0003bba6,ヨシュナ,,46
0003bc64,body,905,827,1239,1169,0003b5e6,ディケドリック,,46
0003bc65,frame,68,748,338,1098,,,,46
0003bc66,text,921,717,1005,858,,,寝る前に私の元へ報告をするのだ,46
0003bc67,text,461,422,512,562,,,僕はなにも聞いてないんだ,46
