id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0003c483,frame,1284,302,1435,509,,,,17
0003c484,body,1232,531,1482,699,0003c226,間,,17
0003c485,face,1315,133,1440,280,0003c226,間,,17
0003c486,text,303,29,333,158,,,～～～,17
0003c487,text,1015,889,1045,1063,,,あきらめない,17
0003c488,body,1293,81,1440,284,0003c226,間,,17
0003c489,body,1284,306,1435,504,0003c1a7,花木京香,,17
0003c48a,frame,78,691,752,1166,,,,17
0003c48b,face,467,189,523,253,0003c226,間,,17
0003c48c,body,164,198,371,578,0003c1a7,花木京香,,17
0003c48d,text,694,79,711,226,,,あきらめられない,17
0003c48e,body,406,159,548,435,0003c226,間,,17
0003c48f,frame,914,652,1588,885,,,,17
0003c490,body,1146,699,1461,880,0003c1a7,花木京香,,17
0003c491,face,1176,211,1214,262,0003c226,間,,17
0003c492,face,268,808,536,1076,0003c19f,木村進一,,17
0003c493,frame,4,0,518,692,,,,17
0003c494,face,229,250,267,297,0003c1a7,花木京香,,17
0003c495,frame,1444,77,1591,509,,,,17
0003c496,frame,566,0,751,670,,,,17
0003c497,text,101,443,136,617,,,花木さん！？,17
0003c498,frame,355,0,553,670,,,,17
0003c499,body,571,310,735,669,0003c19f,木村進一,,17
0003c49a,body,1072,172,1275,505,0003c226,間,,17
0003c49b,frame,914,881,1644,1166,,,,17
0003c49c,text,1239,111,1251,167,,,………,17
0003c49d,frame,912,77,1279,509,,,,17
0003c49e,frame,1289,77,1440,284,,,,17
0003c49f,text,1304,394,1317,458,,,キスを…,17
0003c4a0,body,208,691,623,1166,0003c19f,木村進一,,17
0003c4a1,text,633,688,668,863,,,花木さん！,17
0003c4a2,body,943,271,1271,508,0003c1a7,花木京香,,17
0003c4a3,text,1403,95,1418,161,,,なにって,17
0003c4a4,frame,912,526,1590,746,,,,17
0003c4a5,text,1477,419,1493,451,,,なっ,17
0003c4a6,text,1018,622,1162,780,,,なんだじゃあ返事はやっぱり―,17
0003c4a7,face,1315,544,1431,691,0003c226,間,,17
0003c4a8,text,976,168,1031,340,,,けっ結婚するまで,17
0003c4a9,text,497,390,521,418,,,え,17
