id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0003d0e7,text,267,562,347,662,応えてくれる彼女はもうここにはいないけれど,,,84
0003d0e8,frame,69,552,747,772,,,,84
0003d0e9,text,78,972,99,1106,―もしかして,,,84
0003d0ea,text,375,90,468,269,これが女の考えることだっていうんですかっ………！,,,84
0003d0eb,text,1149,88,1270,206,夜遅くどなたからかお電話があってそれっきり…もう３日になります,,,84
0003d0ec,frame,1258,743,1577,1093,,,,84
0003d0ed,body,168,940,228,1168,,0003cd4f,沢渡裕一,84
0003d0ee,body,971,245,1117,568,,0003ce6d,佐藤悟,84
0003d0ef,body,99,854,155,1113,,0003ce6d,佐藤悟,84
0003d0f0,frame,1016,85,1288,573,,,,84
0003d0f1,face,1153,815,1200,875,,0003cd4f,沢渡裕一,84
0003d0f2,body,1326,396,1541,573,,0003ce6d,佐藤悟,84
0003d0f3,face,1399,893,1429,927,,0003ce6d,佐藤悟,84
0003d0f4,text,225,782,284,909,彼女が本当に好きだったのは誰なのか,,,84
0003d0f5,body,902,755,1100,1009,,0003ce6d,佐藤悟,84
0003d0f6,text,1203,419,1279,554,旦那様の事務所でもなにかあったようですが……,,,84
0003d0f7,text,1328,479,1342,510,ええ,,,84
0003d0f8,text,1425,620,1464,701,その電話の声―,,,84
0003d0f9,body,578,362,720,534,,0003ce6d,佐藤悟,84
0003d0fa,body,902,776,1251,1091,,0003cd4f,沢渡裕一,84
0003d0fb,frame,4,743,254,1166,,,,84
0003d0fc,text,1339,764,1373,864,若い男の人でしたけど…,,,84
0003d0fd,face,522,128,625,266,,0003cd4f,沢渡裕一,84
0003d0fe,face,1408,444,1464,513,,0003ce6d,佐藤悟,84
0003d0ff,text,650,199,708,332,―いっぺんに目が覚めましたよ俺,,,84
0003d100,text,1484,774,1498,819,いいえ,,,84
0003d101,frame,1258,591,1577,725,,,,84
0003d102,text,1526,398,1551,486,家出！？,,,84
0003d103,body,1127,271,1196,491,,0003d104,使用人Ｂ,84
0003d105,face,1369,634,1420,694,,0003d106,使用人Ａ,84
0003d107,body,1187,271,1251,491,,0003d106,使用人Ａ,84
0003d108,body,285,254,436,530,,0003ce6d,佐藤悟,84
0003d109,face,971,340,1066,452,,0003ce6d,佐藤悟,84
0003d10a,frame,899,85,1119,573,,,,84
0003d10b,face,1274,595,1343,672,,0003d104,使用人Ｂ,84
0003d10c,body,207,236,306,534,,0003cd4f,沢渡裕一,84
0003d10d,body,267,703,698,1169,,0003cd5c,木暮今日子,84
0003d10e,frame,69,656,747,1169,,,,84
0003d10f,frame,1289,85,1608,383,,,,84
0003d110,body,1334,595,1446,724,,0003d106,使用人Ａ,84
0003d111,face,410,776,638,974,,0003cd5c,木暮今日子,84
0003d112,text,121,347,138,464,あの雨の日以来,,,84
0003d113,text,524,393,559,509,なんなんです？これ……,,,84
0003d114,text,925,98,983,249,あたしたちは通いのものですから詳しくは…,,,84
0003d115,text,419,932,459,1063,だから考えずにはいられない,,,84
0003d116,text,1495,125,1531,224,彼女の家を訪ねたんです,,,84
0003d117,text,580,946,683,1086,目覚めた今でもあの時俺の胸に流れこんできた痛みは本物だったと思う,,,84
0003d118,frame,1293,384,1574,574,,,,84
0003d119,frame,493,81,748,305,,,,84
0003d11a,face,609,396,704,516,,0003ce6d,佐藤悟,84
0003d11b,face,1023,781,1070,832,,0003ce6d,佐藤悟,84
0003d11c,text,1484,603,1561,702,ひょっとして中年の男性じゃなかったですか！？,,,84
0003d11d,body,1364,876,1459,1096,,0003ce6d,佐藤悟,84
0003d11e,body,492,85,673,270,,0003cd4f,沢渡裕一,84
0003d11f,frame,899,591,1249,1097,,,,84
0003d120,frame,493,323,748,534,,,,84
0003d121,body,1261,593,1364,720,,0003d104,使用人Ｂ,84
0003d122,text,941,407,964,547,…あっあの,,,84
0003d123,frame,69,81,484,535,,,,84
0003d124,text,652,579,660,633,………,,,84
0003d125,text,407,561,466,696,ひとつだけ確かめたいことがあった,,,84
