id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0003d655,face,1127,920,1160,982,0003d5ff,瑞樹リカ,,28
0003d656,text,924,464,940,503,,,うん,28
0003d657,text,133,65,285,263,,,"リカちゃん
今回この映画でまやちゃんと共演できてよかったですね",28
0003d658,text,508,428,523,469,,,……,28
0003d659,face,366,671,460,760,0003d5ff,瑞樹リカ,,28
0003d65a,body,365,582,471,857,0003d5ff,瑞樹リカ,,28
0003d65b,text,1221,878,1235,916,,,あ…,28
0003d65c,body,162,393,342,862,0003d297,結城,,28
0003d65d,text,431,909,449,939,,,仲,28
0003d65e,frame,490,393,757,861,,,,28
0003d65f,face,590,490,755,653,0003d29a,南坂まや,,28
0003d660,frame,1065,441,1327,848,,,,28
0003d661,body,1044,878,1252,1161,0003d5ff,瑞樹リカ,,28
0003d662,text,1092,751,1113,788,,,まや,28
0003d663,face,1353,991,1406,1044,0003d29a,南坂まや,,28
0003d664,frame,903,114,1239,406,,,,28
0003d665,body,1319,117,1414,455,0003d297,結城,,28
0003d666,face,1098,511,1288,724,0003d297,結城,,28
0003d667,frame,362,393,473,862,,,,28
0003d668,text,497,699,586,829,,,仲の良いお二人がどんな演技を見せてくれるか楽しみですね,28
0003d669,body,537,395,752,855,0003d29a,南坂まや,,28
0003d66a,face,447,121,494,166,0003d5ff,瑞樹リカ,,28
0003d66b,face,908,561,1035,724,0003d29a,南坂まや,,28
0003d66c,frame,901,854,1551,1167,,,,28
0003d66d,text,629,116,742,213,,,お二人は私生活でも仲がいいとお聞きしたのですが,28
0003d66e,face,211,447,336,620,0003d297,結城,,28
0003d66f,body,413,81,523,353,0003d5ff,瑞樹リカ,,28
0003d670,text,1084,275,1171,404,,,友情出演となったきっかけは⁉,28
0003d671,text,563,60,583,105,,,え…,28
0003d672,text,951,974,966,1057,,,ありがとう,28
0003d673,frame,39,0,786,1169,,,,28
0003d674,frame,905,441,1053,848,,,,28
0003d675,text,193,983,217,1115,,,良かったっけ？,28
0003d676,body,910,445,1050,846,0003d29a,南坂まや,,28
0003d677,frame,106,393,345,864,,,,28
0003d678,text,918,302,938,409,,,まやちゃん,28
0003d679,text,1494,93,1517,217,,,まやちゃん,28
0003d67a,body,1380,245,1448,496,0003d29a,南坂まや,,28
0003d67b,face,938,190,1023,260,0003d5ff,瑞樹リカ,,28
0003d67c,body,908,135,1073,403,0003d5ff,瑞樹リカ,,28
0003d67d,body,1275,953,1526,1162,0003d29a,南坂まや,,28
0003d67e,text,1502,893,1566,972,,,おめでとうございますリカさん,28
0003d67f,text,1088,73,1173,201,,,まやちゃんこっち向いてください,28
0003d680,body,1070,445,1323,846,0003d297,結城,,28
0003d681,frame,1190,116,1555,848,,,,28
0003d682,frame,106,0,756,357,,,,28
