id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0003d7a0,text,922,712,987,860,知り合いのプロデューサーにお願いしちゃった♡,,,36
0003d7a1,text,1221,395,1348,543,"だって見たんですもの
アタシの秘密",,,36
0003d7a2,body,1188,5,1454,366,,0003d5ff,瑞樹リカ,36
0003d7a3,face,320,622,491,808,,0003d6b1,しのぶ,36
0003d7a4,frame,39,0,316,584,,,,36
0003d7a5,frame,261,816,521,1091,,,,36
0003d7a6,frame,1293,911,1551,1093,,,,36
0003d7a7,body,339,256,477,400,,0003d5ff,瑞樹リカ,36
0003d7a8,text,74,420,93,503,あら,,,36
0003d7a9,body,44,5,312,579,,0003d5ff,瑞樹リカ,36
0003d7aa,body,967,544,1315,875,,0003d6b1,しのぶ,36
0003d7ab,frame,896,0,1651,638,,,,36
0003d7ac,body,451,5,751,575,,0003d6b1,しのぶ,36
0003d7ad,frame,35,1034,622,1167,,,,36
0003d7ae,text,1084,94,1124,174,リカちゃんいる？,,,36
0003d7af,face,984,622,1147,760,,0003d6b1,しのぶ,36
0003d7b0,text,347,405,479,554,"何を今さら
オレたち族仲間じゃんかよォ",,,36
0003d7b1,frame,901,612,1551,875,,,,36
0003d7b2,frame,332,3,757,581,,,,36
0003d7b3,body,276,622,711,814,,0003d6b1,しのぶ,36
0003d7b4,text,472,68,527,229,"クスクス
だーーめ",,,36
0003d7b5,face,116,102,272,252,,0003d5ff,瑞樹リカ,36
0003d7b6,text,116,651,236,770,"うひょー
いいじゃんいいじゃん
彼女森村しのぶだろ
清純そー",,,36
0003d7b7,face,1260,98,1431,328,,0003d5ff,瑞樹リカ,36
0003d7b8,text,945,973,963,1094,リカ…ちゃん？,,,36
0003d7b9,text,927,228,967,308,"私よ
森村しのぶ",,,36
0003d7ba,text,1468,118,1533,280,そのことを一番よく知っているのはしのぶちゃんでしょ？,,,36
0003d7bb,frame,901,909,1281,1093,,,,36
0003d7bc,face,1302,951,1396,1084,,0003d6b1,しのぶ,36
0003d7bd,body,1297,916,1426,1087,,0003d6b1,しのぶ,36
0003d7be,body,1123,932,1187,1088,,0003d6b1,しのぶ,36
0003d7bf,text,635,630,701,761,"あーあ
しのぶちゃんに見つかっちゃった",,,36
0003d7c0,text,1272,634,1529,832,"出番までまだ時間あるから少しおしゃべりしない？
トオルの新譜手に入ったのよ
リカちゃんファンだって言ってたでしょ？",,,36
0003d7c1,text,503,728,576,801,あ…ああ…,,,36
0003d7c2,text,341,96,408,208,アタシは清純派アイドルなのよ,,,36
0003d7c3,text,1167,91,1210,209,あれはちょうど一年前,,,36
0003d7c4,frame,105,616,757,817,,,,36
0003d7c5,body,1037,287,1096,534,,0003d6b1,しのぶ,36
0003d7c6,face,1130,955,1179,998,,0003d6b1,しのぶ,36
