id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0003e8db,frame,123,66,701,411,,,,59
0003e8dc,text,551,548,563,592,……。,,,59
0003e8dd,face,1007,449,1114,528,,0003e6c2,渚父,59
0003e8de,text,1379,559,1523,678,僕が今いないんだとしたら今「僕はいない」って考えてるこの僕は何なんだ？,,,59
0003e8df,frame,903,542,1118,960,,,,59
0003e8e0,text,609,92,707,191,確か若い頃は役者を目指していた筈じゃ……,,,59
0003e8e1,frame,911,71,1586,320,,,,59
0003e8e2,text,258,902,314,1018,でもネこーゆー言葉もあるヨ。,,,59
0003e8e3,text,137,300,219,389,それが今や何の因果かしがない中間管理職。,,,59
0003e8e4,frame,279,488,546,696,,,,59
0003e8e5,text,917,557,1107,914,ん仕事？ーー確か今日は大事な取引先とのーーITビジネスーー冬木物産のーー穴がーー今日はツイてないーー寝間着でーー通話圏外ーーフシ穴？ーーお父さんの馬鹿ーー,,,59
0003e8e6,frame,901,327,1580,533,,,,59
0003e8e7,body,1219,787,1276,864,,0003e6c2,渚父,59
0003e8e8,face,432,508,455,536,,0003e6c2,渚父,59
0003e8e9,body,423,494,489,677,,0003e6c2,渚父,59
0003e8ea,frame,71,438,317,648,,,,59
0003e8eb,frame,1365,551,1580,971,,,,59
0003e8ec,face,108,911,181,979,,0003dfcf,みーむ,59
0003e8ed,face,304,603,325,631,,0003dfef,Other,59
0003e8ee,frame,76,731,753,874,,,,59
0003e8ef,frame,67,878,343,1095,,,,59
0003e8f0,body,631,481,737,596,,0003e6cd,渚,59
0003e8f1,text,359,471,391,545,やあおはよう。,,,59
0003e8f2,frame,355,880,755,1090,,,,59
0003e8f3,face,1236,794,1248,810,,0003e6c2,渚父,59
0003e8f4,body,380,159,457,349,,0003e6c2,渚父,59
0003e8f5,body,144,553,273,648,,0003e6c2,渚父,59
0003e8f6,body,935,73,1571,322,,0003dfcf,みーむ,59
0003e8f7,face,448,652,485,686,,0003dfef,Other,59
0003e8f8,text,1343,400,1380,462,……待てよ。,,,59
0003e8f9,text,1500,128,1535,213,ひょっとしたらーー,,,59
0003e8fa,face,660,526,715,578,,0003e6cd,渚,59
0003e8fb,text,1122,1015,1348,1041,そういえば僕は誰だ？,,,59
0003e8fc,face,389,742,525,869,,0003dfcf,みーむ,59
0003e8fd,body,288,594,359,687,,0003dfef,Other,59
0003e8fe,body,579,391,632,594,,0003e6c2,渚父,59
0003e8ff,body,67,878,243,1090,,0003dfcf,みーむ,59
0003e900,text,701,903,730,952,やはりーー,,,59
0003e901,text,264,164,333,240,「おお、愛しきロクサーヌ！貴女は光私は影…!!」,,,59
0003e902,face,592,409,615,444,,0003e6c2,渚父,59
0003e903,body,455,907,751,1083,,0003e6c2,渚父,59
0003e904,text,954,184,1035,249,アタシもホントはいないのかもネ。,,,59
0003e905,text,110,614,124,655,……。,,,59
0003e906,text,723,401,759,491,おこれから学校か？,,,59
0003e907,body,1439,747,1564,933,,0003e6c2,渚父,59
0003e908,face,184,582,230,635,,0003e6c2,渚父,59
0003e909,face,1070,107,1429,319,,0003dfcf,みーむ,59
0003e90a,frame,502,391,757,599,,,,59
0003e90b,body,428,638,490,691,,0003dfef,Other,59
0003e90c,body,72,729,627,870,,0003dfcf,みーむ,59
0003e90d,body,987,350,1274,531,,0003e6c2,渚父,59
0003e90e,body,996,776,1028,824,,0003e6c2,渚父,59
0003e90f,text,372,898,450,1013,観客のいない芝居なんて芝居なんかじゃないもんな。,,,59
0003e910,frame,1129,546,1353,959,,,,59
0003e911,text,1146,556,1290,694,考えてみたら何で僕はこんな処にいるんだ？確かこれから仕事に行くところだった筈ーー,,,59
0003e912,face,525,957,654,1079,,0003e6c2,渚父,59
0003e913,face,1466,762,1496,797,,0003e6c2,渚父,59
0003e914,text,670,746,732,854,「人生は芝居の如し」ーー福沢諭吉。,,,59
