id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0003eb5e,frame,899,673,1371,1091,,,,76
0003eb5f,frame,293,282,506,598,,,,76
0003eb60,face,1146,181,1226,274,0003e9ea,暁人,,76
0003eb61,frame,1102,420,1297,725,,,,76
0003eb62,body,356,197,508,373,0003e9ea,暁人,,76
0003eb63,text,646,557,658,605,,,……。,76
0003eb64,face,405,230,475,321,0003e9ea,暁人,,76
0003eb65,body,1279,1035,1300,1067,0003e9f0,脇田月子,,76
0003eb66,frame,1250,612,1580,912,,,,76
0003eb67,frame,333,711,577,881,,,,76
0003eb68,face,1153,576,1188,626,0003e9ea,暁人,,76
0003eb69,body,495,560,696,732,0003e9f0,脇田月子,,76
0003eb6a,face,545,639,655,730,0003e9f0,脇田月子,,76
0003eb6b,text,540,767,593,834,,,ウチも普通だよ…！,76
0003eb6c,text,498,1033,514,1081,,,ただ…,76
0003eb6d,text,1244,846,1261,903,,,……。,76
0003eb6e,text,543,115,575,181,,,あたしの…？,76
0003eb6f,frame,358,168,618,372,,,,76
0003eb70,text,1516,73,1574,226,,,暁人クン…あたし何か悪い事聞いちゃっ…,76
0003eb71,body,1288,75,1548,287,0003e9f0,脇田月子,,76
0003eb72,text,1166,66,1244,139,,,ううんゴメン。何でもないんだ。,76
0003eb73,text,1008,263,1107,434,,,僕の父さんは普通の人だよ。ごく普通の勤め人。,76
0003eb74,text,337,944,354,992,,,ただ？,76
0003eb75,frame,1038,71,1577,290,,,,76
0003eb76,frame,71,454,247,984,,,,76
0003eb77,text,587,876,680,1039,,,パパも明るい人だしママも優しいし。,76
0003eb78,face,1338,96,1466,286,0003e9f0,脇田月子,,76
0003eb79,body,333,706,561,876,0003e9f0,脇田月子,,76
0003eb7a,text,78,776,90,825,,,え…？,76
0003eb7b,face,367,765,503,874,0003e9f0,脇田月子,,76
0003eb7c,body,1250,612,1579,912,0003e9f0,脇田月子,,76
0003eb7d,body,1111,149,1285,289,0003e9ea,暁人,,76
0003eb7e,text,1205,436,1284,519,,,僕にだけはちょびっと厳しかったけど…ね。,76
0003eb7f,text,133,832,236,1016,,,ちょっとママ躰が弱いかな。ずっと寝てばっかなんだ。,76
0003eb80,text,968,748,1047,865,,,そ、そういう月子ちゃんのお父さんとかお母さんは…？,76
0003eb81,frame,899,206,1159,560,,,,76
0003eb82,face,1316,649,1586,894,0003e9f0,脇田月子,,76
0003eb83,frame,162,839,755,1092,,,,76
0003eb84,body,71,458,243,980,0003e9ea,暁人,,76
0003eb85,frame,543,71,755,513,,,,76
0003eb86,body,1244,1045,1265,1077,0003e9ea,暁人,,76
0003eb87,frame,455,560,701,732,,,,76
0003eb88,body,1137,566,1244,722,0003e9ea,暁人,,76
0003eb89,face,96,505,214,797,0003e9ea,暁人,,76
