id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0003f275,face,89,806,301,956,0003ef52,小鳩カナ,,26
0003f276,text,37,351,89,426,,,ですよねー,26
0003f277,face,1167,44,1297,197,0003ef52,小鳩カナ,,26
0003f278,body,886,494,1650,1016,0003eeba,小林ヒロ,,26
0003f279,face,131,633,293,785,0003ef52,小鳩カナ,,26
0003f27a,body,306,727,597,959,0003eeb1,三枝ユズ,,26
0003f27b,face,983,870,1129,1043,0003ef52,小鳩カナ,,26
0003f27c,text,646,23,741,452,,,って見せるわけないでしょこの大バカヒローーッ!!,26
0003f27d,face,1129,288,1159,318,0003ef52,小鳩カナ,,26
0003f27e,frame,884,494,1650,1022,,,,26
0003f27f,text,485,659,560,722,,,ほら行こう小鳩！,26
0003f280,text,407,641,429,716,,,うっうん,26
0003f281,face,15,479,92,588,0003eeba,小林ヒロ,,26
0003f282,body,5,412,581,600,0003eeba,小林ヒロ,,26
0003f283,face,513,800,569,858,0003ef52,小鳩カナ,,26
0003f284,body,186,6,618,510,0003eeb1,三枝ユズ,,26
0003f285,body,1049,0,1352,245,0003ef52,小鳩カナ,,26
0003f286,text,1228,291,1278,388,,,そんなこと言われても,26
0003f287,body,908,796,1232,1169,0003ef52,小鳩カナ,,26
0003f288,frame,85,801,298,957,,,,26
0003f289,text,1457,287,1532,457,,,嫌なのは百も承知さでも　見せてもらわないと大変なことに,26
0003f28a,text,907,306,983,431,,,頼む!!俺を・・・・,26
0003f28b,text,1538,572,1574,757,,,信じてくれ,26
0003f28c,frame,85,984,764,1169,,,,26
0003f28d,face,485,106,559,175,0003eeb1,三枝ユズ,,26
0003f28e,body,1111,272,1165,413,0003ef52,小鳩カナ,,26
0003f28f,face,1065,491,1510,957,0003eeba,小林ヒロ,,26
0003f290,face,361,780,421,840,0003eeb1,三枝ユズ,,26
0003f291,frame,2,2,764,605,,,,26
0003f292,frame,308,635,763,956,,,,26
0003f293,frame,86,633,292,790,,,,26
0003f294,frame,882,272,1564,464,,,,26
0003f295,body,85,798,294,954,0003ef52,小鳩カナ,,26
0003f296,frame,883,1,1565,245,,,,26
0003f297,body,489,763,654,958,0003ef52,小鳩カナ,,26
0003f298,body,95,634,291,787,0003ef52,小鳩カナ,,26
0003f299,body,644,784,764,868,0003eeba,小林ヒロ,,26
0003f29a,frame,887,908,1645,1169,,,,26
0003f29b,body,1300,380,1416,466,0003eeba,小林ヒロ,,26
