id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0003fcef,frame,855,587,1602,756,,,,92
0003fcf0,frame,881,4,1647,582,,,,92
0003fcf1,frame,882,754,1036,1169,,,,92
0003fcf2,text,955,323,1004,510,スイッチを押してそれをとめることだ,,,92
0003fcf3,face,146,695,300,820,,0003ef84,山田メテオ,92
0003fcf4,face,995,585,1462,758,,0003eeba,小林ヒロ,92
0003fcf5,body,1171,5,1651,581,,0003fc51,田中オメガ,92
0003fcf6,body,1,690,426,1166,,0003ef84,山田メテオ,92
0003fcf7,body,1171,761,1241,891,,0003ef84,山田メテオ,92
0003fcf8,text,1450,780,1542,965,ちょっ　なんで学校を巻き込んで爆発するんだよ!!,,,92
0003fcf9,body,856,585,1603,755,,0003eeba,小林ヒロ,92
0003fcfa,face,1278,80,1375,213,,0003fc51,田中オメガ,92
0003fcfb,body,882,757,1033,1168,,0003eeba,小林ヒロ,92
0003fcfc,text,66,162,220,595,我々はお前たちの味方ではないただ　宇宙にとって地球人が有害かどうか判断してるだけにすぎん,,,92
0003fcfd,body,2,1,762,664,,0003ef84,山田メテオ,92
0003fcfe,text,1084,922,1161,1073,守る者がいて初めてヒーローと呼べるからな,,,92
0003fcff,body,1313,940,1355,1024,,0003fc51,田中オメガ,92
0003fd00,text,920,944,964,1095,・・・・・・・・ムチャクチャだよ,,,92
0003fd01,frame,352,669,763,1168,,,,92
0003fd02,frame,1049,758,1562,1169,,,,92
0003fd03,face,224,2,764,653,,0003ef84,山田メテオ,92
0003fd04,body,349,659,764,1169,,0003eeba,小林ヒロ,92
0003fd05,text,51,884,92,1056,そしてそのスイッチはーー,,,92
0003fd06,face,912,769,1030,898,,0003eeba,小林ヒロ,92
0003fd07,face,350,671,649,1169,,0003eeba,小林ヒロ,92
0003fd08,body,1381,1015,1445,1125,,0003eeba,小林ヒロ,92
0003fd09,text,1476,82,1585,405,彼女は８時間後学校を巻き込んで自爆する,,,92
0003fd0a,text,612,78,716,369,勘違いするなよ小林ヒロ！,,,92
0003fd0b,frame,5,4,761,666,,,,92
0003fd0c,frame,5,693,422,1164,,,,92
