id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0004003d,text,702,99,737,180,鯛子はどうですか,,,2
0004003e,frame,83,566,517,854,,,,2
0004003f,face,1417,210,1494,263,,00040040,高橋亜鉛子,2
00040041,frame,526,568,754,1088,,,,2
00040042,text,312,107,372,277,マイナス27℃までは毎分1.5℃の割合で温度あげていくからね,,,2
00040043,frame,901,542,1365,1086,,,,2
00040044,body,414,117,548,303,,00040045,山崎鉄?,2
00040046,body,402,323,531,548,,00040045,山崎鉄?,2
00040047,body,1281,725,1342,954,,00040040,高橋亜鉛子,2
00040048,face,406,347,512,488,,00040045,山崎鉄?,2
00040049,face,198,909,327,1017,,00040040,高橋亜鉛子,2
0004004a,body,1385,665,1573,1070,,00040040,高橋亜鉛子,2
0004004b,text,545,752,561,785,ふう,,,2
0004004c,frame,905,78,1272,528,,,,2
0004004d,body,1026,279,1135,519,,00040040,高橋亜鉛子,2
0004004e,face,614,210,663,276,,00040040,高橋亜鉛子,2
0004004f,body,104,142,310,544,,00040045,山崎鉄?,2
00040050,body,138,871,427,1087,,00040040,高橋亜鉛子,2
00040051,face,124,257,305,405,,00040045,山崎鉄?,2
00040052,text,107,650,165,824,今日ここへやってきたのは高橋公太の解凍に立ち会うためだ,,,2
00040053,text,407,101,439,188,まだ始まったばかりだよ,,,2
00040054,body,910,680,1058,1077,,00040045,山崎鉄?,2
00040055,frame,400,85,746,307,,,,2
00040056,face,1435,705,1507,753,,00040040,高橋亜鉛子,2
00040057,text,67,949,87,1037,つまりーー,,,2
00040058,face,220,632,368,734,,00040040,高橋亜鉛子,2
00040059,body,131,568,408,852,,00040040,高橋亜鉛子,2
0004005a,face,929,728,977,785,,00040045,山崎鉄?,2
0004005b,body,1406,173,1571,521,,00040040,高橋亜鉛子,2
0004005c,text,1295,562,1335,655,すみません遅れました,,,2
0004005d,body,606,158,742,304,,00040040,高橋亜鉛子,2
0004005e,body,1074,892,1252,1078,,0004005f,裁判所職員,2
00040060,frame,1278,1,1575,531,,,,2
00040061,text,451,884,495,1034,"高橋公太
通称・冷凍じいちゃん",,,2
00040062,face,1289,746,1329,774,,00040040,高橋亜鉛子,2
00040063,frame,83,83,387,551,,,,2
00040064,frame,398,321,751,553,,,,2
00040065,text,100,374,140,540,控え室のほうでゆっくりしていなさい,,,2
00040066,frame,1375,550,1577,1086,,,,2
00040067,frame,4,867,514,1091,,,,2
00040068,face,594,777,652,829,,00040040,高橋亜鉛子,2
00040069,body,578,749,694,1073,,00040040,高橋亜鉛子,2
0004006a,face,484,149,529,197,,00040045,山崎鉄?,2
0004006b,text,691,339,732,523,液体窒素を排出して温度上昇を始めたトコ,,,2
0004006c,text,432,604,498,692,私の名前は高橋亜鉛子ーー大学生,,,2
