id,type,xmin,ymin,xmax,ymax,character_id,character_name,page_number
00040111,body,340,772,448,900,00040112,自然派,6
00040113,face,391,816,429,854,00040112,自然派,6
00040114,frame,82,86,362,1089,,,6
00040115,frame,270,653,754,1089,,,6
00040116,face,316,752,334,770,00040117,Other,6
00040118,body,999,553,1103,806,00040040,高橋亜鉛子,6
00040119,frame,907,86,1288,823,,,6
0004011a,body,1339,331,1461,703,00040040,高橋亜鉛子,6
0004011b,body,487,770,611,1044,00040112,自然派,6
0004011c,face,1009,577,1086,630,00040040,高橋亜鉛子,6
0004011d,face,460,802,500,840,00040112,自然派,6
0004011e,body,1007,778,1147,1051,00040117,Other,6
0004011f,face,215,802,255,839,00040040,高橋亜鉛子,6
00040120,frame,909,656,1581,1088,,,6
00040121,body,1077,435,1261,771,0004008c,高橋公太,6
00040122,body,913,837,1083,1086,00040040,高橋亜鉛子,6
00040123,face,1445,361,1577,542,0004008c,高橋公太,6
00040124,body,308,738,346,838,00040117,Other,6
00040125,face,1091,461,1176,531,0004008c,高橋公太,6
00040126,body,1213,191,1273,339,00040117,Other,6
00040127,face,1218,223,1259,267,00040117,Other,6
00040128,face,336,937,424,1079,00040040,高橋亜鉛子,6
00040129,body,1073,762,1323,1090,0004008c,高橋公太,6
0004012a,body,414,753,516,1015,00040112,自然派,6
0004012b,face,635,862,749,1020,0004008c,高橋公太,6
0004012c,body,307,844,531,1088,00040040,高橋亜鉛子,6
0004012d,body,91,748,208,1033,0004008c,高橋公太,6
0004012e,frame,150,87,752,674,,,6
0004012f,body,634,768,755,1086,0004008c,高橋公太,6
00040130,face,1182,814,1240,899,0004008c,高橋公太,6
00040131,body,550,398,638,658,00040040,高橋亜鉛子,6
00040132,body,210,786,300,1034,00040040,高橋亜鉛子,6
00040133,body,615,362,707,640,0004008c,高橋公太,6
00040134,body,1339,259,1576,689,0004008c,高橋公太,6
00040135,frame,1195,83,1577,726,,,6
00040136,face,1347,369,1412,422,00040040,高橋亜鉛子,6
