id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00040d92,body,372,124,494,396,000401ad,綿屋敷錫彦,,67
00040d93,frame,905,85,1241,606,,,,67
00040d94,text,102,117,142,312,,,それで錯覚しちゃうわけだ,67
00040d95,text,1186,961,1450,1045,,,謎機械でハートを,67
00040d96,body,619,130,708,259,00040117,Other,,67
00040d97,frame,79,86,313,402,,,,67
00040d98,body,955,85,1235,603,00040040,高橋亜鉛子,,67
00040d99,frame,323,86,747,400,,,,67
00040d9a,body,322,146,383,374,00040117,Other,,67
00040d9b,face,704,290,741,371,00040117,Other,,67
00040d9c,face,1409,446,1465,495,00040040,高橋亜鉛子,,67
00040d9d,face,1407,723,1519,813,00040117,Other,,67
00040d9e,face,1425,145,1479,195,00040040,高橋亜鉛子,,67
00040d9f,body,172,175,310,399,000401ad,綿屋敷錫彦,,67
00040da0,text,1436,1005,1543,1066,,,ゲット!!,67
00040da1,frame,1253,350,1574,604,,,,67
00040da2,body,526,116,606,256,00040117,Other,,67
00040da3,text,1539,383,1556,446,,,は〜〜,67
00040da4,body,1361,410,1569,598,00040040,高橋亜鉛子,,67
00040da5,body,1365,121,1515,334,00040040,高橋亜鉛子,,67
00040da6,face,983,695,1129,819,00040117,Other,,67
00040da7,face,187,258,303,352,000401ad,綿屋敷錫彦,,67
00040da8,text,1513,112,1570,196,,,ま 季節の風物詩ってことで…,67
00040da9,frame,80,420,410,1088,,,,67
00040daa,text,922,331,985,593,,,"いつから始まったんだろうねえ
バレンタインデーに""謎機械""を贈るって習慣は…",67
00040dab,frame,1251,86,1575,336,,,,67
00040dac,frame,905,625,1574,1089,,,,67
00040dad,body,1287,671,1551,1076,00040117,Other,,67
00040dae,text,219,99,309,198,,,"ま
甘いものよりもらっても萌えるものがあるわな",67
00040daf,body,702,246,744,396,00040117,Other,,67
00040db0,body,919,640,1263,1072,00040117,Other,,67
00040db1,face,326,162,359,188,00040117,Other,,67
00040db2,text,1261,97,1301,251,,,いざというときの練習にもなるし……,67
00040db3,face,546,132,584,161,00040117,Other,,67
00040db4,text,700,450,717,587,,,これがスタートで,67
00040db5,face,663,145,692,171,00040117,Other,,67
00040db6,text,1266,358,1306,576,,,踊らされてるよなーメーカーの思うつぼじゃん,67
00040db7,frame,419,421,747,1089,,,,67
00040db8,text,118,890,139,1043,,,これがゴールね,67
00040db9,text,950,936,1223,1017,,,バレンタインデーには,67
00040dba,face,1002,169,1231,367,00040040,高橋亜鉛子,,67
