id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
000423e8,text,27,397,195,574,ギュ,,,56
000423e9,text,927,907,1036,1093,わたくしたちじゃないっ　ひとりでほろびてろよっ,,,56
000423ea,body,416,812,577,1166,,00041600,松沢ひとみ,56
000423eb,frame,899,2,1584,298,,,,56
000423ec,face,177,849,267,920,,00041600,松沢ひとみ,56
000423ed,text,77,636,158,784,そうよ　こんなの持ってるだけで反則なのよっ!!,,,56
000423ee,body,459,212,635,399,,00041600,松沢ひとみ,56
000423ef,face,1059,652,1081,674,,000416e3,Other,56
000423f0,face,318,847,362,882,,000420e2,らら子先生,56
000423f1,frame,1147,301,1645,899,,,,56
000423f2,text,316,627,395,803,歩野くん……日本には「非核三原則」ってゆーのがあってね…,,,56
000423f3,body,1278,910,1595,1169,,000415f9,歩野零二郎,56
000423f4,body,1097,655,1145,759,,000416e3,Other,56
000423f5,text,466,453,733,587,ギュン!!,,,56
000423f6,body,1182,302,1636,892,,000417c9,山川X,56
000423f7,text,1211,922,1313,1055,ああ――っ恐ろしいものをつくってしまったぁーっ,,,56
000423f8,face,1389,1009,1504,1125,,000415f9,歩野零二郎,56
000423f9,face,1444,383,1532,464,,000417c9,山川X,56
000423fa,face,972,640,1013,689,,000415f9,歩野零二郎,56
000423fb,text,1493,79,1577,170,巨大化光線!!,,,56
000423fc,body,562,812,749,1168,,000415f9,歩野零二郎,56
000423fd,body,514,73,747,398,,000415f9,歩野零二郎,56
000423fe,face,1132,1056,1184,1104,,00041600,松沢ひとみ,56
000423ff,body,531,659,643,851,,000420dd,ミミちゃん,56
00042400,body,898,1,1238,300,,000417c9,山川X,56
00042401,body,922,644,967,745,,000416e3,Other,56
00042402,body,1002,1037,1155,1109,,000417c9,山川X,56
00042403,text,104,950,160,1023,知ってるよ……,,,56
00042404,body,182,947,401,1108,,000415f9,歩野零二郎,56
00042405,text,554,860,616,978,きゅいん,,,56
00042406,text,67,1056,179,1106,ふっ　そんくらいのこたーね,,,56
00042407,face,582,152,741,337,,000415f9,歩野零二郎,56
00042408,body,935,1084,964,1108,,000416e3,Other,56
00042409,frame,416,610,753,1166,,,,56
0004240a,text,473,96,554,250,しかし安心したまえよデイジーちゃん!!,,,56
0004240b,text,424,625,533,762,ちょっと核ミサイルなんかで　なにしよーっての!?,,,56
0004240c,body,8,84,339,399,,000415f9,歩野零二郎,56
0004240d,face,626,853,675,921,,000415f9,歩野零二郎,56
0004240e,body,281,801,396,958,,000420e2,らら子先生,56
0004240f,frame,900,903,1210,1110,,,,56
00042410,face,969,1092,1000,1108,,000416e3,Other,56
00042411,face,209,952,398,1106,,000415f9,歩野零二郎,56
00042412,face,1107,661,1128,680,,000416e3,Other,56
00042413,text,631,727,672,803,ぴちぴち,,,56
00042414,text,904,320,1183,770,うぎゃああああぉん,,,56
00042415,frame,64,612,405,962,,,,56
00042416,face,1371,139,1426,177,,000415f9,歩野零二郎,56
00042417,face,93,166,228,280,,000415f9,歩野零二郎,56
00042418,text,199,648,287,766,持たずつくらず持ちこませず,,,56
00042419,body,152,427,456,588,,000420dd,ミミちゃん,56
0004241a,body,1279,95,1449,296,,000415f9,歩野零二郎,56
0004241b,frame,1159,903,1645,1111,,,,56
0004241c,frame,458,73,751,402,,,,56
0004241d,text,301,83,333,205,ミミーッ,,,56
0004241e,body,1035,640,1085,764,,000416e3,Other,56
0004241f,body,149,781,291,943,,00041600,松沢ひとみ,56
00042420,frame,353,72,448,403,,,,56
00042421,text,1033,338,1076,427,お……恐ろしい!!,,,56
00042422,text,658,619,719,746,きたなっよおーしっ,,,56
00042423,face,477,262,633,395,,00041600,松沢ひとみ,56
00042424,frame,9,1,345,404,,,,56
00042425,face,1006,80,1121,182,,000417c9,山川X,56
00042426,frame,896,317,1151,885,,,,56
00042427,frame,66,420,754,591,,,,56
00042428,body,912,607,1126,884,,000415f9,歩野零二郎,56
00042429,face,432,902,534,1050,,00041600,松沢ひとみ,56
0004242a,text,950,516,1001,546,ヤマカワのさけび,,,56
0004242b,face,940,655,960,668,,000416e3,Other,56
0004242c,frame,65,917,403,1107,,,,56
0004242d,body,964,1078,1005,1110,,000416e3,Other,56
0004242e,text,1022,911,1151,1032,自らの創造せしものによって今　滅びゆくわたくしたちであった…,,,56
0004242f,body,1123,1023,1206,1105,,00041600,松沢ひとみ,56
