id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00042ef3,face,41,301,69,352,000416e3,Other,,97
00042ef4,body,1585,992,1642,1120,000420e2,らら子先生,,97
00042ef5,face,674,946,721,1005,00042e29,招待嬢,,97
00042ef6,face,1337,1036,1381,1070,00042e29,招待嬢,,97
00042ef7,face,1143,998,1198,1047,00042e29,招待嬢,,97
00042ef8,frame,900,881,1310,1100,,,,97
00042ef9,text,653,759,741,856,,,わーんっどーしてすぐキライになっちゃうの!!,97
00042efa,text,197,70,345,203,,,ああっ　電波がっ電波が命令するのよ―――っ　正太郎くんがぴぴぴって!!,97
00042efb,text,917,928,970,1063,,,「ピピピ」なっ!!まかしとけっ,97
00042efc,text,1532,620,1580,758,,,よおっしもりあがるぞーっ,97
00042efd,body,955,925,1071,1099,000417c9,山川X,,97
00042efe,body,245,221,321,387,000420e2,らら子先生,,97
00042eff,body,582,946,693,1103,00042f00,とっつぁん,,97
00042f01,face,103,345,147,390,00042f00,とっつぁん,,97
00042f02,text,1295,91,1391,276,,,ふとっぱらだねっろっくふぇら～だね,97
00042f03,body,647,908,746,1101,00042e29,招待嬢,,97
00042f04,body,101,667,158,720,00042f00,とっつぁん,,97
00042f05,face,1515,263,1553,301,000416e3,Other,,97
00042f06,face,1373,296,1415,338,00042e29,招待嬢,,97
00042f07,text,1512,79,1582,199,,,うひゃ――っ今日は社長のおごりだぁーっ,97
00042f08,text,1572,850,1642,1009,,,でたーなつかしのケイレンうちまたぱんく!!,97
00042f09,text,1104,883,1158,985,,,ピピピって!!,97
00042f0a,frame,1324,615,1642,1168,,,,97
00042f0b,face,1072,326,1142,394,00042e29,招待嬢,,97
00042f0c,face,1607,316,1633,358,00042f00,とっつぁん,,97
00042f0d,face,1013,956,1053,1013,000417c9,山川X,,97
00042f0e,text,358,573,483,724,,,うっ…ぐしっ,97
00042f0f,face,1003,337,1048,390,000420e2,らら子先生,,97
00042f10,text,1196,627,1295,763,,,はいっはいっつぎあたしっ「てつぢん28号」のマネをしまっすっ,97
00042f11,body,1356,230,1513,425,00042e29,招待嬢,,97
00042f12,frame,350,531,751,724,,,,97
00042f13,text,1158,219,1230,379,,,さっ　山川さんも景気よくやっちゃってよ!!,97
00042f14,text,1229,888,1304,976,,,山川さん正太郎くんしてねっ,97
00042f15,body,237,986,472,1167,00042e29,招待嬢,,97
00042f16,face,586,184,676,264,00042e29,招待嬢,,97
00042f17,text,71,527,163,617,,,キライにならないで――っ,97
00042f18,frame,899,443,1239,600,,,,97
00042f19,face,1596,1022,1640,1073,000420e2,らら子先生,,97
00042f1a,face,385,389,465,486,00042e29,招待嬢,,97
00042f1b,body,931,119,994,191,00042f00,とっつぁん,,97
00042f1c,frame,515,68,750,511,,,,97
00042f1d,face,626,967,660,1012,00042f00,とっつぁん,,97
00042f1e,text,967,890,1071,912,,,おっ…おう!!,97
00042f1f,body,1590,301,1637,421,00042f00,とっつぁん,,97
00042f20,text,178,514,336,600,,,わぁーっ,97
00042f21,text,1062,60,1230,191,,,とっつあん!!　カラアゲとイカサシとラビオリフライとにこみとツブ貝とたにしとイシカリナベとカニすきとケガニとタラバガニね!!,97
