id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00044505,text,571,591,618,661,自己紹介をします,,,56
00044506,body,34,872,229,1169,,0004387d,火堂害,56
00044507,face,493,639,562,722,,00043277,国宝雪絵,56
00044508,frame,1256,905,1578,1096,,,,56
00044509,face,961,564,1007,631,,00043277,国宝雪絵,56
0004450a,body,1360,463,1505,669,,000437e8,小山内文子,56
0004450b,text,1476,420,1564,575,あなたたちテレビ局の取材なんていってあたしたちをからかってるんでしょ！！,,,56
0004450c,text,1357,610,1386,663,ディレクターーっ,,,56
0004450d,body,1411,750,1556,880,,0004326a,other,56
0004450e,text,651,106,735,228,本当はいい人なんじゃないかしらこの人たち,,,56
0004450f,face,382,697,434,776,,00043584,さゆり,56
00044510,body,153,949,283,1168,,00043584,さゆり,56
00044511,frame,913,692,1246,1095,,,,56
00044512,body,202,676,303,873,,0004328d,国宝憲一,56
00044513,body,894,209,1231,456,,00044303,飯良井太郎,56
00044514,body,594,154,652,291,,00043277,国宝雪絵,56
00044515,body,613,831,686,965,,0004387d,火堂害,56
00044516,text,438,606,496,751,国宝雪絵 14歳しゅみは お洗濯です,,,56
00044517,body,345,417,546,580,,00044303,飯良井太郎,56
00044518,body,301,791,435,1169,,000437e8,小山内文子,56
00044519,frame,406,90,739,334,,,,56
0004451a,text,1527,918,1566,1070,すまーん,,,56
0004451b,body,690,986,737,1120,,0004326a,other,56
0004451c,text,1471,693,1578,793,ディレクターやばいっすよ！ここは一番テレビ局の身の軽さできりぬけるしか,,,56
0004451d,body,1074,421,1223,664,,0004387d,火堂害,56
0004451e,frame,911,88,1581,390,,,,56
0004451f,text,1133,935,1239,1094,そしてこのクラスのすばらしさを全国ネットでつたえようじゃないか！！,,,56
00044520,body,232,434,385,581,,0004326a,other,56
00044521,text,1097,577,1121,613,わっ,,,56
00044522,text,929,698,995,827,こんどはまともなのをとろう！！,,,56
00044523,text,1253,581,1276,620,わっ,,,56
00044524,face,1241,511,1288,557,,00043584,さゆり,56
00044525,text,258,856,323,964,ーといったっきり父はねたきりとなった,,,56
00044526,face,979,996,1000,1082,,00043584,さゆり,56
00044527,body,911,416,1016,668,,0004328d,国宝憲一,56
00044528,body,406,280,515,332,,0004326a,other,56
00044529,face,965,486,1010,554,,0004328d,国宝憲一,56
0004452a,text,917,1028,956,1079,泣いてるわよ,,,56
0004452b,frame,1255,691,1581,882,,,,56
0004452c,frame,910,414,1579,667,,,,56
0004452d,face,1201,572,1236,667,,00044303,飯良井太郎,56
0004452e,face,554,826,584,857,,000437e8,小山内文子,56
0004452f,body,1043,60,1238,344,,0004328d,国宝憲一,56
00044530,body,620,265,726,334,,0004326a,other,56
