id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0004577a,body,219,669,323,817,00045272,国宝雪絵,,15
0004577b,text,1522,871,1567,961,,,すごい反応なのだ,15
0004577c,frame,422,98,762,339,,,,15
0004577d,body,959,570,1044,769,00045235,Other,,15
0004577e,body,1049,684,1125,832,00045272,国宝雪絵,,15
0004577f,text,915,526,964,604,,,こ　校長先生,15
00045780,face,255,249,308,325,00045240,先生Ａ,,15
00045781,face,938,639,989,709,0004525a,清田光太郎,,15
00045782,body,350,994,450,1100,00045272,国宝雪絵,,15
00045783,text,1218,736,1233,771,,,あう,15
00045784,face,567,1017,629,1070,0004525c,国宝憲一,,15
00045785,text,1548,437,1569,545,,,は～～っ,15
00045786,text,1091,870,1183,956,,,私にも　私にも教えてください！！,15
00045787,text,1239,863,1320,1012,,,清田先生！いったいどーやってあの子を教育したんですか？,15
00045788,text,664,621,729,730,,,やあきみが国宝くんだね,15
00045789,face,649,247,713,313,00045240,先生Ａ,,15
0004578a,text,932,868,1044,964,,,ボクはなにもただ本人がやる気を出してくれただけで,15
0004578b,body,202,991,272,1103,0004525c,国宝憲一,,15
0004578c,face,200,1004,259,1059,0004525c,国宝憲一,,15
0004578d,text,115,369,209,476,,,おにーさんの評価はバカから天才にかわっていった,15
0004578e,text,1437,101,1573,259,,,なっなっなにーーっケンイチくんが小テストで100点ーーっ！！,15
0004578f,text,103,102,172,254,,,これからもどんどん寝て100点とるのだーーっ！！,15
00045790,text,230,858,254,939,,,みっともない,15
00045791,frame,99,363,767,589,,,,15
00045792,face,401,728,435,773,00045266,さゆり,,15
00045793,body,1338,421,1421,532,00045240,先生Ａ,,15
00045794,body,462,197,564,335,0004525c,国宝憲一,,15
00045795,face,1401,960,1524,1083,0004525c,国宝憲一,,15
00045796,frame,40,846,453,1104,,,,15
00045797,text,701,103,757,209,,,どーゆー勉強をしたのケンイチくん,15
00045798,text,1513,656,1566,750,,,よよよくやった清田…先生,15
00045799,body,1273,481,1364,623,00045262,2年の先生,,15
0004579a,text,1339,868,1413,1019,,,テストで100点をとるのは気持ちいいのだ！！,15
0004579b,text,419,871,453,968,,,うっうっうっ,15
0004579c,body,554,1014,639,1103,0004525c,国宝憲一,,15
0004579d,frame,1254,656,1579,838,,,,15
0004579e,text,1257,659,1331,762,,,救急車！！救急車を呼んでーっ！！,15
0004579f,text,561,110,596,195,,,おしえて！！おしえて！！,15
000457a0,face,1319,232,1440,416,00045238,校長先生,,15
000457a1,body,1254,176,1478,421,00045238,校長先生,,15
000457a2,text,342,98,406,204,,,へ！？寝てた？,15
000457a3,face,1071,281,1166,385,00045240,先生Ａ,,15
000457a4,body,352,201,407,337,00045262,2年の先生,,15
000457a5,body,1060,228,1191,412,00045240,先生Ａ,,15
000457a6,body,1146,705,1222,834,0004525c,国宝憲一,,15
000457a7,face,445,433,483,482,00045272,国宝雪絵,,15
000457a8,face,493,975,532,1049,00045272,国宝雪絵,,15
000457a9,face,1012,974,1061,1050,0004525a,清田光太郎,,15
000457aa,face,993,591,1032,646,00045235,Other,,15
000457ab,frame,466,846,768,1108,,,,15
000457ac,body,141,920,203,1091,000457ad,光明寺博士,,15
000457ae,body,1178,970,1324,1097,00045240,先生Ａ,,15
000457af,frame,908,420,1242,838,,,,15
000457b0,face,363,490,429,543,0004525c,国宝憲一,,15
000457b1,frame,915,97,1577,395,,,,15
000457b2,face,321,966,366,1019,00045266,さゆり,,15
000457b3,text,616,368,726,472,,,それからもおにーさんは小テストで100点をとりつづけ,15
000457b4,body,379,705,447,819,00045266,さゆり,,15
000457b5,text,1262,423,1315,537,,,校長先生ーっ！！,15
000457b6,text,932,118,1003,208,,,荒羽高校に激震がはしった！！,15
000457b7,body,470,974,549,1099,00045272,国宝雪絵,,15
000457b8,text,102,628,194,736,,,あーっ学校一秀才の光明寺博士くん！！,15
000457b9,body,1085,597,1136,655,00045238,校長先生,,15
000457ba,body,915,622,1010,833,0004525a,清田光太郎,,15
000457bb,face,316,766,373,811,0004525c,国宝憲一,,15
000457bc,text,468,851,536,980,,,おにーちゃんがおにーちゃんがこーゆー人と同等になれるなんて…,15
000457bd,body,293,943,369,1104,00045266,さゆり,,15
000457be,body,942,243,1075,416,00045262,2年の先生,,15
000457bf,body,432,412,513,590,00045272,国宝雪絵,,15
000457c0,face,179,201,234,258,0004525c,国宝憲一,,15
000457c1,frame,1260,429,1577,626,,,,15
000457c2,frame,912,861,1325,1100,,,,15
000457c3,body,342,466,460,593,0004525c,国宝憲一,,15
000457c4,face,152,941,180,977,000457ad,光明寺博士,,15
000457c5,body,251,194,363,336,00045240,先生Ａ,,15
000457c6,text,980,449,1070,527,,,だまってだまって安静にして！！,15
000457c7,face,360,243,401,305,00045262,2年の先生,,15
000457c8,body,1315,660,1573,829,00045238,校長先生,,15
000457c9,text,720,857,753,949,,,なかなかやるよーだね,15
000457ca,face,1094,998,1154,1056,00045262,2年の先生,,15
000457cb,face,1368,428,1392,460,00045240,先生Ａ,,15
000457cc,face,487,239,553,334,0004525c,国宝憲一,,15
000457cd,body,630,194,744,340,00045240,先生Ａ,,15
000457ce,face,1188,1000,1233,1064,00045240,先生Ａ,,15
000457cf,body,561,211,665,338,00045262,2年の先生,,15
000457d0,frame,95,616,766,821,,,,15
000457d1,body,643,901,749,1104,000457ad,光明寺博士,,15
000457d2,text,1158,537,1222,616,,,あとで…金一封と表彰状を…,15
000457d3,body,236,119,293,238,0004525a,清田光太郎,,15
000457d4,text,68,866,133,990,,,じゃあ！！今度の模擬試験で勝負だ！！,15
000457d5,body,478,627,672,817,000457ad,光明寺博士,,15
000457d6,face,969,289,1066,386,00045262,2年の先生,,15
000457d7,face,1090,604,1128,647,00045238,校長先生,,15
000457d8,face,259,688,319,758,00045272,国宝雪絵,,15
