id,type,xmin,ymin,xmax,ymax,character_id,character_name,page_number
00046f36,body,432,732,483,798,00045235,Other,81
00046f37,body,1277,327,1313,431,00045235,Other,81
00046f38,body,363,100,401,214,00045235,Other,81
00046f39,body,959,184,998,292,00045235,Other,81
00046f3a,body,668,405,698,503,00045235,Other,81
00046f3b,body,1521,165,1570,246,00045235,Other,81
00046f3c,body,230,0,258,81,00045235,Other,81
00046f3d,body,1037,28,1094,90,00045235,Other,81
00046f3e,body,1365,178,1408,273,00045235,Other,81
00046f3f,body,1226,285,1271,378,00045235,Other,81
00046f40,body,350,388,382,488,00045235,Other,81
00046f41,body,885,169,924,262,00045235,Other,81
00046f42,face,967,182,976,199,00045235,Other,81
00046f43,body,990,234,1028,327,00045235,Other,81
00046f44,body,1009,300,1068,410,00045235,Other,81
00046f45,body,428,658,467,739,00045235,Other,81
00046f46,body,1275,734,1303,796,00045235,Other,81
00046f47,body,1330,165,1369,260,00045235,Other,81
00046f48,body,894,1012,973,1107,00045235,Other,81
00046f49,body,754,681,788,762,00045235,Other,81
00046f4a,body,835,348,865,414,00045235,Other,81
00046f4b,body,363,934,410,1025,00045235,Other,81
00046f4c,face,403,78,408,98,00045235,Other,81
00046f4d,body,873,956,903,1051,00045235,Other,81
00046f4e,face,1397,388,1410,408,00045235,Other,81
00046f4f,face,870,492,881,499,00045235,Other,81
00046f50,body,1336,563,1406,629,00045235,Other,81
00046f51,body,1172,768,1223,884,00045235,Other,81
00046f52,body,1176,932,1223,1059,00045235,Other,81
00046f53,body,139,156,177,251,00045235,Other,81
00046f54,body,620,890,646,958,00045235,Other,81
00046f55,body,712,289,751,391,00045235,Other,81
00046f56,body,1483,1063,1524,1152,00045235,Other,81
00046f57,body,569,165,607,250,00045235,Other,81
00046f58,body,1269,1048,1305,1152,00045235,Other,81
00046f59,body,179,125,266,208,00045235,Other,81
00046f5a,body,72,736,98,831,00045235,Other,81
00046f5b,body,643,863,669,914,00045235,Other,81
00046f5c,face,1347,608,1360,621,00045235,Other,81
00046f5d,body,462,372,494,482,00045235,Other,81
00046f5e,body,653,323,692,421,00045235,Other,81
00046f5f,body,1382,639,1414,739,00045235,Other,81
00046f60,body,1355,60,1423,181,00045235,Other,81
00046f61,body,234,346,262,446,00045235,Other,81
00046f62,face,1424,918,1429,929,00045235,Other,81
00046f63,face,847,431,854,450,00045235,Other,81
00046f64,body,89,506,130,627,00045235,Other,81
00046f65,body,1205,547,1267,604,00045235,Other,81
00046f66,body,1264,928,1307,1013,00045235,Other,81
00046f67,face,931,488,948,501,00045235,Other,81
00046f68,body,1463,241,1506,336,00045235,Other,81
00046f69,body,1309,1086,1345,1165,00045235,Other,81
00046f6a,body,1254,614,1290,716,00045235,Other,81
00046f6b,body,1031,831,1084,916,00045235,Other,81
00046f6c,body,755,336,789,427,00045235,Other,81
00046f6d,body,527,393,557,484,00045235,Other,81
00046f6e,body,369,540,405,627,00045235,Other,81
00046f6f,body,771,197,820,295,00045235,Other,81
00046f70,face,938,5,951,16,00045235,Other,81
00046f71,body,144,47,176,138,00045235,Other,81
00046f72,body,1515,239,1560,336,00045235,Other,81
00046f73,body,833,1090,859,1164,00045235,Other,81
00046f74,body,742,593,764,695,00045235,Other,81
00046f75,body,559,882,627,984,00045235,Other,81
00046f76,body,841,665,879,762,00045235,Other,81
00046f77,body,394,76,424,174,00045235,Other,81
