id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00047e96,frame,67,372,763,529,,,,39
00047e97,frame,67,534,771,794,,,,39
00047e98,text,461,848,740,1100,近年ことさらに毛利方だった当家ぞ真意を伝えようにも疑念を持たれよう当家の威信もあるがここは早急に…羽柴秀吉本人にじかに宇喜多のご意向を伝えることができぬものかのう…,,,39
00047e99,face,212,1013,297,1102,,000476fd,Other,39
00047e9a,frame,67,816,766,1112,,,,39
00047e9b,face,1121,368,1281,549,,00047702,宇喜多 秀家,39
00047e9c,face,1292,605,1466,801,,00047d9f,小西行長,39
00047e9d,text,960,353,1033,528,その時は必ず私を島じゅう案内するのだぞ!!,,,39
00047e9e,body,1023,291,1311,599,,00047702,宇喜多 秀家,39
00047e9f,text,1478,360,1565,506,私が字喜多を継いだら魚屋を島の代官にしてやる！,,,39
00047ea0,text,1492,928,1580,1099,その日からそれが私の…魚屋弥九郎のささやかな夢となった…,,,39
00047ea1,text,92,885,222,1094,…そういえば…たしか魚屋が小西と縁があるようなことを申しておったが…,,,39
00047ea2,face,1250,69,1290,111,,00047d9f,小西行長,39
00047ea3,text,523,521,711,742,織田が中国攻略に本腰を入れつつあるこの時期に殿のご病状が悪化されるとは…,,,39
00047ea4,body,1269,518,1653,883,,00047d9f,小西行長,39
00047ea5,body,1346,948,1398,1049,,00047702,宇喜多 秀家,39
00047ea6,body,321,846,513,1113,,000476fd,Other,39
00047ea7,body,1147,52,1324,280,,00047d9f,小西行長,39
00047ea8,frame,814,519,1653,884,,,,39
00047ea9,face,1058,46,1094,87,,00047702,宇喜多 秀家,39
00047eaa,text,108,110,278,302,上杉謙信の死によって北陸地方の憂いが去り畿内においても本願寺と毛利の分断に成功…荒木村重の謀反をも退けて織田は勢いを増していた,,,39
00047eab,text,927,115,992,228,ーよし！決めたぞ!!魚屋！,,,39
00047eac,frame,1272,885,1653,1169,,,,39
00047ead,text,125,603,239,752,殿は織田の先鋒・羽柴秀吉に諠を通じよ…と仰せになられたが…,,,39
00047eae,text,987,686,1098,782,八郎様を小豆島にお迎えする!!,,,39
00047eaf,text,1234,721,1260,800,ははっ!!!,,,39
00047eb0,frame,65,61,771,372,,,,39
00047eb1,body,206,983,371,1108,,000476fd,Other,39
00047eb2,face,418,726,443,755,,000476fd,Other,39
00047eb3,body,393,699,485,792,,000476fd,Other,39
00047eb4,frame,818,0,1653,375,,,,39
00047eb5,text,920,953,1009,1106,備前のみならず中国地方全土が大いなる激変期を迎えていた…,,,39
00047eb6,frame,895,315,1653,598,,,,39
00047eb7,text,1193,912,1240,1032,ーけれどそのころ…,,,39
00047eb8,body,1396,897,1445,1065,,00047d9f,小西行長,39
00047eb9,body,281,629,389,791,,000476fd,Other,39
00047eba,text,622,99,734,252,数年越しで織田・毛利間での微妙な駆け引きを続けていた宇喜多だったが…,,,39
00047ebb,text,1315,83,1580,292,お父上・直家公のこ威勢なればやがてあの島も元全に宇喜多領となりましよういや…まこと…今すぐお連れしたいくらいなのですが…,,,39
00047ebc,face,321,653,343,682,,000476fd,Other,39
00047ebd,frame,892,884,1263,1169,,,,39
00047ebe,face,325,937,403,1018,,000476fd,Other,39
00047ebf,body,525,814,762,1111,,000476fd,Other,39
00047ec0,body,1026,17,1199,268,,00047702,宇喜多 秀家,39
