id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00047ef0,face,1292,66,1318,98,00047d9f,小西行長,,41
00047ef1,body,814,165,1406,751,00047d9f,小西行長,,41
00047ef2,text,914,890,979,1099,,,「魚屋弥九郎」として八郎様にお会いしたのはあれが最後となった…,41
00047ef3,text,79,481,144,579,,,ついに…小豆島を拝領した…,41
00047ef4,text,80,760,145,874,,,親しくお話できようはずもなく…,41
00047ef5,frame,1217,0,1653,169,,,,41
00047ef6,frame,826,762,1653,1169,,,,41
00047ef7,text,1374,113,1583,319,,,よいか弥九郎…そなたを岡山へやるのはすべては羽柴様のためいかに宇喜多になじもうとも…そのことだけは忘れるな!!,41
00047ef8,body,353,661,427,781,000476fd,Other,,41
00047ef9,body,236,312,377,449,000476fd,Other,,41
00047efa,face,298,705,318,737,00047702,宇喜多 秀家,,41
00047efb,body,364,980,416,1150,00047702,宇喜多 秀家,,41
00047efc,frame,825,0,1653,392,,,,41
00047efd,text,498,67,589,297,,,やがて小西に戻った私は秀吉様のもと武器弾薬軍船の調達や兵糧の運搬を指揮するようになった…,41
00047efe,body,1338,842,1653,1167,00047d9f,小西行長,,41
00047eff,frame,613,1,763,356,,,,41
00047f00,body,321,595,645,887,00047d9f,小西行長,,41
00047f01,face,190,699,210,723,000476fd,Other,,41
00047f02,body,165,687,230,888,000476fd,Other,,41
00047f03,body,296,686,346,886,00047702,宇喜多 秀家,,41
00047f04,face,333,88,365,121,00047d9f,小西行長,,41
00047f05,frame,63,621,762,886,,,,41
00047f06,face,421,320,450,362,000476fd,Other,,41
00047f07,body,1257,57,1339,166,00047d9f,小西行長,,41
00047f08,body,1364,41,1478,157,000476fd,Other,,41
00047f09,body,163,677,301,888,000476fb,明石 掃部,,41
00047f0a,text,558,917,737,1093,,,ずっとお怒りなのだと思っていましたもう「魚屋」とお呼びくださらないので…,41
00047f0b,text,683,69,750,264,,,宇喜多との橋渡し役を首尾良くつとめた功もあり…,41
00047f0c,body,310,957,360,1141,000476fb,明石 掃部,,41
00047f0d,frame,893,754,1653,867,,,,41
00047f0e,body,1206,773,1310,870,00047702,宇喜多 秀家,,41
00047f0f,face,356,675,381,712,000476fd,Other,,41
00047f10,body,436,987,509,1156,00047d9f,小西行長,,41
00047f11,text,917,199,985,341,,,八郎様に偽りを申し上げたくない!!,41
00047f12,text,74,283,140,416,,,ご用命あるままただただ必死に働いて…,41
00047f13,frame,1,0,727,451,,,,41
00047f14,frame,0,408,792,615,,,,41
00047f15,text,1324,945,1382,1046,,,八郎…様…,41
00047f16,face,426,653,487,742,00047d9f,小西行長,,41
00047f17,face,1033,369,1266,606,00047d9f,小西行長,,41
00047f18,text,658,637,746,866,,,秀吉様のこ養子格として陣中においでの八郎様とはその後いくどかお目にかかったものの…,41
00047f19,text,1383,460,1576,670,,,ーお許しを!!八郎様!!!そのかわりこの魚屋使者のお役目必ずやー!!!,41
00047f1a,text,93,938,204,1110,,,「小西行長」として殿下の水軍を束ねるそなたを人前で「魚屋」と呼べぬではないか!!,41
00047f1b,face,249,694,274,726,000476fb,明石 掃部,,41
00047f1c,body,384,309,502,449,000476fd,Other,,41
00047f1d,body,828,2,1227,194,00047d9f,小西行長,,41
00047f1e,frame,827,396,1651,760,,,,41
00047f1f,face,1446,878,1538,980,00047d9f,小西行長,,41
00047f20,frame,2,889,825,1168,,,,41
00047f21,body,1177,941,1223,1054,00047702,宇喜多 秀家,,41
00047f22,body,234,60,447,404,00047d9f,小西行長,,41
